Date,PA1436583006-MVC,PA1436583006-P,PA1436583006-PH,PA1436583006-PL,PA1436583006-PO,US22160K1051-MVC,US22160K1051-P,US22160K1051-PH,US22160K1051-PL,US22160K1051-PO,US4581401001-MVC,US4581401001-P,US4581401001-PH,US4581401001-PL,US4581401001-PO,AN8068571086-MVC,AN8068571086-P,AN8068571086-PH,AN8068571086-PL,AN8068571086-PO,PA1436583006-WC01151,PA1436583006-WC02001,PA1436583006-WC02999,PA1436583006-WC03051,PA1436583006-WC03255,PA1436583006-WC05376,PA1436583006-WC08101,PA1436583006-WC08106,PA1436583006-WC08221,PA1436583006-WC08231,PA1436583006-WC08311,PA1436583006-WC08316,PA1436583006-WC18191,US22160K1051-WC01151,US22160K1051-WC02001,US22160K1051-WC02999,US22160K1051-WC03051,US22160K1051-WC03255,US22160K1051-WC05376,US22160K1051-WC08101,US22160K1051-WC08106,US22160K1051-WC08221,US22160K1051-WC08231,US22160K1051-WC08311,US22160K1051-WC08316,US22160K1051-WC18191,US4581401001-WC01151,US4581401001-WC02001,US4581401001-WC02999,US4581401001-WC03051,US4581401001-WC03255,US4581401001-WC05376,US4581401001-WC08101,US4581401001-WC08106,US4581401001-WC08221,US4581401001-WC08231,US4581401001-WC08311,US4581401001-WC08316,US4581401001-WC18191,AN8068571086-WC01151,AN8068571086-WC02001,AN8068571086-WC02999,AN8068571086-WC03051,AN8068571086-WC03255,AN8068571086-WC05376,AN8068571086-WC08101,AN8068571086-WC08106,AN8068571086-WC08221,AN8068571086-WC08231,AN8068571086-WC08311,AN8068571086-WC08316,AN8068571086-WC18191,NASA100-PH,NASA100-PL,NASA100-PO,NASCOMP-PH,NASCOMP-PL,NASCOMP-PO,S&PCOMP-PH,S&PCOMP-PL,S&PCOMP-PO,CBOEVIX-PH,CBOEVIX-PL,CBOEVIX-PO,GOLDBLN-P,GOLDBLN-PH,GOLDBLN-PL,GOLDBLN-PO,OILBREN-P,OILBREN-PH,OILBREN-PL,OILWTXI-P,OILWTXI-PH,OILWTXI-PL,SILVUSL-P,JAPAYE$-ER,USDOLSF-ER,SPXC.SERIESC-I3,SPXC.SERIESC-O1,SPXC.SERIESC-O3,SPXC.SERIESC-O6,SPXC.SERIESC-OI,SPXC.SERIESC-ON,SPXC.SERIESC-OY,SPXC.SERIESC-VI,SPXC.SERIESC-VM,SPXC.SERIESP-I3,SPXC.SERIESP-O1,SPXC.SERIESP-O3,SPXC.SERIESP-O6,SPXC.SERIESP-OI,SPXC.SERIESP-ON,SPXC.SERIESP-OY,SPXC.SERIESP-VI,SPXC.SERIESP-VM,VIXC.SERIESC-O1,VIXC.SERIESC-O3,VIXC.SERIESC-O6,VIXC.SERIESC-OI,VIXC.SERIESC-ON,VIXC.SERIESC-OY,VIXC.SERIESC-VI,VIXC.SERIESC-VM,VIXC.SERIESP-O1,VIXC.SERIESP-O3,VIXC.SERIESP-O6,VIXC.SERIESP-OI,VIXC.SERIESP-ON,VIXC.SERIESP-OY,VIXC.SERIESP-VI,VIXC.SERIESP-VM,USNAPMNO-ES,USPMNBC.Q-ES,USBSINV.B-ES,USCAPUS.R-ES,USCAPUTLQ-ES,USCNFBUSQ-ES,USCNFCONQ-ES,USCRDCONB-ES,USCSHPM%E-ES,USPENONFO-ES,USUMINM1R-ES,ECSWF1Y-IR
2004-01-02,33610.74,39.82,40.25,39.75,39.91,16637.42,36.32,37.42,36.18,37.19,210068.9,32.16,32.6,32.03,32.36,32027.91,27.33,27.55,27.23,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479.59,1458.51,1474.16,2022.37,1999.77,2011.08,1118.85,1105.08,1112.64,18.68,17.54,17.96,415.5,416.65,414.6,416.05,29.67,29.67,29.67,32.29,32.29,32.29,5.985,107.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5781
2004-01-05,34121.62,40.43,40.61,40.185,40.28,16559.55,36.15,36.61,35.86,36.44,214967.9,32.91,32.97,32.4,32.52,32525.97,27.755,27.78,26.99,27.1,812000.0,660000.0,27636000.0,1662000.0,7953000.0,400000.0,0.21,0.34,33.54,50.46,27.79,22.44,2185000.0,440721.0,2688638.0,15085793.0,327189.0,1320935.0,92137.0,0.56,1.18,14.67,17.32,2.92,2.85,1415067.0,4889000.0,17172000.0,48143000.0,201000.0,904000.0,1022000.0,2.52,3.0,2.29,2.34,36.93,29.61,10467000.0,1308000.0,2997000.0,15657000.0,716000.0,4660052.0,441219.0,1.2,1.5,41.63,76.18,21.9,14.19,1442000.0,1496.58,1474.19,1474.55,2047.36,2020.78,2020.78,1122.22,1108.48,1110.62,18.49,17.44,18.45,421.75,424.55,417.25,418.0,31.24,31.24,31.24,33.76,33.76,33.76,5.975,106.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5938
2004-01-06,34297.64,40.75,40.8,40.3,40.43,16747.36,36.56,36.93,36.06,36.1,214902.7,32.9,33.0,32.62,32.92,32174.39,27.455,27.955,27.275,27.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504.47,1486.59,1492.41,2061.54,2039.63,2044.55,1124.46,1118.44,1122.22,17.67,16.19,17.66,422.25,431.0,421.15,424.25,31.14,31.14,31.14,33.62,33.62,33.62,6.28,106.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5469
2004-01-07,34380.14,40.83,41.0,40.55,40.7,16985.55,37.08,37.175,36.52,36.58,222022.5,33.99,34.0,33.22,33.33,31377.51,26.775,27.33,26.645,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1514.45,1491.2,1498.38,2078.09,2047.02,2056.75,1126.33,1116.45,1123.62,16.75,15.5,16.72,423.25,424.85,420.25,421.75,31.17,31.17,31.17,33.57,33.57,33.57,6.215,106.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5781
2004-01-08,34754.78,41.24,41.3,40.85,40.87,17068.01,37.26,37.53,37.02,37.4,223655.6,34.24,34.349000000000004,33.9,34.17,31553.29,26.925,27.04,26.39,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.65,1513.34,1524.06,2100.25,2078.05,2089.6,1131.92,1124.91,1126.33,15.68,15.32,15.42,422.25,424.85,417.25,419.75,31.19,31.19,31.19,34.08,34.08,34.08,6.2,106.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5156
2004-01-09,34692.4,41.03,41.47,41.0,41.13,17388.67,37.96,38.36,36.98,37.32,221891.8,33.97,34.6,33.8,33.83,31641.19,27.0,27.67,26.455,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541.84,1512.86,1516.59,2113.33,2077.09,2083.64,1131.92,1120.9,1131.34,16.88,15.57,16.15,425.05,426.65,421.25,422.75,31.5,31.5,31.5,34.41,34.41,34.41,6.245,106.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-01-12,34595.84,41.04,41.15,40.77,41.03,17269.57,37.7,37.86,37.15,37.69,223067.7,34.15,34.33,33.86,34.27,31260.32,26.675,27.1,26.55,27.1,812000.0,660000.0,27636000.0,1662000.0,7953000.0,400000.0,0.21,0.34,33.54,50.46,27.79,22.44,2185000.0,440721.0,2688638.0,15085793.0,327189.0,1320935.0,92137.0,0.56,1.18,14.67,17.32,2.92,2.85,1415067.0,4889000.0,17172000.0,48143000.0,201000.0,904000.0,1022000.0,2.52,3.0,2.29,2.34,36.93,29.61,10467000.0,1308000.0,2997000.0,15657000.0,716000.0,4660052.0,441219.0,1.2,1.5,41.63,76.18,21.9,14.19,1442000.0,1540.1,1515.86,1524.54,2112.52,2085.15,2093.54,1127.85,1120.9,1122.53,17.46,16.79,17.32,425.75,429.0,423.35,426.5,31.89,31.89,31.89,34.77,34.77,34.77,6.65,106.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-01-13,34452.3,40.82,41.16,40.63,41.0,17342.86,37.86,37.98,37.46,37.53,219409.8,33.59,34.39,33.26,34.33,31348.21,26.75,27.045,26.7,26.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1541.83,1513.21,1540.35,2114.91,2080.29,2113.11,1129.07,1115.19,1127.23,18.33,16.53,16.6,424.75,426.25,423.65,425.75,31.5,31.5,31.5,34.36,34.36,34.36,6.615,106.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
2004-01-14,35597.74,42.28,42.35,41.53,41.55,16967.23,37.04,37.42,36.92,37.15,218103.4,33.39,33.85,33.14,33.81,31184.14,26.61,26.965,26.375,26.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.84,1521.91,1531.93,2111.73,2094.32,2104.29,1130.75,1121.22,1121.22,17.3,16.4,17.29,421.75,424.45,418.25,424.25,31.21,31.21,31.21,34.52,34.52,34.52,6.545,106.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5156
2004-01-15,36089.55,42.87,43.0,42.2,42.31,16980.98,37.07,37.52,35.91,36.99,215947.8,33.06,33.41,32.67,32.8,30873.59,26.345,27.01,26.315,26.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.65,1515.06,1524.73,2121.61,2088.1,2101.86,1137.11,1124.5,1130.52,17.31,15.49,17.07,410.75,419.25,409.75,419.25,30.1,30.1,30.1,33.49,33.49,33.49,6.315,106.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,,,,,,,,,,,0.5
2004-01-16,36780.86,43.65,43.79,43.19,43.25,16980.98,37.07,37.37,36.69,37.36,214837.4,32.89,33.38,32.68,33.35,31576.73,26.945,27.06,26.2655,26.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553.64,1537.17,1545.32,2140.47,2119.35,2126.12,1139.83,1132.05,1132.05,15.44,14.9,15.4,407.25,410.75,405.75,408.0,31.27,31.27,31.27,35.2,35.2,35.2,6.205,106.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-01-19,,,,,,,,,,,,,,,,,,,,,812000.0,660000.0,27636000.0,1662000.0,7953000.0,400000.0,0.21,0.34,33.54,50.46,27.79,22.44,2185000.0,440721.0,2688638.0,15085793.0,327189.0,1320935.0,92137.0,0.56,1.18,14.67,17.32,2.92,2.85,1415067.0,4889000.0,17172000.0,48143000.0,201000.0,904000.0,1022000.0,2.52,3.0,2.29,2.34,36.93,29.61,10467000.0,1308000.0,2997000.0,15657000.0,716000.0,4660052.0,441219.0,1.2,1.5,41.63,76.18,21.9,14.19,1442000.0,,,,,,,,,,,,,407.25,408.75,406.75,408.75,31.39,31.39,31.39,35.3,35.3,35.3,6.335,107.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-01-20,37046.53,43.9,44.0,43.59,43.77,16674.06,36.4,37.2,36.36,37.19,213008.3,32.61,33.06,32.28,33.02,32596.28,27.815,27.98,27.25,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.47,1541.34,1558.89,2149.85,2130.2,2149.03,1142.93,1135.4,1140.62,16.13,15.09,15.77,411.25,412.15,406.75,406.75,31.98,31.98,31.98,36.0,36.0,36.0,6.39,107.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-01-21,36971.88,43.7,44.05,43.47,44.01,16742.77,36.55,36.66,36.24,36.32,210330.3,32.2,32.3,31.82,32.22,32842.38,28.025,28.275,27.625,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.89,1529.4,1545.53,2150.11,2120.2,2139.33,1149.21,1134.62,1138.77,15.63,14.24,15.63,409.15,413.25,407.65,412.5,31.57,31.57,31.57,34.94,34.94,34.94,6.3,106.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4844
2004-01-22,36999.77,43.79,44.0,43.62,43.7,16719.88,36.5,36.73,36.2,36.62,206607.0,31.63,32.36,31.59,32.27,32566.98,27.79,28.33,27.55,28.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.06,1530.42,1550.98,2152.12,2119.01,2146.32,1150.51,1143.01,1148.01,14.87,14.01,14.2,411.25,413.05,408.55,409.25,31.79,31.79,31.79,34.98,34.98,34.98,6.26,106.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4531
