MNEM,NAME,SICUR,TYPE
PA1436583006,CARNIVAL,,Equity
US22160K1051,COSTCO WHOLESALE,,Equity
US4581401001,INTEL,,Equity
AN8068571086,SCHLUMBERGER,,Equity
NASCOMP,NASDAQ COMPOSITE,,Index
NASA100,NASDAQ 100,,Index
S&PCOMP,S&P 500 COMPOSITE,,Index
CBOEVIX,CHICAGO BOARD OF EXCHANGE VIX INDEX,,Index
ECSWF1Y,SWISS FRANC 1Y DEPOSIT (FT/TR),,Interest Rate
USNAPMNO,US ISM MANUFACTURERS SURVEY: NEW ORDERS INDEX SADJ,,Economic
USBSINV.B,US BUSINESS INVENTORIES (MFG & TRADE) CURA,,Economic
USCAPUS.R,US REUTERS POLL: CAPACITY UTILIZATION (%MOM) - SURPRISE NADJ,,Economic
USCAPUTLQ,US CAPACITY UTILIZATION RATE - ALL INDUSTRY SADJ,,Economic
USCNFBUSQ,US ISM PURCHASING MANAGERS INDEX (MFG SURVEY) SADJ,,Economic
USCNFCONQ,US CONSUMER CONFIDENCE INDEX SADJ,,Economic
USCRDCONB,US CONSUMER CREDIT OUTSTANDING CURA,,Economic
USCSHPM%E,US S&P/CASE-SHILLER HOME PRICE INDEX - 20-CITY COMPOSITE SADJ,,Economic
USPENONFO,US LABOUR MARKET: NONFARM EMPLOYMENT (ADP ESTIMATE) VOLA,,Economic
USUMINM1R,"US UMICH CSS: CONSUMER SENTIMENT: MEDIAN EXPECTED INFLATION,1 YR",,Economic
GOLDBLN,Gold Bullion LBM U$/Troy Ounce,,Commodities
OILBREN,Crude Oil-Brent Cur. Month FOB U$/BBL,,Commodities
OILWTXI,Crude Oil-WTI Near Month FOB U$/BBL,,Commodities
SILVUSL,LBMA Silver Price USD/Troy Oz,,Commodities
JAPAYE$,JAPANESE YEN TO US $ (WMR),U$,Currency
USDOLSF,US $ TO CHF (WMR),SF,Currency
