Date,PA1436583006-P,US22160K1051-P,US4581401001-P,AN8068571086-P
2004-01-02,39.82,36.32,32.16,27.33
2004-01-05,40.43,36.15,32.91,27.755
2004-01-06,40.75,36.56,32.9,27.455
2004-01-07,40.83,37.08,33.99,26.775
2004-01-08,41.24,37.26,34.24,26.925
2004-01-09,41.03,37.96,33.97,27.0
2004-01-12,41.04,37.7,34.15,26.675
2004-01-13,40.82,37.86,33.59,26.75
2004-01-14,42.28,37.04,33.39,26.61
2004-01-15,42.87,37.07,33.06,26.345
2004-01-16,43.65,37.07,32.89,26.945
2004-01-19,43.65,37.07,32.89,26.945
2004-01-20,43.9,36.4,32.61,27.815
2004-01-21,43.7,36.55,32.2,28.025
2004-01-22,43.79,36.5,31.63,27.79
2004-01-23,43.7,37.35,31.75,29.885
2004-01-26,44.35,37.12,32.43,30.53
2004-01-27,43.52,36.69,31.63,31.0
2004-01-28,42.74,36.08,31.38,30.925
2004-01-29,44.39,36.9,30.89,30.91
2004-01-30,44.42,36.94,30.52,30.59
2004-02-02,44.88,37.22,30.32,30.8
2004-02-03,44.0,37.13,31.4,30.815
2004-02-04,43.35,37.3,30.02,30.84
2004-02-05,43.87,37.92,29.92,30.425
2004-02-06,44.23,38.14,30.88,30.61
2004-02-09,43.92,38.31,30.57,31.065
2004-02-10,43.86,39.41,30.54,31.73
2004-02-11,44.1,39.15,30.99,31.735
2004-02-12,43.78,37.75,30.74,31.99
2004-02-13,44.43,37.61,30.14,32.015
2004-02-16,44.43,37.61,30.14,32.015
2004-02-17,45.64,37.76,30.81,32.035
2004-02-18,45.11,37.83,30.6,31.5
2004-02-19,44.8,37.48,29.89,31.72
2004-02-20,44.55,38.18,30.0,31.555
2004-02-23,44.28,38.15,29.0,31.63
2004-02-24,44.9,38.45,29.2,32.235
2004-02-25,45.15,38.69,29.62,32.23
2004-02-26,44.9,38.6,29.5,32.38
2004-02-27,44.37,38.86,29.2,32.245
2004-03-01,45.25,39.94,29.69,33.235
2004-03-02,45.22,39.71,29.6,33.18
2004-03-03,45.41,38.31,29.04,32.89
2004-03-04,45.6,38.64,29.65,32.685
2004-03-05,45.61,38.15,28.95,32.495
2004-03-08,45.24,37.79,27.7,32.565
2004-03-09,45.24,37.56,27.98,32.39
2004-03-10,44.41,37.47,27.31,31.6
2004-03-11,42.46,37.63,27.08,31.08
2004-03-12,42.94,38.3,27.69,31.25
2004-03-15,41.47,37.42,27.1,31.33
2004-03-16,40.91,37.04,27.16,31.255
2004-03-17,42.62,37.31,27.79,32.385
2004-03-18,42.67,37.38,27.2,32.49
2004-03-19,42.51,37.23,26.49,31.83
2004-03-22,41.97,36.71,26.23,31.175
2004-03-23,42.3,36.47,26.16,31.07
2004-03-24,42.85,36.44,26.53,30.54
2004-03-25,43.43,36.96,27.79,30.555
2004-03-26,43.87,36.62,27.38,30.735
2004-03-29,44.58,37.18,27.69,30.68
2004-03-30,44.69,37.28,27.43,31.735
2004-03-31,44.91,37.61,27.2,31.925
2004-04-01,45.61,37.35,27.38,30.95
2004-04-02,45.94,37.7,28.12,30.895
2004-04-05,46.14,38.08,28.55,30.8
2004-04-06,46.37,38.07,28.27,30.655
2004-04-07,45.98,38.15,27.62,30.38
2004-04-08,45.53,37.9,27.37,30.645
2004-04-09,45.53,37.9,27.37,30.645
2004-04-12,45.75,37.66,27.6,31.38
2004-04-13,44.71,37.16,27.67,31.02
2004-04-14,44.11,37.7,27.37,30.9
2004-04-15,44.09,37.37,26.66,31.34
2004-04-16,44.7,38.08,26.45,32.075
2004-04-19,44.57,38.04,26.68,31.775
2004-04-20,44.12,37.79,26.07,31.195
2004-04-21,44.16,38.31,26.2745,30.91
2004-04-22,44.56,38.29,26.52,31.92
2004-04-23,44.3,38.54,27.53,30.85
2004-04-26,43.77,38.09,27.15,30.99
2004-04-27,43.67,38.04,26.88,31.225
2004-04-28,43.45,37.99,26.35,30.5
2004-04-29,43.13,37.66,26.13,29.44
2004-04-30,42.67,37.5,25.73,29.265
2004-05-03,42.69,37.58,26.04,29.785
2004-05-04,43.01,37.47,26.28,29.59
2004-05-05,43.2,37.41,26.2,29.195
2004-05-06,42.67,36.3,25.98,28.775
2004-05-07,41.5,35.66,26.47,28.025
2004-05-10,40.7,36.42,26.55,27.73
2004-05-11,40.98,36.12,27.77,27.815
2004-05-12,40.92,36.55,27.57,28.35
2004-05-13,40.99,36.07,27.44,28.685
2004-05-14,41.13,35.85,27.04,28.65
2004-05-17,40.15,35.54,26.84,28.665
2004-05-18,40.39,36.39,27.15,28.52
2004-05-19,40.25,36.52,27.11,28.465
2004-05-20,40.3,36.69,27.41,28.46
2004-05-21,40.9,36.54,27.55,28.3
2004-05-24,41.31,36.81,27.74,29.01
2004-05-25,41.83,37.34,28.1,29.47
2004-05-26,42.03,37.44,28.37,29.06
2004-05-27,42.73,38.07,28.45,28.45
2004-05-28,42.61,37.9,28.55,28.585
2004-05-31,42.61,37.9,28.55,28.585
2004-06-01,42.35,38.14,28.33,28.945
2004-06-02,41.97,38.78,28.01,28.57
2004-06-03,41.62,39.25,27.41,28.095
2004-06-04,42.12,39.05,28.14,28.185
2004-06-07,42.89,39.34,28.75,28.96
2004-06-08,43.27,40.05,28.99,28.95
2004-06-09,43.1,40.68,28.4,28.96
2004-06-10,43.35,41.62,28.64,29.2
2004-06-11,43.35,41.62,28.64,29.2
2004-06-14,43.01,40.96,27.99,29.35
2004-06-15,43.6,41.47,28.43,29.96
2004-06-16,43.56,41.56,28.12,31.115
2004-06-17,45.21,41.6,27.63,31.015
2004-06-18,45.25,42.02,27.64,31.01
