GOLDBLN;OF;P;PA;PB;PH;PL;PO;UF
1968-04-01;38.0;39.4;;;;;;37.7
1968-04-02;37.6;39.4;;;;;;37.3
1968-04-03;37.7;37.65;;;;;;37.6
1968-04-04;36.7;37.65;;;;;;36.95
1968-04-05;37.2;37.65;;;;;;37.0
1968-04-08;37.0;37.65;;;;;;37.05
1968-04-09;37.25;37.65;;;;;;37.5
1968-04-10;37.6;37.9;;;;;;37.7
1968-04-11;38.05;37.9;;;;;;38.0
1968-04-12;38.05;37.9;;;;;;38.0
1968-04-15;38.05;37.9;;;;;;38.0
1968-04-16;38.1;37.9;;;;;;38.0
1968-04-17;38.0;38.3;;;;;;37.8
1968-04-18;37.6;38.3;;;;;;37.55
1968-04-19;37.65;38.3;;;;;;37.65
1968-04-22;38.3;38.3;;;;;;38.0
1968-04-23;38.05;38.3;;;;;;38.4
1968-04-24;38.35;39.1;;;;;;38.25
1968-04-25;38.25;39.1;;;;;;38.3
1968-04-26;38.5;39.1;;;;;;38.65
1968-04-29;38.55;39.1;;;;;;38.75
1968-04-30;39.1;39.1;;;;;;39.1
1968-05-01;39.1;39.8;;;;;;39.2
1968-05-02;39.25;39.8;;;;;;39.45
1968-05-03;39.6;39.8;;;;;;39.1
1968-05-06;39.7;39.8;;;;;;39.75
1968-05-07;39.3;39.8;;;;;;39.3
1968-05-08;39.5;40.25;;;;;;39.75
1968-05-09;39.7;40.25;;;;;;39.7
1968-05-10;39.8;40.25;;;;;;39.6
1968-05-13;39.4;40.25;;;;;;39.5
1968-05-14;39.6;40.25;;;;;;39.8
1968-05-15;40.1;41.6;;;;;;40.25
1968-05-16;40.85;41.6;;;;;;42.25
1968-05-17;41.6;41.6;;;;;;41.5
1968-05-20;42.0;41.6;;;;;;42.3
1968-05-21;42.6;41.6;;;;;;42.4
1968-05-22;42.2;41.55;;;;;;41.55
1968-05-23;41.5;41.55;;;;;;41.4
1968-05-24;41.75;41.55;;;;;;41.75
1968-05-27;41.5;41.55;;;;;;41.5
1968-05-28;41.6;41.55;;;;;;41.5
1968-05-29;41.5;41.3;;;;;;41.6
1968-05-30;41.75;41.3;;;;;;41.95
1968-05-31;42.0;41.3;;;;;;41.95
1968-06-03;42.0;41.3;;;;;;41.95
1968-06-04;41.2;41.3;;;;;;41.15
1968-06-05;41.4;42.0;;;;;;41.2
1968-06-06;41.25;42.0;;;;;;41.2
1968-06-07;41.2;42.0;;;;;;41.25
1968-06-10;41.35;42.0;;;;;;41.3
1968-06-11;41.3;42.0;;;;;;41.55
1968-06-12;42.1;41.4;;;;;;41.9
1968-06-13;41.4;41.4;;;;;;41.3
1968-06-14;40.2;41.4;;;;;;41.0
1968-06-17;40.9;41.4;;;;;;40.7
1968-06-18;40.7;41.4;;;;;;41.1
1968-06-19;41.4;40.9;;;;;;41.4
1968-06-20;41.05;40.9;;;;;;41.1
1968-06-21;41.05;40.9;;;;;;41.05
1968-06-24;41.05;40.9;;;;;;40.9
1968-06-25;40.85;40.9;;;;;;40.95
1968-06-26;40.95;41.0;;;;;;40.85
1968-06-27;40.8;41.0;;;;;;40.9
1968-06-28;40.95;41.0;;;;;;40.9
1968-07-01;40.9;41.0;;;;;;40.8
1968-07-02;40.85;41.0;;;;;;40.9
1968-07-03;40.9;40.12;;;;;;41.05
1968-07-04;41.05;40.12;;;;;;41.15
1968-07-05;41.1;40.12;;;;;;41.0
1968-07-08;40.95;40.12;;;;;;40.85
1968-07-09;40.6;40.12;;;;;;39.8
1968-07-10;40.15;37.8;;;;;;40.1
1968-07-11;39.4;37.8;;;;;;39.1
1968-07-12;39.1;37.8;;;;;;39.3
1968-07-15;39.15;37.8;;;;;;39.2
1968-07-16;38.9;37.8;;;;;;38.5
1968-07-17;37.8;39.2;;;;;;37.75
1968-07-18;38.0;39.2;;;;;;38.0
1968-07-19;39.1;39.2;;;;;;38.7
1968-07-22;38.65;39.2;;;;;;38.6
1968-07-23;38.65;39.2;;;;;;39.0
1968-07-24;39.2;38.85;;;;;;39.2
1968-07-25;39.1;38.85;;;;;;38.9
1968-07-26;38.75;38.85;;;;;;38.9
1968-07-29;38.9;38.85;;;;;;39.1
1968-07-30;39.1;38.85;;;;;;39.0
1968-07-31;38.9;38.75;;;;;;38.85
1968-08-01;38.8;38.75;;;;;;38.9
1968-08-02;38.8;38.75;;;;;;38.85
1968-08-05;38.85;38.75;;;;;;38.95
1968-08-06;38.85;38.75;;;;;;38.7
1968-08-07;38.8;38.95;;;;;;38.7
1968-08-08;38.55;38.95;;;;;;38.45
1968-08-09;38.45;38.95;;;;;;38.55
1968-08-12;38.6;38.95;;;;;;38.6
1968-08-13;38.75;38.95;;;;;;38.9
1968-08-14;38.95;40.15;;;;;;38.95
1968-08-15;39.0;40.15;;;;;;39.15
1968-08-16;39.1;40.15;;;;;;39.15
1968-08-19;39.15;40.15;;;;;;39.15
1968-08-20;39.35;40.15;;;;;;39.55
1968-08-21;40.3;39.57;;;;;;40.0
1968-08-22;39.65;39.57;;;;;;39.75
1968-08-23;39.65;39.57;;;;;;39.5
1968-08-26;39.4;39.57;;;;;;39.5
1968-08-27;39.55;39.57;;;;;;39.65
1968-08-28;39.55;39.9;;;;;;39.6
1968-08-29;39.8;39.9;;;;;;39.85
1968-08-30;39.85;39.9;;;;;;39.8
1968-09-02;39.85;39.9;;;;;;39.8
1968-09-03;39.97;39.9;;;;;;39.95
1968-09-04;39.9;40.05;;;;;;39.9
1968-09-05;39.95;40.05;;;;;;40.1
1968-09-06;40.0;40.05;;;;;;39.9
1968-09-09;40.0;40.05;;;;;;40.05
1968-09-10;40.0;40.05;;;;;;40.02
1968-09-11;40.0;40.5;;;;;;40.1
1968-09-12;40.05;40.5;;;;;;40.1
1968-09-13;40.17;40.5;;;;;;40.15
1968-09-16;40.2;40.5;;;;;;40.3
1968-09-17;40.55;40.5;;;;;;40.3
1968-09-18;40.45;40.42;;;;;;40.5
1968-09-19;40.52;40.42;;;;;;40.45
1968-09-20;40.5;40.42;;;;;;40.4
1968-09-23;40.42;40.42;;;;;;40.4
1968-09-24;40.47;40.42;;;;;;40.45
1968-09-25;40.42;38.55;;;;;;40.45
1968-09-26;40.45;38.55;;;;;;40.45
1968-09-27;40.3;38.55;;;;;;40.13
1968-09-30;39.7;38.55;;;;;;39.6
1968-10-01;39.6;38.55;;;;;;39.45
1968-10-02;38.3;38.9;;;;;;38.9
1968-10-03;39.0;38.9;;;;;;39.17
1968-10-04;38.9;38.9;;;;;;39.05
1968-10-07;39.8;38.9;;;;;;39.77
1968-10-08;39.75;38.9;;;;;;39.6
1968-10-09;39.2;38.95;;;;;;38.9
1968-10-10;38.82;38.95;;;;;;39.05
1968-10-11;39.2;38.95;;;;;;39.27
1968-10-14;39.3;38.95;;;;;;39.3
1968-10-15;39.2;38.95;;;;;;39.1
1968-10-16;38.95;39.2;;;;;;38.95
1968-10-17;39.2;39.2;;;;;;39.27
1968-10-18;39.4;39.2;;;;;;39.1
1968-10-21;39.1;39.2;;;;;;39.0
1968-10-22;38.95;39.2;;;;;;39.05
1968-10-23;39.17;39.25;;;;;;39.2
1968-10-24;39.2;39.25;;;;;;39.2
1968-10-25;39.3;39.25;;;;;;39.25
1968-10-28;39.38;39.25;;;;;;39.47
1968-10-29;39.6;39.25;;;;;;39.5
1968-10-30;39.3;39.5;;;;;;39.2
1968-10-31;39.2;39.5;;;;;;39.0
1968-11-01;38.9;39.5;;;;;;39.17
1968-11-04;39.25;39.5;;;;;;39.2
1968-11-05;39.32;39.5;;;;;;39.42
1968-11-06;39.5;39.8;;;;;;39.52
1968-11-07;39.52;39.8;;;;;;39.3
1968-11-08;39.4;39.8;;;;;;39.4
1968-11-11;39.5;39.8;;;;;;39.55
1968-11-12;39.72;39.8;;;;;;39.67
1968-11-13;39.75;40.65;;;;;;39.88
1968-11-14;39.75;40.65;;;;;;39.9
1968-11-15;40.0;40.65;;;;;;40.0
1968-11-18;40.0;40.65;;;;;;39.95
1968-11-19;40.05;40.65;;;;;;40.22
1968-11-20;40.75;39.8;;;;;;40.55
1968-11-21;40.25;39.8;;;;;;40.25
1968-11-22;40.2;39.8;;;;;;40.0
1968-11-25;40.3;39.8;;;;;;40.1
1968-11-26;40.07;39.8;;;;;;39.7
1968-11-27;39.75;40.62;;;;;;39.9
1968-11-28;39.85;40.62;;;;;;39.8
