OILBREN;P;PH;PL
1970-04-01;2.23;;
1970-04-02;2.23;;
1970-04-03;2.23;;
1970-04-06;2.23;;
1970-04-07;2.23;;
1970-04-08;2.23;;
1970-04-09;2.23;;
1970-04-10;2.23;;
1970-04-13;2.23;;
1970-04-14;2.23;;
1970-04-15;2.23;;
1970-04-16;2.23;;
1970-04-17;2.23;;
1970-04-20;2.23;;
1970-04-21;2.23;;
1970-04-22;2.23;;
1970-04-23;2.23;;
1970-04-24;2.23;;
1970-04-27;2.23;;
1970-04-28;2.23;;
1970-04-29;2.23;;
1970-04-30;2.23;;
1970-05-01;2.23;;
1970-05-04;2.23;;
1970-05-05;2.23;;
1970-05-06;2.23;;
1970-05-07;2.23;;
1970-05-08;2.23;;
1970-05-11;2.23;;
1970-05-12;2.23;;
1970-05-13;2.23;;
1970-05-14;2.23;;
1970-05-15;2.23;;
1970-05-18;2.23;;
1970-05-19;2.23;;
1970-05-20;2.23;;
1970-05-21;2.23;;
1970-05-22;2.23;;
1970-05-25;2.23;;
1970-05-26;2.23;;
1970-05-27;2.23;;
1970-05-28;2.23;;
1970-05-29;2.23;;
1970-06-01;2.23;;
1970-06-02;2.23;;
1970-06-03;2.23;;
1970-06-04;2.23;;
1970-06-05;2.23;;
1970-06-08;2.23;;
1970-06-09;2.23;;
1970-06-10;2.23;;
1970-06-11;2.23;;
1970-06-12;2.23;;
1970-06-15;2.23;;
1970-06-16;2.23;;
1970-06-17;2.23;;
1970-06-18;2.23;;
1970-06-19;2.23;;
1970-06-22;2.23;;
1970-06-23;2.23;;
1970-06-24;2.23;;
1970-06-25;2.23;;
1970-06-26;2.23;;
1970-06-29;2.23;;
1970-06-30;2.23;;
1970-07-01;2.23;;
1970-07-02;2.23;;
1970-07-03;2.23;;
1970-07-06;2.23;;
1970-07-07;2.23;;
1970-07-08;2.23;;
1970-07-09;2.23;;
1970-07-10;2.23;;
1970-07-13;2.23;;
1970-07-14;2.23;;
1970-07-15;2.23;;
1970-07-16;2.23;;
1970-07-17;2.23;;
1970-07-20;2.23;;
1970-07-21;2.23;;
1970-07-22;2.23;;
1970-07-23;2.23;;
1970-07-24;2.23;;
1970-07-27;2.23;;
1970-07-28;2.23;;
1970-07-29;2.23;;
1970-07-30;2.23;;
1970-07-31;2.23;;
1970-08-03;2.23;;
1970-08-04;2.23;;
1970-08-05;2.23;;
1970-08-06;2.23;;
1970-08-07;2.23;;
1970-08-10;2.23;;
1970-08-11;2.23;;
1970-08-12;2.23;;
1970-08-13;2.23;;
1970-08-14;2.23;;
1970-08-17;2.23;;
1970-08-18;2.23;;
1970-08-19;2.23;;
1970-08-20;2.23;;
1970-08-21;2.23;;
1970-08-24;2.23;;
1970-08-25;2.23;;
1970-08-26;2.23;;
1970-08-27;2.23;;
1970-08-28;2.23;;
1970-08-31;2.23;;
1970-09-01;2.23;;
1970-09-02;2.23;;
1970-09-03;2.23;;
1970-09-04;2.23;;
1970-09-07;2.23;;
1970-09-08;2.23;;
1970-09-09;2.23;;
1970-09-10;2.23;;
1970-09-11;2.23;;
1970-09-14;2.23;;
1970-09-15;2.23;;
1970-09-16;2.23;;
1970-09-17;2.23;;
1970-09-18;2.23;;
1970-09-21;2.23;;
1970-09-22;2.23;;
1970-09-23;2.23;;
1970-09-24;2.23;;
1970-09-25;2.23;;
1970-09-28;2.23;;
1970-09-29;2.23;;
1970-09-30;2.23;;
1970-10-01;2.23;;
1970-10-02;2.23;;
1970-10-05;2.23;;
1970-10-06;2.23;;
1970-10-07;2.23;;
1970-10-08;2.23;;
1970-10-09;2.23;;
1970-10-12;2.23;;
1970-10-13;2.23;;
1970-10-14;2.23;;
1970-10-15;2.23;;
1970-10-16;2.23;;
1970-10-19;2.23;;
1970-10-20;2.23;;
1970-10-21;2.23;;
1970-10-22;2.23;;
1970-10-23;2.23;;
1970-10-26;2.23;;
1970-10-27;2.23;;
1970-10-28;2.23;;
1970-10-29;2.23;;
1970-10-30;2.23;;
1970-11-02;2.23;;
1970-11-03;2.23;;
1970-11-04;2.23;;
1970-11-05;2.23;;
1970-11-06;2.23;;
1970-11-09;2.23;;
1970-11-10;2.23;;
1970-11-11;2.23;;
1970-11-12;2.23;;
1970-11-13;2.23;;
1970-11-16;2.23;;
1970-11-17;2.23;;
1970-11-18;2.23;;
1970-11-19;2.23;;
1970-11-20;2.23;;
1970-11-23;2.23;;
1970-11-24;2.23;;
1970-11-25;2.23;;
1970-11-26;2.23;;
1970-11-27;2.23;;
1970-11-30;2.23;;
1970-12-01;2.23;;
1970-12-02;2.23;;
1970-12-03;2.23;;
1970-12-04;2.23;;
1970-12-07;2.23;;
1970-12-08;2.23;;
1970-12-09;2.23;;
1970-12-10;2.23;;
1970-12-11;2.23;;
1970-12-14;2.23;;
1970-12-15;2.23;;
1970-12-16;2.23;;
1970-12-17;2.23;;
1970-12-18;2.23;;
1970-12-21;2.23;;
1970-12-22;2.23;;
1970-12-23;2.23;;
1970-12-24;2.23;;
1970-12-25;2.23;;
1970-12-28;2.23;;
1970-12-29;2.23;;
1970-12-30;2.23;;
1970-12-31;2.23;;
1971-01-01;2.23;;
1971-01-04;2.23;;
1971-01-05;2.23;;
1971-01-06;2.23;;
1971-01-07;2.23;;
1971-01-08;2.23;;
1971-01-11;2.23;;
1971-01-12;2.23;;
1971-01-13;2.23;;
1971-01-14;2.23;;
1971-01-15;2.23;;
1971-01-18;2.23;;
1971-01-19;2.23;;
1971-01-20;2.23;;
1971-01-21;2.23;;
1971-01-22;2.23;;
1971-01-25;2.23;;
1971-01-26;2.23;;
1971-01-27;2.23;;
1971-01-28;2.23;;
1971-01-29;2.55;;
1971-02-01;2.55;;
1971-02-02;2.55;;
1971-02-03;2.55;;
1971-02-04;2.55;;
1971-02-05;2.55;;
1971-02-08;2.55;;
1971-02-09;2.55;;
1971-02-10;2.55;;
1971-02-11;2.55;;
1971-02-12;2.55;;
1971-02-15;2.55;;
1971-02-16;2.55;;
1971-02-17;2.55;;
1971-02-18;2.55;;
1971-02-19;2.55;;
1971-02-22;2.55;;
1971-02-23;2.55;;
1971-02-24;2.55;;
1971-02-25;2.55;;
1971-02-26;2.55;;
1971-03-01;2.55;;
1971-03-02;2.55;;
1971-03-03;2.55;;
1971-03-04;2.55;;
1971-03-05;2.55;;
1971-03-08;2.55;;
1971-03-09;2.55;;
1971-03-10;2.55;;
1971-03-11;2.55;;
1971-03-12;2.55;;
1971-03-15;2.55;;
1971-03-16;2.55;;
1971-03-17;2.55;;
1971-03-18;2.55;;
1971-03-19;2.55;;
1971-03-22;2.55;;
1971-03-23;2.55;;
1971-03-24;2.55;;
1971-03-25;2.55;;
1971-03-26;2.55;;
1971-03-29;2.55;;
1971-03-30;2.55;;
1971-03-31;2.55;;
1971-04-01;2.55;;
1971-04-02;2.55;;
1971-04-05;2.55;;
1971-04-06;2.55;;
1971-04-07;2.55;;
1971-04-08;2.55;;
1971-04-09;2.55;;
1971-04-12;2.55;;
1971-04-13;2.55;;
1971-04-14;2.55;;
1971-04-15;2.55;;
1971-04-16;2.55;;
1971-04-19;2.55;;
1971-04-20;2.55;;
1971-04-21;2.55;;
1971-04-22;2.55;;
1971-04-23;2.55;;
1971-04-26;2.55;;
1971-04-27;2.55;;
1971-04-28;2.55;;
