OILWTXI;P;PH;PL
1982-04-01;28.2;;
1982-04-02;29.5;;
1982-04-05;29.5;;
1982-04-06;29.5;;
1982-04-07;29.5;;
1982-04-08;29.5;;
1982-04-09;32.2;;
1982-04-12;32.2;;
1982-04-13;32.2;;
1982-04-14;32.2;;
1982-04-15;32.2;;
1982-04-16;33.25;;
1982-04-19;33.25;;
1982-04-20;33.25;;
1982-04-21;33.25;;
1982-04-22;33.25;;
1982-04-23;33.85;;
1982-04-26;33.85;;
1982-04-27;33.85;;
1982-04-28;33.85;;
1982-04-29;33.85;;
1982-04-30;33.85;;
1982-05-03;33.85;;
1982-05-04;33.85;;
1982-05-05;33.85;;
1982-05-06;33.85;;
1982-05-07;34.9;;
1982-05-10;34.9;;
1982-05-11;34.9;;
1982-05-12;34.9;;
1982-05-13;34.9;;
1982-05-14;34.9;;
1982-05-17;34.9;;
1982-05-18;34.9;;
1982-05-19;34.9;;
1982-05-20;34.9;;
1982-05-21;36.1;;
1982-05-24;36.1;;
1982-05-25;36.1;;
1982-05-26;36.1;;
1982-05-27;36.1;;
1982-05-28;36.1;;
1982-05-31;36.1;;
1982-06-01;36.1;;
1982-06-02;36.1;;
1982-06-03;36.1;;
1982-06-04;35.5;;
1982-06-07;35.5;;
1982-06-08;35.5;;
1982-06-09;35.5;;
1982-06-10;35.5;;
1982-06-11;36.35;;
1982-06-14;36.35;;
1982-06-15;36.35;;
1982-06-16;36.35;;
1982-06-17;36.35;;
1982-06-18;35.3;;
1982-06-21;35.3;;
1982-06-22;35.3;;
1982-06-23;35.3;;
1982-06-24;35.3;;
1982-06-25;34.35;;
1982-06-28;34.35;;
1982-06-29;34.35;;
1982-06-30;34.35;;
1982-07-01;34.35;;
1982-07-02;34.75;;
1982-07-05;34.75;;
1982-07-06;34.75;;
1982-07-07;34.75;;
1982-07-08;34.75;;
1982-07-09;34.55;;
1982-07-12;34.55;;
1982-07-13;34.55;;
1982-07-14;34.55;;
1982-07-15;34.55;;
1982-07-16;34.55;;
1982-07-19;34.55;;
1982-07-20;34.55;;
1982-07-21;34.55;;
1982-07-22;34.55;;
1982-07-23;34.0;;
1982-07-26;34.0;;
1982-07-27;34.0;;
1982-07-28;34.0;;
1982-07-29;34.0;;
1982-07-30;33.83;;
1982-08-02;33.83;;
1982-08-03;33.83;;
1982-08-04;33.83;;
1982-08-05;33.83;;
1982-08-06;33.83;;
1982-08-09;33.83;;
1982-08-10;33.83;;
1982-08-11;33.83;;
1982-08-12;33.83;;
1982-08-13;33.83;;
1982-08-16;33.83;;
1982-08-17;33.83;;
1982-08-18;33.83;;
1982-08-19;33.83;;
1982-08-20;33.83;;
1982-08-23;33.83;;
