USBSINV.B;ES;ESA;ESMAG
1992-01-31;808281;808281000000;1000000
1992-02-28;809588;809588000000;1000000
1992-03-31;812709;812709000000;1000000
1992-04-30;815477;815477000000;1000000
1992-05-29;815010;815010000000;1000000
1992-06-30;820470;820470000000;1000000
1992-07-31;825008;825008000000;1000000
1992-08-31;826136;826136000000;1000000
1992-09-30;827501;827501000000;1000000
1992-10-30;827915;827915000000;1000000
1992-11-30;829834;829834000000;1000000
1992-12-31;835800;835800000000;1000000
1993-01-29;835995;835995000000;1000000
1993-02-26;838105;838105000000;1000000
1993-03-31;844816;844816000000;1000000
1993-04-30;846790;846790000000;1000000
1993-05-31;847301;847301000000;1000000
1993-06-30;849144;849144000000;1000000
1993-07-30;849350;849350000000;1000000
1993-08-31;850895;850895000000;1000000
1993-09-30;855006;855006000000;1000000
1993-10-29;855355;855355000000;1000000
1993-11-30;859061;859061000000;1000000
1993-12-31;863093;863093000000;1000000
1994-01-31;863036;863036000000;1000000
1994-02-28;867675;867675000000;1000000
1994-03-31;868782;868782000000;1000000
1994-04-29;871997;871997000000;1000000
1994-05-31;882951;882951000000;1000000
1994-06-30;888685;888685000000;1000000
1994-07-29;894306;894306000000;1000000
1994-08-31;902171;902171000000;1000000
1994-09-30;908038;908038000000;1000000
1994-10-31;913451;913451000000;1000000
1994-11-30;919510;919510000000;1000000
1994-12-30;926431;926431000000;1000000
1995-01-31;935671;935671000000;1000000
1995-02-28;942757;942757000000;1000000
1995-03-31;951531;951531000000;1000000
1995-04-28;959227;959227000000;1000000
1995-05-31;965662;965662000000;1000000
1995-06-30;969532;969532000000;1000000
1995-07-31;972755;972755000000;1000000
1995-08-31;976101;976101000000;1000000
1995-09-29;980037;980037000000;1000000
1995-10-31;984279;984279000000;1000000
1995-11-30;986800;986800000000;1000000
1995-12-29;985410;985410000000;1000000
1996-01-31;990755;990755000000;1000000
1996-02-29;991286;991286000000;1000000
1996-03-29;989178;989178000000;1000000
1996-04-30;992104;992104000000;1000000
1996-05-31;993754;993754000000;1000000
1996-06-28;993128;993128000000;1000000
1996-07-31;997579;997579000000;1000000
1996-08-30;999982;999982000000;1000000
1996-09-30;1000707;1000707000000;1000000
1996-10-31;1004411;1004411000000;1000000
1996-11-29;1004506;1004506000000;1000000
1996-12-31;1004679;1004679000000;1000000
1997-01-31;1007729;1007729000000;1000000
1997-02-28;1010747;1010747000000;1000000
1997-03-31;1010305;1010305000000;1000000
1997-04-30;1014560;1014560000000;1000000
1997-05-30;1018486;1018486000000;1000000
1997-06-30;1024770;1024770000000;1000000
1997-07-31;1026658;1026658000000;1000000
1997-08-29;1028047;1028047000000;1000000
1997-09-30;1034388;1034388000000;1000000
1997-10-31;1038298;1038298000000;1000000
1997-11-28;1040132;1040132000000;1000000
1997-12-31;1045526;1045526000000;1000000
1998-01-30;1048213;1048213000000;1000000
1998-02-27;1055100;1055100000000;1000000
1998-03-31;1060252;1060252000000;1000000
1998-04-30;1062355;1062355000000;1000000
1998-05-29;1061567;1061567000000;1000000
1998-06-30;1061996;1061996000000;1000000
1998-07-31;1063956;1063956000000;1000000
1998-08-31;1066337;1066337000000;1000000
1998-09-30;1070761;1070761000000;1000000
1998-10-30;1073148;1073148000000;1000000
1998-11-30;1077657;1077657000000;1000000
1998-12-31;1077213;1077213000000;1000000
1999-01-29;1077169;1077169000000;1000000
1999-02-26;1082779;1082779000000;1000000
1999-03-31;1090054;1090054000000;1000000
1999-04-30;1092854;1092854000000;1000000
1999-05-31;1095935;1095935000000;1000000
1999-06-30;1098783;1098783000000;1000000
1999-07-30;1103992;1103992000000;1000000
1999-08-31;1105901;1105901000000;1000000
1999-09-30;1112239;1112239000000;1000000
1999-10-29;1115763;1115763000000;1000000
1999-11-30;1128351;1128351000000;1000000
1999-12-31;1137317;1137317000000;1000000
2000-01-31;1140009;1140009000000;1000000
2000-02-29;1146484;1146484000000;1000000
2000-03-31;1150707;1150707000000;1000000
2000-04-28;1157485;1157485000000;1000000
2000-05-31;1163965;1163965000000;1000000
2000-06-30;1174203;1174203000000;1000000
2000-07-31;1175310;1175310000000;1000000
2000-08-31;1183220;1183220000000;1000000
2000-09-29;1183425;1183425000000;1000000
2000-10-31;1189945;1189945000000;1000000
2000-11-30;1197034;1197034000000;1000000
2000-12-29;1195945;1195945000000;1000000
2001-01-31;1197985;1197985000000;1000000
2001-02-28;1191588;1191588000000;1000000
2001-03-30;1185970;1185970000000;1000000
2001-04-30;1184466;1184466000000;1000000
2001-05-31;1182105;1182105000000;1000000
2001-06-29;1173176;1173176000000;1000000
2001-07-31;1165048;1165048000000;1000000
2001-08-31;1163559;1163559000000;1000000
2001-09-28;1157150;1157150000000;1000000
2001-10-31;1139051;1139051000000;1000000
2001-11-30;1126207;1126207000000;1000000
2001-12-31;1118562;1118562000000;1000000
2002-01-31;1117668;1117668000000;1000000
2002-02-28;1112461;1112461000000;1000000
2002-03-29;1108281;1108281000000;1000000
2002-04-30;1107068;1107068000000;1000000
2002-05-31;1110572;1110572000000;1000000
2002-06-28;1113008;1113008000000;1000000
2002-07-31;1119162;1119162000000;1000000
2002-08-30;1120334;1120334000000;1000000
2002-09-30;1128492;1128492000000;1000000
2002-10-31;1130561;1130561000000;1000000
2002-11-29;1132298;1132298000000;1000000
2002-12-31;1139097;1139097000000;1000000
2003-01-31;1140161;1140161000000;1000000
2003-02-28;1148904;1148904000000;1000000
2003-03-31;1149294;1149294000000;1000000
2003-04-30;1150330;1150330000000;1000000
2003-05-30;1145185;1145185000000;1000000
2003-06-30;1142196;1142196000000;1000000
2003-07-31;1139486;1139486000000;1000000
2003-08-29;1132683;1132683000000;1000000
2003-09-30;1136824;1136824000000;1000000
2003-10-31;1142980;1142980000000;1000000
2003-11-28;1144926;1144926000000;1000000
2003-12-31;1147694;1147694000000;1000000
2004-01-30;1148846;1148846000000;1000000
2004-02-27;1158974;1158974000000;1000000
2004-03-31;1168294;1168294000000;1000000
2004-04-30;1176015;1176015000000;1000000
2004-05-31;1183315;1183315000000;1000000
2004-06-30;1195398;1195398000000;1000000
2004-07-30;1206986;1206986000000;1000000
2004-08-31;1216717;1216717000000;1000000
2004-09-30;1217075;1217075000000;1000000
2004-10-29;1224994;1224994000000;1000000
2004-11-30;1238707;1238707000000;1000000
2004-12-31;1241303;1241303000000;1000000
2005-01-31;1252701;1252701000000;1000000
2005-02-28;1261527;1261527000000;1000000
2005-03-31;1269296;1269296000000;1000000
2005-04-29;1275086;1275086000000;1000000
2005-05-31;1275979;1275979000000;1000000
2005-06-30;1276090;1276090000000;1000000
2005-07-29;1270761;1270761000000;1000000
2005-08-31;1275075;1275075000000;1000000
2005-09-30;1282453;1282453000000;1000000
2005-10-31;1291183;1291183000000;1000000
2005-11-30;1300286;1300286000000;1000000
2005-12-30;1313394;1313394000000;1000000
2006-01-31;1323055;1323055000000;1000000
2006-02-28;1327300;1327300000000;1000000
2006-03-31;1340112;1340112000000;1000000
2006-04-28;1348757;1348757000000;1000000
2006-05-31;1363436;1363436000000;1000000
2006-06-30;1376006;1376006000000;1000000
2006-07-31;1381503;1381503000000;1000000
2006-08-31;1391539;1391539000000;1000000
2006-09-29;1396880;1396880000000;1000000
2006-10-31;1401196;1401196000000;1000000
2006-11-30;1406905;1406905000000;1000000
2006-12-29;1407845;1407845000000;1000000
2007-01-31;1412944;1412944000000;1000000
2007-02-28;1418657;1418657000000;1000000
2007-03-30;1421127;1421127000000;1000000
2007-04-30;1428724;1428724000000;1000000
2007-05-31;1438092;1438092000000;1000000
2007-06-29;1445874;1445874000000;1000000
2007-07-31;1447756;1447756000000;1000000
2007-08-31;1453462;1453462000000;1000000
2007-09-28;1461468;1461468000000;1000000
2007-10-31;1466622;1466622000000;1000000
2007-11-30;1475972;1475972000000;1000000
2007-12-31;1486057;1486057000000;1000000
2008-01-31;1501375;1501375000000;1000000
2008-02-29;1507791;1507791000000;1000000
2008-03-31;1506763;1506763000000;1000000
2008-04-30;1515314;1515314000000;1000000
2008-05-30;1517311;1517311000000;1000000
2008-06-30;1529153;1529153000000;1000000
2008-07-31;1539239;1539239000000;1000000
2008-08-29;1539954;1539954000000;1000000
2008-09-30;1531224;1531224000000;1000000
2008-10-31;1515528;1515528000000;1000000
2008-11-28;1494242;1494242000000;1000000
2008-12-31;1462775;1462775000000;1000000
2009-01-30;1444706;1444706000000;1000000
2009-02-27;1422449;1422449000000;1000000
2009-03-31;1402204;1402204000000;1000000
2009-04-30;1384957;1384957000000;1000000
2009-05-29;1367832;1367832000000;1000000
2009-06-30;1351260;1351260000000;1000000
2009-07-31;1336304;1336304000000;1000000
2009-08-31;1316673;1316673000000;1000000
2009-09-30;1311424;1311424000000;1000000
2009-10-30;1318849;1318849000000;1000000
2009-11-30;1327377;1327377000000;1000000
2009-12-31;1325989;1325989000000;1000000
2010-01-29;1327827;1327827000000;1000000
2010-02-26;1334891;1334891000000;1000000
2010-03-31;1343419;1343419000000;1000000
2010-04-30;1349413;1349413000000;1000000
2010-05-31;1351011;1351011000000;1000000
2010-06-30;1362729;1362729000000;1000000
2010-07-30;1373923;1373923000000;1000000
2010-08-31;1385148;1385148000000;1000000
2010-09-30;1401944;1401944000000;1000000
2010-10-29;1416169;1416169000000;1000000
2010-11-30;1425744;1425744000000;1000000
2010-12-31;1442657;1442657000000;1000000
2011-01-31;1453581;1453581000000;1000000
2011-02-28;1461505;1461505000000;1000000
2011-03-31;1480929;1480929000000;1000000
2011-04-29;1494996;1494996000000;1000000
2011-05-31;1511332;1511332000000;1000000
2011-06-30;1519972;1519972000000;1000000
