USCAPUS.R;ES;ESA;ESMAG
1999-05-15;-1.4;-1.4;1
1999-06-15;-0.1;-0.1;1
1999-08-15;0.4;0.4;1
1999-09-15;-0.5;-0.5;1
1999-10-15;0.4;0.4;1
1999-11-15;0.4;0.4;1
1999-12-15;0.2;0.2;1
2000-02-15;-0.1;-0.1;1
2000-03-15;-0.2;-0.2;1
2000-04-15;0.3;0.3;1
2000-05-15;0.5;0.5;1
2000-07-15;0.1;0.1;1
2000-08-15;0.3;0.3;1
2000-11-15;-0.2;-0.2;1
2000-12-15;-0.3;-0.3;1
2001-01-15;-0.1;-0.1;1
2001-02-15;-0.3;-0.3;1
2001-03-15;0.3;0.3;1
2001-04-15;-0.5;-0.5;1
2001-05-15;-0.6;-0.6;1
2001-06-15;0.2;0.2;1
2001-07-15;0.3;0.3;1
2001-08-15;-0.4;-0.4;1
2001-10-15;0.1;0.1;1
2001-11-15;0.7;0.7;1
2001-12-15;-0.2;-0.2;1
2002-02-15;0.5;0.5;1
2002-03-15;0.2;0.2;1
2002-04-15;-0.1;-0.1;1
2002-05-15;-0.1;-0.1;1
2002-06-15;0.3;0.3;1
2002-07-15;0.2;0.2;1
2002-08-15;-0.1;-0.1;1
2002-09-15;-0.1;-0.1;1
2002-10-15;-0.4;-0.4;1
2002-11-15;0.2;0.2;1
2002-12-15;-0.4;-0.4;1
2003-01-15;0.1;0.1;1
2003-02-15;0.1;0.1;1
2003-03-15;-0.5;-0.5;1
2003-04-15;-0.1;-0.1;1
2003-05-15;-0.1;-0.1;1
2003-07-15;0.2;0.2;1
2003-09-15;-0.2;-0.2;1
2003-10-15;0.1;0.1;1
2003-11-15;0.4;0.4;1
2003-12-15;-0.1;-0.1;1
2004-01-15;-0.2;-0.2;1
2004-02-15;0.2;0.2;1
2004-03-15;-0.3;-0.3;1
2004-04-15;0.2;0.2;1
2004-05-15;0.3;0.3;1
2004-06-15;-0.5;-0.5;1
2004-07-15;-0.4;-0.4;1
2004-08-15;-0.1;-0.1;1
2004-09-15;-0.2;-0.2;1
2004-10-15;0.3;0.3;1
2004-11-15;-0.2;-0.2;1
2004-12-15;0.3;0.3;1
2005-01-15;-0.4;-0.4;1
2005-02-15;0.2;0.2;1
2005-03-15;-0.2;-0.2;1
2005-06-15;0.4;0.4;1
2005-09-15;-1.0;-1.0;1
2005-10-15;0.4;0.4;1
2005-12-15;0.2;0.2;1
2006-01-15;0.1;0.1;1
2006-02-15;-0.1;-0.1;1
2006-03-15;-0.1;-0.1;1
2006-04-15;0.4;0.4;1
2006-05-15;-0.3;-0.3;1
2006-06-15;0.5;0.5;1
2006-07-15;-0.2;-0.2;1
2006-08-15;-0.1;-0.1;1
2006-09-15;-0.3;-0.3;1
2006-10-15;0.2;0.2;1
2006-11-15;-0.4;-0.4;1
2007-01-15;-0.5;-0.5;1
2007-02-15;0.7;0.7;1
2007-03-15;-0.5;-0.5;1
2007-04-15;0.1;0.1;1
2007-05-15;-0.3;-0.3;1
2007-06-15;0.2;0.2;1
2007-07-15;0.1;0.1;1
2007-08-15;0.2;0.2;1
2007-09-15;-0.1;-0.1;1
2007-10-15;-0.3;-0.3;1
2007-12-15;0.2;0.2;1
2008-01-15;0.2;0.2;1
2008-02-15;-0.4;-0.4;1
2008-03-15;0.2;0.2;1
2008-04-15;-0.4;-0.4;1
2008-05-15;-0.3;-0.3;1
2008-06-15;0.6;0.6;1
2008-07-15;0.1;0.1;1
2008-08-15;-0.9;-0.9;1
2008-09-15;-1.5;-1.5;1
2008-10-15;-0.1;-0.1;1
2008-11-15;-0.3;-0.3;1
2008-12-15;-1.0;-1.0;1
2009-01-15;-0.4;-0.4;1
2009-02-15;-0.2;-0.2;1
2009-03-15;-0.3;-0.3;1
2009-04-15;0.3;0.3;1
2009-05-15;-0.1;-0.1;1
2009-06-15;0.1;0.1;1
2009-07-15;0.2;0.2;1
2009-08-15;0.6;0.6;1
2009-09-15;0.8;0.8;1
2009-10-15;-0.1;-0.1;1
2009-11-15;0.2;0.2;1
2009-12-15;0.2;0.2;1
2010-02-15;0.1;0.1;1
