USCAPUTLQ;ES;ESA;ESMAG
1967-01-15;89.3902;89.3902;1
1967-02-15;87.975;87.975;1
1967-03-15;87.0835;87.0835;1
1967-04-15;87.5089;87.5089;1
1967-05-15;86.3566;86.3566;1
1967-06-15;85.9603;85.9603;1
1967-07-15;85.3833;85.3833;1
1967-08-15;86.6339;86.6339;1
1967-09-15;86.1122;86.1122;1
1967-10-15;86.4325;86.4325;1
1967-11-15;87.2856;87.2856;1
1967-12-15;87.8417;87.8417;1
1968-01-15;87.3836;87.3836;1
1968-02-15;87.3481;87.3481;1
1968-03-15;87.2735;87.2735;1
1968-04-15;87.0549;87.0549;1
1968-05-15;87.6852;87.6852;1
1968-06-15;87.6626;87.6626;1
1968-07-15;87.1865;87.1865;1
1968-08-15;87.0898;87.0898;1
1968-09-15;87.0812;87.0812;1
1968-10-15;86.9173;86.9173;1
1968-11-15;87.7032;87.7032;1
1968-12-15;87.6431;87.6431;1
1969-01-15;87.8454;87.8454;1
1969-02-15;88.089;88.089;1
1969-03-15;88.4604;88.4604;1
1969-04-15;87.8192;87.8192;1
1969-05-15;87.1748;87.1748;1
1969-06-15;87.7132;87.7132;1
1969-07-15;87.8635;87.8635;1
1969-08-15;87.7541;87.7541;1
1969-09-15;87.4255;87.4255;1
1969-10-15;87.144;87.144;1
1969-11-15;86.0206;86.0206;1
1969-12-15;85.4906;85.4906;1
1970-01-15;83.6294;83.6294;1
1970-02-15;83.3121;83.3121;1
1970-03-15;82.9432;82.9432;1
1970-04-15;82.4716;82.4716;1
1970-05-15;82.1189;82.1189;1
1970-06-15;81.5992;81.5992;1
1970-07-15;81.5463;81.5463;1
1970-08-15;81.1496;81.1496;1
1970-09-15;80.3422;80.3422;1
1970-10-15;78.4935;78.4935;1
1970-11-15;77.7795;77.7795;1
1970-12-15;79.323;79.323;1
1971-01-15;79.7089;79.7089;1
1971-02-15;79.3538;79.3538;1
1971-03-15;79.0655;79.0655;1
1971-04-15;79.307;79.307;1
1971-05-15;79.5069;79.5069;1
1971-06-15;79.6381;79.6381;1
1971-07-15;79.2061;79.2061;1
1971-08-15;78.5477;78.5477;1
1971-09-15;79.6235;79.6235;1
1971-10-15;80.0181;80.0181;1
1971-11-15;80.1565;80.1565;1
1971-12-15;80.8792;80.8792;1
1972-01-15;82.6152;82.6152;1
1972-02-15;83.2013;83.2013;1
1972-03-15;83.6092;83.6092;1
1972-04-15;84.2795;84.2795;1
1972-05-15;84.0266;84.0266;1
1972-06-15;84.0566;84.0566;1
1972-07-15;83.8196;83.8196;1
