USCNFBUSQ;ES;ESA;ESMAG
1950-01-15;59.1;59.1;1
1950-02-15;60.5;60.5;1
1950-03-15;62.1;62.1;1
1950-04-15;68.1;68.1;1
1950-05-15;74.7;74.7;1
1950-06-15;76.6;76.6;1
1950-07-15;77.5;77.5;1
1950-08-15;75.8;75.8;1
1950-09-15;68.1;68.1;1
1950-10-15;59.2;59.2;1
1950-11-15;63.1;63.1;1
1950-12-15;67.1;67.1;1
1951-01-15;67.8;67.8;1
1951-02-15;69.3;69.3;1
1951-03-15;65.5;65.5;1
1951-04-15;53.5;53.5;1
1951-05-15;50.7;50.7;1
1951-06-15;45.5;45.5;1
1951-07-15;42.1;42.1;1
1951-08-15;43.6;43.6;1
1951-09-15;48.1;48.1;1
1951-10-15;49.6;49.6;1
1951-11-15;47.2;47.2;1
1951-12-15;46.5;46.5;1
1952-01-15;44.7;44.7;1
1952-02-15;41.8;41.8;1
1952-03-15;40.0;40.0;1
1952-04-15;36.7;36.7;1
1952-05-15;39.5;39.5;1
1952-06-15;43.3;43.3;1
1952-07-15;48.3;48.3;1
1952-08-15;60.4;60.4;1
1952-09-15;56.1;56.1;1
1952-10-15;56.2;56.2;1
1952-11-15;56.8;56.8;1
1952-12-15;55.8;55.8;1
1953-01-15;59.4;59.4;1
1953-02-15;55.4;55.4;1
1953-03-15;50.5;50.5;1
1953-04-15;51.1;51.1;1
1953-05-15;48.9;48.9;1
1953-06-15;48.5;48.5;1
1953-07-15;46.3;46.3;1
1953-08-15;43.5;43.5;1
1953-09-15;40.2;40.2;1
1953-10-15;37.4;37.4;1
1953-11-15;36.9;36.9;1
1953-12-15;35.6;35.6;1
1954-01-15;37.4;37.4;1
1954-02-15;40.7;40.7;1
1954-03-15;44.7;44.7;1
1954-04-15;47.7;47.7;1
1954-05-15;50.1;50.1;1
1954-06-15;52.1;52.1;1
1954-07-15;51.7;51.7;1
1954-08-15;54.4;54.4;1
1954-09-15;53.5;53.5;1
1954-10-15;58.2;58.2;1
1954-11-15;58.8;58.8;1
1954-12-15;63.8;63.8;1
1955-01-15;63.0;63.0;1
1955-02-15;67.8;67.8;1
1955-03-15;67.5;67.5;1
1955-04-15;68.7;68.7;1
1955-05-15;69.5;69.5;1
1955-06-15;63.3;63.3;1
