USCNFCONQ;ES;ESA;ESMAG
1967-02-15;134.3;134.3;1
1967-03-15;134.3;134.3;1
1967-04-15;140.7;140.7;1
1967-05-15;140.7;140.7;1
1967-06-15;134.0;134.0;1
1967-07-15;134.0;134.0;1
1967-08-15;130.1;130.1;1
1967-09-15;130.1;130.1;1
1967-10-15;134.5;134.5;1
1967-11-15;134.5;134.5;1
1967-12-15;136.1;136.1;1
1968-01-15;136.1;136.1;1
1968-02-15;137.9;137.9;1
1968-03-15;137.9;137.9;1
1968-04-15;136.6;136.6;1
1968-05-15;136.6;136.6;1
1968-06-15;130.7;130.7;1
1968-07-15;130.7;130.7;1
1968-08-15;131.3;131.3;1
1968-09-15;131.3;131.3;1
1968-10-15;142.3;142.3;1
1968-11-15;142.3;142.3;1
1968-12-15;137.9;137.9;1
1969-01-15;137.9;137.9;1
1969-02-15;138.2;138.2;1
1969-03-15;138.2;138.2;1
1969-04-15;136.6;136.6;1
1969-05-15;136.6;136.6;1
1969-06-15;137.9;137.9;1
1969-07-15;137.9;137.9;1
1969-08-15;131.7;131.7;1
1969-09-15;131.7;131.7;1
1969-10-15;126.8;126.8;1
1969-11-15;126.8;126.8;1
1969-12-15;126.0;126.0;1
1970-01-15;126.0;126.0;1
1970-02-15;101.7;101.7;1
1970-03-15;101.7;101.7;1
1970-04-15;98.0;98.0;1
1970-05-15;98.0;98.0;1
1970-06-15;88.1;88.1;1
1970-07-15;88.1;88.1;1
1970-08-15;91.0;91.0;1
1970-09-15;91.0;91.0;1
1970-10-15;83.2;83.2;1
1970-11-15;83.2;83.2;1
1970-12-15;75.7;75.7;1
1971-01-15;75.7;75.7;1
1971-02-15;77.4;77.4;1
1971-03-15;77.4;77.4;1
1971-04-15;75.2;75.2;1
1971-05-15;75.2;75.2;1
1971-06-15;82.3;82.3;1
1971-07-15;82.3;82.3;1
1971-08-15;82.1;82.1;1
1971-09-15;82.1;82.1;1
1971-10-15;80.3;80.3;1
1971-11-15;80.3;80.3;1
1971-12-15;85.0;85.0;1
1972-01-15;85.0;85.0;1
1972-02-15;93.6;93.6;1
1972-03-15;93.6;93.6;1
1972-04-15;95.1;95.1;1
1972-05-15;95.1;95.1;1
1972-06-15;98.9;98.9;1
1972-07-15;98.9;98.9;1
1972-08-15;104.1;104.1;1
1972-09-15;104.1;104.1;1
1972-10-15;112.0;112.0;1
1972-11-15;112.0;112.0;1
1972-12-15;116.1;116.1;1
1973-01-15;116.1;116.1;1
1973-02-15;110.8;110.8;1
1973-03-15;110.8;110.8;1
1973-04-15;102.8;102.8;1
1973-05-15;102.8;102.8;1
1973-06-15;104.4;104.4;1
1973-07-15;104.4;104.4;1
1973-08-15;93.8;93.8;1
1973-09-15;93.8;93.8;1
1973-10-15;107.5;107.5;1
1973-11-15;107.5;107.5;1
1973-12-15;70.6;70.6;1
1974-01-15;70.6;70.6;1
1974-02-15;62.7;62.7;1
1974-03-15;62.7;62.7;1
1974-04-15;95.1;95.1;1
1974-05-15;95.1;95.1;1
1974-06-15;92.5;92.5;1
1974-07-15;92.5;92.5;1
1974-08-15;77.3;77.3;1
1974-09-15;77.3;77.3;1
1974-10-15;54.5;54.5;1
1974-11-15;54.5;54.5;1
1974-12-15;43.2;43.2;1
1975-01-15;43.2;43.2;1
1975-02-15;54.5;54.5;1
1975-03-15;54.5;54.5;1
1975-04-15;66.4;66.4;1
1975-05-15;66.4;66.4;1
1975-06-15;72.2;72.2;1
1975-07-15;72.2;72.2;1
1975-08-15;82.4;82.4;1
1975-09-15;82.4;82.4;1
1975-10-15;77.6;77.6;1
1975-11-15;77.6;77.6;1
1975-12-15;93.7;93.7;1
1976-01-15;93.7;93.7;1
1976-02-15;101.0;101.0;1
1976-03-15;101.0;101.0;1
1976-04-15;89.5;89.5;1
1976-05-15;89.5;89.5;1
1976-06-15;94.5;94.5;1
1976-07-15;94.5;94.5;1
1976-08-15;94.6;94.6;1
1976-09-15;94.6;94.6;1
1976-10-15;87.1;87.1;1
1976-11-15;87.1;87.1;1
1976-12-15;98.9;98.9;1
1977-01-15;98.9;98.9;1
1977-02-15;97.6;97.6;1
1977-03-15;97.6;97.6;1
1977-04-15;93.1;93.1;1
1977-05-15;93.1;93.1;1
1977-06-15;98.2;98.2;1
1977-07-15;97.5;97.5;1
1977-08-15;98.7;98.7;1
1977-09-15;96.7;96.7;1
1977-10-15;95.5;95.5;1
1977-11-15;98.9;98.9;1
1977-12-15;109.7;109.7;1
1978-01-15;107.8;107.8;1
1978-02-15;107.0;107.0;1
1978-03-15;104.7;104.7;1
1978-04-15;109.9;109.9;1
1978-05-15;105.5;105.5;1
1978-06-15;109.5;109.5;1
1978-07-15;105.4;105.4;1
1978-08-15;108.0;108.0;1
1978-09-15;106.6;106.6;1
1978-10-15;108.6;108.6;1
1978-11-15;96.5;96.5;1
1978-12-15;102.2;102.2;1
1979-01-15;99.5;99.5;1
1979-02-15;101.5;101.5;1
1979-03-15;96.4;96.4;1
1979-04-15;94.6;94.6;1
1979-05-15;96.0;96.0;1
1979-06-15;92.7;92.7;1
1979-07-15;81.4;81.4;1
1979-08-15;79.4;79.4;1
1979-09-15;87.8;87.8;1
1979-10-15;92.3;92.3;1
1979-11-15;90.2;90.2;1
1979-12-15;90.7;90.7;1
1980-01-15;85.9;85.9;1
1980-02-15;85.3;85.3;1
1980-03-15;80.8;80.8;1
1980-04-15;60.5;60.5;1
1980-05-15;50.1;50.1;1
1980-06-15;56.1;56.1;1
1980-07-15;65.4;65.4;1
1980-08-15;70.8;70.8;1
1980-09-15;80.3;80.3;1
1980-10-15;84.2;84.2;1
1980-11-15;87.2;87.2;1
1980-12-15;78.6;78.6;1
1981-01-15;74.4;74.4;1
1981-02-15;69.0;69.0;1
1981-03-15;77.8;77.8;1
1981-04-15;81.6;81.6;1
1981-05-15;86.9;86.9;1
1981-06-15;83.0;83.0;1
1981-07-15;83.5;83.5;1
1981-08-15;85.7;85.7;1
1981-09-15;77.6;77.6;1
1981-10-15;75.6;75.6;1
1981-11-15;66.9;66.9;1
1981-12-15;66.6;66.6;1
1982-01-15;64.9;64.9;1
1982-02-15;62.3;62.3;1
1982-03-15;56.7;56.7;1
1982-04-15;57.0;57.0;1
1982-05-15;61.4;61.4;1
1982-06-15;56.7;56.7;1
1982-07-15;63.2;63.2;1
1982-08-15;56.9;56.9;1
1982-09-15;58.1;58.1;1
1982-10-15;54.3;54.3;1
1982-11-15;57.4;57.4;1
1982-12-15;59.5;59.5;1
1983-01-15;59.0;59.0;1
1983-02-15;67.6;67.6;1
1983-03-15;79.4;79.4;1
1983-04-15;83.1;83.1;1
1983-05-15;87.7;87.7;1
1983-06-15;87.5;87.5;1
1983-07-15;89.0;89.0;1
1983-08-15;91.2;91.2;1
1983-09-15;91.1;91.1;1
1983-10-15;92.1;92.1;1
1983-11-15;96.7;96.7;1
1983-12-15;103.6;103.6;1
1984-01-15;103.9;103.9;1
1984-02-15;101.0;101.0;1
1984-03-15;101.1;101.1;1
1984-04-15;106.1;106.1;1
1984-05-15;104.8;104.8;1
1984-06-15;105.8;105.8;1
1984-07-15;100.4;100.4;1
1984-08-15;103.1;103.1;1
1984-09-15;100.0;100.0;1
1984-10-15;99.1;99.1;1
1984-11-15;105.5;105.5;1
1984-12-15;97.0;97.0;1
1985-01-15;102.0;102.0;1
1985-02-15;103.1;103.1;1
1985-03-15;96.1;96.1;1
1985-04-15;104.4;104.4;1
1985-05-15;99.6;99.6;1
1985-06-15;102.6;102.6;1
1985-07-15;103.2;103.2;1
1985-08-15;100.9;100.9;1
1985-09-15;96.0;96.0;1
1985-10-15;96.1;96.1;1
1985-11-15;98.1;98.1;1
1985-12-15;98.2;98.2;1
1986-01-15;96.9;96.9;1
1986-02-15;96.0;96.0;1
1986-03-15;95.1;95.1;1
1986-04-15;100.0;100.0;1
1986-05-15;100.2;100.2;1
1986-06-15;100.0;100.0;1
1986-07-15;97.5;97.5;1
1986-08-15;91.7;91.7;1
1986-09-15;89.7;89.7;1
1986-10-15;85.8;85.8;1
1986-11-15;89.7;89.7;1
1986-12-15;93.2;93.2;1
1987-01-15;85.4;85.4;1
1987-02-15;91.8;91.8;1
1987-03-15;95.8;95.8;1
1987-04-15;97.4;97.4;1
1987-05-15;103.0;103.0;1
1987-06-15;102.1;102.1;1
1987-07-15;105.8;105.8;1
1987-08-15;110.7;110.7;1
1987-09-15;115.7;115.7;1
1987-10-15;115.1;115.1;1
1987-11-15;100.8;100.8;1
1987-12-15;107.7;107.7;1
1988-01-15;109.9;109.9;1
1988-02-15;114.9;114.9;1
1988-03-15;112.7;112.7;1
1988-04-15;115.7;115.7;1
1988-05-15;120.2;120.2;1
1988-06-15;115.7;115.7;1
1988-07-15;113.5;113.5;1
1988-08-15;119.7;119.7;1
1988-09-15;110.7;110.7;1
1988-10-15;116.9;116.9;1
1988-11-15;112.9;112.9;1
1988-12-15;119.4;119.4;1
1989-01-15;115.8;115.8;1
1989-02-15;120.7;120.7;1
1989-03-15;117.4;117.4;1
1989-04-15;116.6;116.6;1
1989-05-15;116.7;116.7;1
1989-06-15;117.2;117.2;1
1989-07-15;120.4;120.4;1
1989-08-15;115.4;115.4;1
1989-09-15;116.3;116.3;1
1989-10-15;117.0;117.0;1
1989-11-15;115.1;115.1;1
1989-12-15;113.0;113.0;1
1990-01-15;106.5;106.5;1
1990-02-15;106.7;106.7;1
1990-03-15;110.6;110.6;1
1990-04-15;107.3;107.3;1
1990-05-15;107.3;107.3;1
1990-06-15;102.4;102.4;1
1990-07-15;101.7;101.7;1
