USCRDCONB;ES;ESA;ESMAG
1950-01-31;19.05087;19050870000.0;1000000000.0
1950-02-28;19.37163;19371630000.0;1000000000.0
1950-03-31;19.73483;19734830000.0;1000000000.0
1950-04-28;20.14838;20148380000.0;1000000000.0
1950-05-31;20.62168;20621680000.0;1000000000.0
1950-06-30;21.11884;21118840000.0;1000000000.0
1950-07-31;22.08629;22086290000.0;1000000000.0
1950-08-31;22.72826;22728260000.0;1000000000.0
1950-09-29;23.17157;23171570000.0;1000000000.0
1950-10-31;23.24215;23242150000.0;1000000000.0
1950-11-30;23.25856;23258560000.0;1000000000.0
1950-12-29;23.22916;23229160000.0;1000000000.0
1951-01-31;23.7976;23797600000.0;1000000000.0
1951-02-28;24.10942;24109420000.0;1000000000.0
1951-03-30;24.28096;24280960000.0;1000000000.0
1951-04-30;24.07615;24076150000.0;1000000000.0
1951-05-31;23.99488;23994880000.0;1000000000.0
1951-06-29;23.84103;23841030000.0;1000000000.0
1951-07-31;23.70657;23706570000.0;1000000000.0
1951-08-31;23.94011;23940110000.0;1000000000.0
1951-09-28;24.09829;24098290000.0;1000000000.0
1951-10-31;24.28801;24288010000.0;1000000000.0
1951-11-30;24.63974;24639740000.0;1000000000.0
1951-12-31;24.62795;24627950000.0;1000000000.0
1952-01-31;24.80192;24801920000.0;1000000000.0
1952-02-29;25.15192;25151920000.0;1000000000.0
1952-03-31;25.19558;25195580000.0;1000000000.0
1952-04-30;25.54805;25548050000.0;1000000000.0
1952-05-30;26.14647;26146470000.0;1000000000.0
1952-06-30;26.76243;26762430000.0;1000000000.0
1952-07-31;27.21019;27210190000.0;1000000000.0
1952-08-29;27.46878;27468780000.0;1000000000.0
1952-09-30;27.86982;27869820000.0;1000000000.0
1952-10-31;28.49656;28496560000.0;1000000000.0
1952-11-28;29.04911;29049110000.0;1000000000.0
1952-12-31;29.68558;29685580000.0;1000000000.0
1953-01-30;30.47945;30479450000.0;1000000000.0
1953-02-27;30.88661;30886610000.0;1000000000.0
1953-03-31;31.63933;31639330000.0;1000000000.0
1953-04-30;32.11735;32117350000.0;1000000000.0
1953-05-29;32.43182;32431820000.0;1000000000.0
1953-06-30;32.50158;32501580000.0;1000000000.0
1953-07-31;32.7923;32792300000.0;1000000000.0
1953-08-31;33.06061;33060610000.0;1000000000.0
1953-09-30;33.25574;33255740000.0;1000000000.0
1953-10-30;33.48228;33482280000.0;1000000000.0
1953-11-30;33.55831;33558310000.0;1000000000.0
1953-12-31;33.69692;33696920000.0;1000000000.0
1954-01-29;34.0649;34064900000.0;1000000000.0
1954-02-26;33.70135;33701350000.0;1000000000.0
1954-03-31;33.50766;33507660000.0;1000000000.0
1954-04-30;33.7065;33706500000.0;1000000000.0
1954-05-31;33.7048;33704800000.0;1000000000.0
1954-06-30;33.81539;33815390000.0;1000000000.0
1954-07-30;34.0572;34057200000.0;1000000000.0
1954-08-31;34.00956;34009560000.0;1000000000.0
1954-09-30;34.13728;34137280000.0;1000000000.0
1954-10-29;34.36337;34363370000.0;1000000000.0
1954-11-30;34.60856;34608560000.0;1000000000.0
1954-12-31;35.02827;35028270000.0;1000000000.0
1955-01-31;35.37251;35372510000.0;1000000000.0
1955-02-28;35.92541;35925410000.0;1000000000.0
1955-03-31;36.53032;36530320000.0;1000000000.0
1955-04-29;37.23521;37235210000.0;1000000000.0
1955-05-31;37.73678;37736780000.0;1000000000.0
1955-06-30;38.53667;38536670000.0;1000000000.0
1955-07-29;39.02943;39029430000.0;1000000000.0
1955-08-31;39.73277;39732770000.0;1000000000.0
1955-09-30;40.39419;40394190000.0;1000000000.0
1955-10-31;40.83366;40833660000.0;1000000000.0
1955-11-30;41.36682;41366820000.0;1000000000.0
1955-12-30;41.86903;41869030000.0;1000000000.0
1956-01-31;42.12013;42120130000.0;1000000000.0
1956-02-29;42.56107;42561070000.0;1000000000.0
1956-03-30;43.20525;43205250000.0;1000000000.0
1956-04-30;43.38397;43383970000.0;1000000000.0
1956-05-31;43.79961;43799610000.0;1000000000.0
1956-06-29;44.05363;44053630000.0;1000000000.0
1956-07-31;44.17342;44173420000.0;1000000000.0
1956-08-31;44.49886;44498860000.0;1000000000.0
1956-09-28;44.77898;44778980000.0;1000000000.0
1956-10-31;44.93415;44934150000.0;1000000000.0
1956-11-30;45.40079;45400790000.0;1000000000.0
1956-12-31;45.44824;45448240000.0;1000000000.0
1957-01-31;45.7005;45700500000.0;1000000000.0
1957-02-28;46.04224;46042240000.0;1000000000.0
1957-03-29;46.2453;46245300000.0;1000000000.0
1957-04-30;46.51742;46517420000.0;1000000000.0
1957-05-31;46.83804;46838040000.0;1000000000.0
1957-06-28;47.00029;47000290000.0;1000000000.0
1957-07-31;47.36847;47368470000.0;1000000000.0
1957-08-30;47.64621;47646210000.0;1000000000.0
1957-09-30;47.74148;47741480000.0;1000000000.0
1957-10-31;47.879;47879000000.0;1000000000.0
1957-11-29;47.95967;47959670000.0;1000000000.0
1957-12-31;48.07827;48078270000.0;1000000000.0
1958-01-31;48.29247;48292470000.0;1000000000.0
1958-02-28;48.09752;48097520000.0;1000000000.0
1958-03-31;47.77344;47773440000.0;1000000000.0
1958-04-30;47.6625;47662500000.0;1000000000.0
1958-05-30;47.61828;47618280000.0;1000000000.0
1958-06-30;47.50736;47507360000.0;1000000000.0
1958-07-31;47.55228;47552280000.0;1000000000.0
1958-08-29;47.59298;47592980000.0;1000000000.0
1958-09-30;47.71292;47712920000.0;1000000000.0
1958-10-31;47.82317;47823170000.0;1000000000.0
1958-11-28;47.98748;47987480000.0;1000000000.0
1958-12-31;48.39435;48394350000.0;1000000000.0
1959-01-30;48.96116;48961160000.0;1000000000.0
1959-02-27;49.51371;49513710000.0;1000000000.0
1959-03-31;50.00773;50007730000.0;1000000000.0
1959-04-30;50.46343;50463430000.0;1000000000.0
