USCSHPM%E;ES;ESA;ESMAG
2000-02-15;1.09;1.09;1
2000-03-15;1.07;1.07;1
2000-04-15;1.19;1.19;1
2000-05-15;1.2;1.2;1
2000-06-15;1.09;1.09;1
2000-07-15;0.69;0.69;1
2000-08-15;0.68;0.68;1
2000-09-15;0.7;0.7;1
2000-10-15;0.81;0.81;1
2000-11-15;0.99;0.99;1
2000-12-15;1.11;1.11;1
2001-01-15;1.12;1.12;1
2001-02-15;0.96;0.96;1
2001-03-15;0.84;0.84;1
2001-04-15;0.65;0.65;1
2001-05-15;0.4;0.4;1
2001-06-15;0.52;0.52;1
2001-07-15;0.51;0.51;1
2001-08-15;0.64;0.64;1
2001-09-15;0.66;0.66;1
2001-10-15;0.55;0.55;1
2001-11-15;0.48;0.48;1
2001-12-15;0.33;0.33;1
2002-01-15;0.57;0.57;1
2002-02-15;0.68;0.68;1
2002-03-15;0.92;0.92;1
2002-04-15;0.96;0.96;1
2002-05-15;1.13;1.13;1
2002-06-15;1.17;1.17;1
2002-07-15;1.17;1.17;1
2002-08-15;1.11;1.11;1
2002-09-15;0.94;0.94;1
2002-10-15;1.0;1.0;1
2002-11-15;0.94;0.94;1
2002-12-15;0.97;0.97;1
2003-01-15;0.79;0.79;1
2003-02-15;0.73;0.73;1
2003-03-15;0.67;0.67;1
2003-04-15;0.63;0.63;1
2003-05-15;0.65;0.65;1
2003-06-15;0.55;0.55;1
2003-07-15;0.85;0.85;1
2003-08-15;1.01;1.01;1
2003-09-15;1.19;1.19;1
2003-10-15;1.19;1.19;1
2003-11-15;1.24;1.24;1
2003-12-15;1.3;1.3;1
2004-01-15;1.23;1.23;1
2004-02-15;1.26;1.26;1
2004-03-15;1.56;1.56;1
2004-04-15;1.53;1.53;1
2004-05-15;1.51;1.51;1
2004-06-15;1.58;1.58;1
2004-07-15;1.27;1.27;1
2004-08-15;1.02;1.02;1
2004-09-15;0.94;0.94;1
2004-10-15;0.97;0.97;1
2004-11-15;1.05;1.05;1
2004-12-15;1.16;1.16;1
2005-01-15;1.41;1.41;1
2005-02-15;1.52;1.52;1
2005-03-15;1.66;1.66;1
2005-04-15;1.23;1.23;1
2005-05-15;1.11;1.11;1
2005-06-15;1.05;1.05;1
2005-07-15;0.98;0.98;1
2005-08-15;1.04;1.04;1
2005-09-15;1.16;1.16;1
2005-10-15;1.16;1.16;1
2005-11-15;1.15;1.15;1
2005-12-15;1.01;1.01;1
2006-01-15;0.79;0.79;1
2006-02-15;0.79;0.79;1
2006-03-15;0.45;0.45;1
2006-04-15;0.16;0.16;1
2006-05-15;-0.07;-0.07;1
2006-06-15;-0.33;-0.33;1
2006-07-15;-0.42;-0.42;1
2006-08-15;-0.41;-0.41;1
2006-09-15;-0.25;-0.25;1
2006-10-15;-0.02;-0.02;1
2006-11-15;0.05;0.05;1
2006-12-15;-0.09;-0.09;1
2007-01-15;0.14;0.14;1
2007-02-15;0.17;0.17;1
2007-03-15;0.06;0.06;1
2007-04-15;-0.66;-0.66;1
2007-05-15;-0.91;-0.91;1
2007-06-15;-1.07;-1.07;1
2007-07-15;-1.01;-1.01;1
2007-08-15;-1.01;-1.01;1
2007-09-15;-0.9;-0.9;1
2007-10-15;-1.11;-1.11;1
2007-11-15;-1.61;-1.61;1
2007-12-15;-1.5;-1.5;1
2008-01-15;-1.6;-1.6;1
2008-02-15;-1.96;-1.96;1
2008-03-15;-1.74;-1.74;1
2008-04-15;-1.73;-1.73;1
2008-05-15;-1.68;-1.68;1
2008-06-15;-1.38;-1.38;1
2008-07-15;-1.66;-1.66;1
2008-08-15;-1.42;-1.42;1
2008-09-15;-1.83;-1.83;1
2008-10-15;-1.78;-1.78;1
2008-11-15;-1.69;-1.69;1
2008-12-15;-1.91;-1.91;1
2009-01-15;-2.0;-2.0;1
2009-02-15;-1.42;-1.42;1
2009-03-15;-1.72;-1.72;1
2009-04-15;-1.08;-1.08;1
2009-05-15;-0.54;-0.54;1
2009-06-15;0.35;0.35;1
2009-07-15;0.67;0.67;1
2009-08-15;0.82;0.82;1
2009-09-15;0.44;0.44;1
2009-10-15;0.49;0.49;1
2009-11-15;0.47;0.47;1
2009-12-15;0.53;0.53;1
2010-01-15;0.47;0.47;1
2010-02-15;0.01;0.01;1
2010-03-15;-0.12;-0.12;1
2010-04-15;0.25;0.25;1
2010-05-15;0.08;0.08;1
2010-06-15;-0.12;-0.12;1
2010-07-15;-0.45;-0.45;1
2010-08-15;-0.64;-0.64;1
2010-09-15;-0.65;-0.65;1
2010-10-15;-0.65;-0.65;1
2010-11-15;-0.24;-0.24;1
2010-12-15;-0.21;-0.21;1
2011-01-15;-0.26;-0.26;1
2011-02-15;-0.34;-0.34;1
2011-03-15;-0.73;-0.73;1
2011-04-15;-0.13;-0.13;1
2011-05-15;-0.31;-0.31;1
2011-06-15;-0.04;-0.04;1
2011-07-15;-0.06;-0.06;1
2011-08-15;-0.26;-0.26;1
2011-09-15;-0.43;-0.43;1
2011-10-15;-0.55;-0.55;1
2011-11-15;-0.49;-0.49;1
2011-12-15;-0.38;-0.38;1
2012-01-15;-0.14;-0.14;1
2012-02-15;-0.02;-0.02;1
2012-03-15;0.18;0.18;1
2012-04-15;0.59;0.59;1
2012-05-15;0.94;0.94;1
2012-06-15;1.1;1.1;1
2012-07-15;0.59;0.59;1
2012-08-15;0.61;0.61;1
2012-09-15;0.61;0.61;1
2012-10-15;0.7;0.7;1
2012-11-15;0.75;0.75;1
2012-12-15;0.96;0.96;1
2013-01-15;0.9;0.9;1
2013-02-15;0.97;0.97;1
2013-03-15;1.44;1.44;1
2013-04-15;1.62;1.62;1
2013-05-15;1.06;1.06;1
2013-06-15;1.07;1.07;1
2013-07-15;0.97;0.97;1
2013-08-15;1.11;1.11;1
2013-09-15;1.05;1.05;1
2013-10-15;0.98;0.98;1
2013-11-15;0.86;0.86;1
2013-12-15;0.68;0.68;1
2014-01-15;0.71;0.71;1
2014-02-15;0.58;0.58;1
2014-03-15;0.97;0.97;1
2014-04-15;0.15;0.15;1
2014-05-15;-0.29;-0.29;1
2014-06-15;-0.04;-0.04;1
2014-07-15;-0.18;-0.18;1
2014-08-15;0.04;0.04;1
2014-09-15;0.26;0.26;1
2014-10-15;0.65;0.65;1
2014-11-15;0.66;0.66;1
2014-12-15;0.82;0.82;1
2015-01-15;0.71;0.71;1
2015-02-15;1.03;1.03;1
2015-03-15;0.96;0.96;1
2015-04-15;0.12;0.12;1
2015-05-15;-0.31;-0.31;1
2015-06-15;-0.04;-0.04;1
2015-07-15;-0.07;-0.07;1
2015-08-15;0.15;0.15;1
2015-09-15;0.49;0.49;1
2015-10-15;0.75;0.75;1
2015-11-15;0.94;0.94;1
2015-12-15;0.78;0.78;1
2016-01-15;0.8;0.8;1
