USPENONFO;ES;ESA;ESMAG
2001-04-15;111600.0;111600000;1000
2001-05-15;111413.9;111413870;1000
2001-06-15;111242.0;111241950;1000
2001-07-15;111074.1;111074050;1000
2001-08-15;110854.9;110854900;1000
2001-09-15;110632.3;110632330;1000
2001-10-15;110218.6;110218630;1000
2001-11-15;109831.6;109831610;1000
2001-12-15;109573.0;109572970;1000
2002-01-15;109438.6;109438560;1000
2002-02-15;109335.4;109335390;1000
2002-03-15;109282.0;109282000;1000
2002-04-15;109214.2;109214180;1000
2002-05-15;109167.5;109167510;1000
2002-06-15;109071.0;109071030;1000
2002-07-15;108980.2;108980210;1000
2002-08-15;108948.1;108948140;1000
2002-09-15;108879.7;108879650;1000
2002-10-15;108884.8;108884830;1000
2002-11-15;108885.9;108885860;1000
2002-12-15;108874.3;108874330;1000
2003-01-15;108776.4;108776350;1000
2003-02-15;108707.6;108707600;1000
2003-03-15;108628.0;108628000;1000
2003-04-15;108558.1;108558060;1000
2003-05-15;108528.1;108528130;1000
2003-06-15;108516.6;108516630;1000
2003-07-15;108570.9;108570880;1000
2003-08-15;108659.1;108659130;1000
2003-09-15;108790.1;108790080;1000
2003-10-15;108931.3;108931260;1000
2003-11-15;108982.6;108982630;1000
2003-12-15;109067.2;109067220;1000
2004-01-15;109208.0;109208020;1000
2004-02-15;109391.4;109391350;1000
2004-03-15;109570.0;109570000;1000
2004-04-15;109779.4;109779360;1000
2004-05-15;109949.5;109949540;1000
2004-06-15;110159.9;110159870;1000
2004-07-15;110300.0;110299950;1000
2004-08-15;110403.9;110403870;1000
2004-09-15;110528.9;110528860;1000
2004-10-15;110734.3;110734270;1000
2004-11-15;110770.0;110770020;1000
2004-12-15;110899.9;110899910;1000
2005-01-15;111036.4;111036400;1000
2005-02-15;111198.3;111198300;1000
2005-03-15;111429.0;111429000;1000
2005-04-15;111616.6;111616620;1000
2005-05-15;111864.3;111864260;1000
2005-06-15;112052.1;112052130;1000
2005-07-15;112271.7;112271710;1000
2005-08-15;112514.9;112514850;1000
2005-09-15;112721.4;112721430;1000
2005-10-15;112872.4;112872380;1000
2005-11-15;113151.3;113151250;1000
2005-12-15;113305.9;113305850;1000
2006-01-15;113556.7;113556740;1000
2006-02-15;113913.3;113913300;1000
2006-03-15;114146.0;114146000;1000
2006-04-15;114299.1;114299140;1000
2006-05-15;114450.0;114449950;1000
2006-06-15;114582.7;114582680;1000
2006-07-15;114726.6;114726560;1000
2006-08-15;114875.3;114875290;1000
2006-09-15;114916.3;114916310;1000
2006-10-15;115026.4;115026370;1000
2006-11-15;115198.6;115198600;1000
2006-12-15;115214.4;115214390;1000
2007-01-15;115381.3;115381260;1000
