USUMINM1R;ES;ESA;ESMAG
1978-01-15;5.2;5.2;1
1978-02-15;6.4;6.4;1
1978-03-15;6.3;6.3;1
1978-04-15;6.7;6.7;1
1978-05-15;6.9;6.9;1
1978-06-15;6.5;6.5;1
1978-07-15;6.6;6.6;1
1978-08-15;8.7;8.7;1
1978-09-15;6.9;6.9;1
1978-10-15;7.4;7.4;1
1978-11-15;7.5;7.5;1
1978-12-15;7.3;7.3;1
1979-01-15;7.8;7.8;1
1979-02-15;9.3;9.3;1
1979-03-15;8.8;8.8;1
1979-04-15;9.7;9.7;1
1979-05-15;9.8;9.8;1
1979-06-15;9.9;9.9;1
1979-07-15;9.9;9.9;1
1979-08-15;9.9;9.9;1
1979-09-15;9.6;9.6;1
1979-10-15;9.0;9.0;1
1979-11-15;10.0;10.0;1
1979-12-15;9.9;9.9;1
1980-01-15;10.4;10.4;1
1980-02-15;10.0;10.0;1
1980-03-15;10.2;10.2;1
1980-04-15;10.1;10.1;1
1980-05-15;8.6;8.6;1
1980-06-15;8.5;8.5;1
1980-07-15;9.6;9.6;1
1980-08-15;7.6;7.6;1
1980-09-15;9.1;9.1;1
1980-10-15;9.6;9.6;1
1980-11-15;8.6;8.6;1
1980-12-15;9.7;9.7;1
1981-01-15;9.5;9.5;1
1981-02-15;8.6;8.6;1
1981-03-15;7.2;7.2;1
1981-04-15;8.0;8.0;1
1981-05-15;7.3;7.3;1
1981-06-15;7.1;7.1;1
1981-07-15;6.8;6.8;1
1981-08-15;5.8;5.8;1
1981-09-15;6.9;6.9;1
1981-10-15;6.7;6.7;1
1981-11-15;7.3;7.3;1
1981-12-15;5.3;5.3;1
1982-01-15;5.1;5.1;1
1982-02-15;5.2;5.2;1
1982-03-15;4.2;4.2;1
1982-04-15;4.7;4.7;1
1982-05-15;3.5;3.5;1
1982-06-15;4.6;4.6;1
1982-07-15;5.0;5.0;1
1982-08-15;4.8;4.8;1
1982-09-15;4.5;4.5;1
1982-10-15;4.7;4.7;1
1982-11-15;4.5;4.5;1
1982-12-15;3.7;3.7;1
1983-01-15;2.8;2.8;1
1983-02-15;3.0;3.0;1
1983-03-15;1.8;1.8;1
1983-04-15;3.4;3.4;1
1983-05-15;3.2;3.2;1
1983-06-15;3.2;3.2;1
1983-07-15;3.2;3.2;1
1983-08-15;3.3;3.3;1
1983-09-15;3.3;3.3;1
1983-10-15;3.7;3.7;1
1983-11-15;3.5;3.5;1
1983-12-15;3.5;3.5;1
1984-01-15;3.2;3.2;1
1984-02-15;3.3;3.3;1
1984-03-15;3.4;3.4;1
1984-04-15;3.9;3.9;1
1984-05-15;4.2;4.2;1
1984-06-15;4.2;4.2;1
1984-07-15;3.4;3.4;1
1984-08-15;3.0;3.0;1
1984-09-15;3.0;3.0;1
1984-10-15;3.5;3.5;1
1984-11-15;3.4;3.4;1
1984-12-15;3.3;3.3;1
1985-01-15;2.9;2.9;1
1985-02-15;3.1;3.1;1
1985-03-15;3.0;3.0;1
1985-04-15;3.3;3.3;1
1985-05-15;3.2;3.2;1
1985-06-15;3.4;3.4;1
1985-07-15;2.8;2.8;1
1985-08-15;2.8;2.8;1
1985-09-15;2.9;2.9;1
1985-10-15;3.3;3.3;1
1985-11-15;3.1;3.1;1
1985-12-15;3.5;3.5;1
1986-01-15;2.9;2.9;1
1986-02-15;2.8;2.8;1
1986-03-15;2.3;2.3;1
1986-04-15;2.4;2.4;1
1986-05-15;2.7;2.7;1
1986-06-15;2.9;2.9;1
1986-07-15;2.8;2.8;1
1986-08-15;3.0;3.0;1
1986-09-15;2.9;2.9;1
1986-10-15;3.2;3.2;1
1986-11-15;2.8;2.8;1
1986-12-15;3.0;3.0;1
1987-01-15;2.9;2.9;1
1987-02-15;3.1;3.1;1
1987-03-15;3.0;3.0;1
1987-04-15;3.0;3.0;1
1987-05-15;3.4;3.4;1
1987-06-15;3.3;3.3;1
1987-07-15;3.1;3.1;1
1987-08-15;3.2;3.2;1
1987-09-15;3.0;3.0;1
1987-10-15;3.3;3.3;1
1987-11-15;3.2;3.2;1
1987-12-15;3.1;3.1;1
1988-01-15;3.2;3.2;1
1988-02-15;3.1;3.1;1
1988-03-15;3.2;3.2;1
