USPMNBC.Q;ES;ESA;ESMAG
1993-05-31;49.6;49.6;1
1993-06-30;50.7;50.7;1
1993-07-30;52.7;52.7;1
1993-08-31;55.8;55.8;1
1993-09-30;58.7;58.7;1
1993-10-29;59.1;59.1;1
1993-11-30;61.3;61.3;1
1993-12-31;62.8;62.8;1
1994-01-31;65.9;65.9;1
1994-02-28;68.8;68.8;1
1994-03-31;71.2;71.2;1
1994-04-29;75.2;75.2;1
1994-05-31;77.3;77.3;1
1994-06-30;79.1;79.1;1
1994-07-29;80.4;80.4;1
1994-08-31;80.6;80.6;1
1994-09-30;79.2;79.2;1
1994-10-31;80.6;80.6;1
1994-11-30;81.0;81.0;1
1994-12-30;81.8;81.8;1
1995-01-31;81.4;81.4;1
1995-02-28;82.1;82.1;1
1995-03-31;84.5;84.5;1
1995-04-28;84.8;84.8;1
1995-05-31;85.0;85.0;1
1995-06-30;84.5;84.5;1
1995-07-31;84.6;84.6;1
1995-08-31;85.2;85.2;1
1995-09-29;86.2;86.2;1
1995-10-31;87.3;87.3;1
1995-11-30;88.0;88.0;1
1995-12-29;86.5;86.5;1
1996-01-31;88.4;88.4;1
1996-02-29;88.6;88.6;1
1996-03-29;90.6;90.6;1
1996-04-30;92.6;92.6;1
1996-05-31;94.6;94.6;1
1996-06-28;97.9;97.9;1
1996-07-31;100.6;100.6;1
1996-08-30;104.7;104.7;1
1996-09-30;106.4;106.4;1
1996-10-31;108.6;108.6;1
1996-11-29;112.1;112.1;1
1996-12-31;114.9;114.9;1
1997-01-31;118.4;118.4;1
1997-02-28;120.6;120.6;1
1997-03-31;122.0;122.0;1
1997-04-30;123.5;123.5;1
1997-05-30;124.8;124.8;1
1997-06-30;127.3;127.3;1
1997-07-31;129.0;129.0;1
1997-08-29;130.1;130.1;1
1997-09-30;132.2;132.2;1
1997-10-31;136.0;136.0;1
1997-11-28;138.0;138.0;1
1997-12-31;138.8;138.8;1
1998-01-30;140.3;140.3;1
1998-02-27;143.5;143.5;1
1998-03-31;146.6;146.6;1
1998-04-30;148.9;148.9;1
1998-05-29;151.5;151.5;1
1998-06-30;152.9;152.9;1
1998-07-31;154.3;154.3;1
1998-08-31;155.3;155.3;1
1998-09-30;155.0;155.0;1
1998-10-30;157.6;157.6;1
1998-11-30;158.2;158.2;1
1998-12-31;159.1;159.1;1
1999-01-29;160.6;160.6;1
1999-02-26;167.9;167.9;1
1999-03-31;169.6;169.6;1
1999-04-30;179.2;179.2;1
1999-05-31;186.0;186.0;1
1999-06-30;196.0;196.0;1
1999-07-30;202.0;202.0;1
1999-08-31;208.8;208.8;1
1999-09-30;214.9;214.9;1
1999-10-29;219.9;219.9;1
1999-11-30;226.5;226.5;1
1999-12-31;231.9;231.9;1
2000-01-31;238.1;238.1;1
2000-02-29;243.5;243.5;1
2000-03-31;250.9;250.9;1
2000-04-28;253.7;253.7;1
2000-05-31;252.6;252.6;1
2000-06-30;252.9;252.9;1
2000-07-31;258.5;258.5;1
2000-08-31;265.4;265.4;1
2000-09-29;270.2;270.2;1
2000-10-31;276.4;276.4;1
2000-11-30;279.4;279.4;1
2000-12-29;277.5;277.5;1
2001-01-31;279.4;279.4;1
