FVEUR1M;EB;EO;ER
1999-01-04;11.6;12.0;11.8
1999-01-05;11.4;11.5;11.45
1999-01-06;10.25;10.55;10.4
1999-01-07;9.55;9.95;9.75
1999-01-08;9.2;9.7;9.45
1999-01-11;9.4;9.8;9.6
1999-01-12;9.7;9.9;9.8
1999-01-13;10.1;10.25;10.175
1999-01-14;10.35;10.4;10.375
1999-01-15;10.9;11.3;11.1
1999-01-18;10.3;10.6;10.45
1999-01-19;9.9;10.05;9.975
1999-01-20;9.6;9.9;9.75
1999-01-21;9.15;9.3;9.225
1999-01-22;8.75;9.15;8.95
1999-01-25;8.85;9.2;9.025
1999-01-26;8.5;8.8;8.65
1999-01-27;8.1;8.4;8.25
1999-01-28;8.35;8.5;8.425
1999-01-29;8.25;8.65;8.45
1999-02-01;8.1;8.4;8.25
1999-02-02;8.3;8.35;8.325
1999-02-03;8.3;8.5;8.4
1999-02-04;8.2;8.35;8.275
1999-02-05;8.25;8.5;8.375
1999-02-08;8.25;8.55;8.4
1999-02-09;8.15;8.45;8.3
1999-02-10;7.85;8.15;8.0
1999-02-11;7.95;8.25;8.1
1999-02-12;8.0;8.3;8.15
1999-02-15;8.0;8.3;8.15
1999-02-16;8.25;8.5;8.375
1999-02-17;8.2;8.4;8.3
1999-02-18;8.1;8.25;8.175
1999-02-19;8.1;8.4;8.25
1999-02-22;9.0;9.1;9.05
1999-02-23;8.65;9.25;8.95
1999-02-24;9.05;9.25;9.15
1999-02-25;8.9;9.2;9.05
1999-02-26;8.9;9.4;9.15
1999-03-01;9.15;9.75;9.45
1999-03-02;9.45;9.6;9.525
1999-03-03;9.0;9.6;9.3
1999-03-04;9.1;9.4;9.25
1999-03-05;9.2;9.6;9.4
1999-03-08;8.9;9.5;9.2
1999-03-09;9.0;9.3;9.15
1999-03-10;8.8;9.4;9.1
1999-03-11;9.25;9.35;9.3
1999-03-12;9.3;9.7;9.5
1999-03-15;9.25;9.55;9.4
1999-03-16;9.6;9.9;9.75
1999-03-17;9.5;9.7;9.6
1999-03-18;9.15;9.75;9.45
1999-03-19;9.1;9.5;9.3
1999-03-22;9.4;9.7;9.55
1999-03-23;8.85;9.45;9.15
1999-03-24;9.0;9.25;9.125
1999-03-25;9.2;9.8;9.5
1999-03-26;9.4;9.8;9.6
1999-03-29;9.6;9.8;9.7
1999-03-30;9.75;9.95;9.85
1999-03-31;9.85;10.05;9.95
