JAPAYE$;EB;EO;ER
1993-12-31;111.58;111.63;111.605
1994-01-03;112.38;112.41;112.395
1994-01-04;113.13;113.18;113.155
1994-01-05;112.72;112.8;112.76
1994-01-06;112.51;112.6;112.555
1994-01-07;111.8;111.85;111.825
1994-01-10;112.19;112.26;112.225
1994-01-11;112.46;112.51;112.485
1994-01-12;112.38;112.45;112.415
1994-01-13;112.14;112.19;112.165
1994-01-14;111.18;111.25;111.215
1994-01-17;111.03;111.13;111.08
1994-01-18;110.7;110.8;110.75
1994-01-19;110.87;110.92;110.895
1994-01-20;111.47;111.55;111.51
1994-01-21;111.17;111.25;111.21
1994-01-24;111.8;111.85;111.825
1994-01-25;111.13;111.18;111.155
1994-01-26;110.39;110.45;110.42
1994-01-27;109.38;109.45;109.415
1994-01-28;109.07;109.17;109.12
1994-01-31;108.96;109.05;109.005
1994-02-01;107.6;107.68;107.64
1994-02-02;108.0;108.1;108.05
1994-02-03;108.01;108.08;108.045
1994-02-04;108.05;108.13;108.09
1994-02-07;108.68;108.73;108.705
1994-02-08;108.85;108.95;108.9
1994-02-09;107.82;107.87;107.845
1994-02-10;108.4;108.5;108.45
1994-02-11;107.85;107.95;107.9
1994-02-14;104.05;104.15;104.1
1994-02-15;103.05;103.15;103.1
1994-02-16;103.5;103.6;103.55
1994-02-17;104.3;104.35;104.325
1994-02-18;104.25;104.35;104.3
1994-02-21;106.2;106.3;106.25
1994-02-22;105.45;105.5;105.475
1994-02-23;105.5;105.55;105.525
1994-02-24;105.3;105.4;105.35
1994-02-25;104.7;104.75;104.725
1994-02-28;104.11;104.19;104.15
1994-03-01;104.58;104.65;104.615
1994-03-02;103.64;103.7;103.67
1994-03-03;104.04;104.09;104.065
1994-03-04;105.48;105.55;105.515
1994-03-07;105.8;105.9;105.85
1994-03-08;105.19;105.26;105.225
1994-03-09;105.81;105.86;105.835
1994-03-10;105.66;105.73;105.695
1994-03-11;105.1;105.15;105.125
1994-03-14;105.85;105.91;105.88
1994-03-15;106.1;106.2;106.15
1994-03-16;105.7;105.8;105.75
1994-03-17;105.67;105.72;105.695
1994-03-18;106.0;106.07;106.035
1994-03-21;106.25;106.33;106.29
1994-03-22;105.98;106.03;106.005
1994-03-23;106.38;106.48;106.43
1994-03-24;106.25;106.3;106.275
1994-03-25;104.7;104.77;104.735
1994-03-28;104.59;104.65;104.62
1994-03-29;103.55;103.65;103.6
1994-03-30;103.45;103.53;103.49
1994-03-31;102.7;102.8;102.75
1994-04-01;103.4;103.5;103.45
1994-04-04;103.18;103.29;103.235
1994-04-05;103.72;103.77;103.745
1994-04-06;104.55;104.6;104.575
1994-04-07;104.8;104.85;104.825
1994-04-08;105.18;105.24;105.21
1994-04-11;103.3;103.35;103.325
1994-04-12;103.29;103.36;103.325
1994-04-13;103.66;103.73;103.695
1994-04-14;104.05;104.11;104.08
1994-04-15;103.62;103.67;103.645
1994-04-18;103.6;103.65;103.625
1994-04-19;103.18;103.25;103.215
1994-04-20;103.25;103.35;103.3
1994-04-21;103.52;103.57;103.545
1994-04-22;103.6;103.7;103.65
1994-04-25;103.2;103.25;103.225
1994-04-26;102.9;102.95;102.925
1994-04-27;102.6;102.7;102.65
1994-04-28;101.85;101.92;101.885
1994-04-29;101.45;101.52;101.485
1994-05-02;101.75;101.8;101.775
1994-05-03;101.29;101.34;101.315
1994-05-04;102.17;102.24;102.205
1994-05-05;102.67;102.72;102.695
1994-05-06;102.75;102.81;102.78
1994-05-09;102.85;102.9;102.875
1994-05-10;103.86;103.94;103.9
1994-05-11;104.42;104.52;104.47
1994-05-12;104.48;104.53;104.505
1994-05-13;104.73;104.78;104.755
1994-05-16;104.55;104.61;104.58
1994-05-17;104.35;104.41;104.38
1994-05-18;103.64;103.69;103.665
1994-05-19;104.03;104.1;104.065
1994-05-20;103.87;103.95;103.91
1994-05-23;104.35;104.45;104.4
1994-05-24;104.4;104.49;104.445
1994-05-25;104.43;104.48;104.455
1994-05-26;104.38;104.43;104.405
1994-05-27;104.35;104.45;104.4
1994-05-30;104.55;104.65;104.6
1994-05-31;104.63;104.68;104.655
1994-06-01;104.6;104.7;104.65
1994-06-02;104.91;104.95;104.93
1994-06-03;105.22;105.27;105.245
1994-06-06;105.3;105.4;105.35
1994-06-07;105.21;105.26;105.235
1994-06-08;103.98;104.08;104.03
1994-06-09;104.13;104.18;104.155
1994-06-10;103.89;103.94;103.915
1994-06-13;103.12;103.17;103.145
1994-06-14;102.64;102.69;102.665
1994-06-15;102.7;102.8;102.75
1994-06-16;103.3;103.37;103.335
1994-06-17;103.47;103.52;103.495
1994-06-20;101.94;102.0;101.97
1994-06-21;101.2;101.25;101.225
1994-06-22;100.67;100.72;100.695
1994-06-23;101.1;101.2;101.15
1994-06-24;100.85;100.95;100.9
1994-06-27;99.83;99.9;99.865
1994-06-28;100.17;100.25;100.21
1994-06-29;98.65;98.7;98.675
1994-06-30;98.62;98.67;98.645
1994-07-01;98.68;98.73;98.705
1994-07-04;98.85;98.95;98.9
1994-07-05;98.8;98.85;98.825
1994-07-06;98.1;98.15;98.125
1994-07-07;98.99;99.04;99.015
1994-07-08;98.55;98.6;98.575
1994-07-11;97.33;97.4;97.365
1994-07-12;96.78;96.83;96.805
1994-07-13;98.13;98.18;98.155
1994-07-14;98.26;98.3;98.28
1994-07-15;97.88;97.93;97.905
1994-07-18;98.33;98.38;98.355
1994-07-19;99.0;99.05;99.025
1994-07-20;98.72;98.8;98.76
1994-07-21;98.65;98.72;98.685
1994-07-22;98.69;98.75;98.72
1994-07-25;98.7;98.8;98.75
1994-07-26;97.95;98.05;98.0
1994-07-27;97.97;98.05;98.01
1994-07-28;98.99;99.05;99.02
1994-07-29;100.15;100.2;100.175
1994-08-01;98.8;98.9;98.85
1994-08-02;100.38;100.45;100.415
1994-08-03;100.15;100.2;100.175
1994-08-04;100.17;100.23;100.2
1994-08-05;100.46;100.51;100.485
1994-08-08;101.31;101.38;101.345
1994-08-09;101.15;101.25;101.2
1994-08-10;101.11;101.2;101.155
1994-08-11;101.09;101.14;101.115
1994-08-12;99.95;100.03;99.99
1994-08-15;100.23;100.3;100.265
1994-08-16;100.4;100.45;100.425
1994-08-17;100.22;100.3;100.26
1994-08-18;99.0;99.05;99.025
1994-08-19;98.45;98.5;98.475
1994-08-22;97.92;98.0;97.96
1994-08-23;98.4;98.5;98.45
1994-08-24;98.38;98.45;98.415
1994-08-25;99.7;99.77;99.735
1994-08-26;100.25;100.32;100.285
1994-08-29;100.2;100.25;100.225
1994-08-30;99.63;99.7;99.665
1994-08-31;100.15;100.2;100.175
1994-09-01;99.64;99.69;99.665
1994-09-02;99.36;99.43;99.395
1994-09-05;99.2;99.3;99.25
1994-09-06;98.66;98.73;98.695
1994-09-07;98.94;98.99;98.965
1994-09-08;99.37;99.43;99.4
1994-09-09;99.24;99.29;99.265
1994-09-12;98.96;99.01;98.985
1994-09-13;99.02;99.07;99.045
1994-09-14;98.85;98.9;98.875
1994-09-15;99.35;99.41;99.38
1994-09-16;98.83;98.88;98.855
1994-09-19;98.75;98.78;98.765
1994-09-20;97.7;97.8;97.75
1994-09-21;97.65;97.75;97.7
1994-09-22;98.05;98.1;98.075
1994-09-23;97.66;97.75;97.705
1994-09-26;98.66;98.74;98.7
1994-09-27;98.1;98.17;98.135
1994-09-28;98.69;98.75;98.72
1994-09-29;98.49;98.52;98.505
1994-09-30;98.92;99.02;98.97
1994-10-03;99.85;99.9;99.82
1994-10-04;99.66;99.72;99.69
1994-10-05;99.45;99.49;99.47
1994-10-06;99.7;99.8;99.75
1994-10-07;100.2;100.25;100.225
1994-10-10;100.58;100.68;100.63
1994-10-11;100.3;100.35;100.325
1994-10-12;99.87;99.9;99.885
1994-10-13;99.88;99.95;99.915
1994-10-14;98.26;98.31;98.285
1994-10-17;97.8;97.9;97.85
1994-10-18;97.65;97.72;97.685
1994-10-19;97.12;97.18;97.15
1994-10-20;97.3;97.35;97.325
1994-10-21;96.96;97.03;96.995
1994-10-24;97.19;97.24;97.215
1994-10-25;96.82;96.9;96.86
1994-10-26;97.01;97.06;97.035
1994-10-27;96.87;96.92;96.895
1994-10-28;97.3;97.37;97.335
1994-10-31;96.9;97.0;96.95
1994-11-01;96.73;96.78;96.755
1994-11-02;96.18;96.23;96.205
1994-11-03;97.58;97.63;97.605
1994-11-04;97.75;97.85;97.8
1994-11-07;97.27;97.35;97.31
1994-11-08;96.98;97.03;97.005
1994-11-09;97.74;97.84;97.79
