USDOLSF;EB;EO;ER
2004-04-01;0.7926;0.793;0.7928
2004-04-02;0.775;0.7754;0.7752
2004-04-05;0.7658;0.7664;0.7661
2004-04-06;0.7704;0.7711;0.7707
2004-04-07;0.7825;0.7828;0.7826
2004-04-08;0.7796;0.78;0.7798
2004-04-09;0.7796;0.78;0.7798
2004-04-12;0.7785;0.7791;0.7788
2004-04-13;0.7662;0.7668;0.7665
2004-04-14;0.7693;0.7699;0.7696
2004-04-15;0.7687;0.7692;0.7689
2004-04-16;0.7748;0.7754;0.7751
2004-04-19;0.7757;0.7762;0.7759
2004-04-20;0.7651;0.7655;0.7653
2004-04-21;0.7633;0.7639;0.7636
2004-04-22;0.7616;0.7621;0.7618
2004-04-23;0.7588;0.7593;0.759
2004-04-26;0.7612;0.7618;0.7615
2004-04-27;0.7688;0.7692;0.769
2004-04-28;0.7646;0.7648;0.7647
2004-04-29;0.7725;0.7726;0.7725
2004-04-30;0.7712;0.7713;0.7712
2004-05-03;0.7698;0.77;0.7699
2004-05-04;0.7798;0.78;0.7799
2004-05-05;0.7826;0.7828;0.7827
2004-05-06;0.7786;0.7787;0.7786
2004-05-07;0.7692;0.7694;0.7693
2004-05-10;0.7687;0.7688;0.7687
2004-05-11;0.7663;0.7664;0.7663
2004-05-12;0.7737;0.7739;0.7738
2004-05-13;0.7692;0.7694;0.7693
2004-05-14;0.77;0.7703;0.7701
2004-05-17;0.7804;0.7806;0.7805
2004-05-18;0.7791;0.7792;0.7791
2004-05-19;0.7837;0.7838;0.7837
2004-05-20;0.776;0.7762;0.7761
2004-05-21;0.7824;0.7827;0.7825
2004-05-24;0.7777;0.7779;0.7778
2004-05-25;0.7875;0.7877;0.7876
2004-05-26;0.7855;0.7857;0.7856
2004-05-27;0.7999;0.8;0.7999
2004-05-28;0.7971;0.7973;0.7972
2004-05-31;0.7971;0.7973;0.7972
2004-06-01;0.7986;0.7988;0.7987
2004-06-02;0.8044;0.8045;0.8044
2004-06-03;0.8023;0.8025;0.8024
2004-06-04;0.8026;0.8028;0.8027
2004-06-07;0.807;0.8071;0.807
2004-06-08;0.8063;0.8064;0.8063
2004-06-09;0.7977;0.7978;0.7977
2004-06-10;0.8016;0.8019;0.8017
2004-06-11;0.7936;0.7937;0.7936
2004-06-14;0.7967;0.7968;0.7967
2004-06-15;0.795;0.7952;0.7951
2004-06-16;0.7886;0.7889;0.7887
2004-06-17;0.7965;0.7968;0.7966
2004-06-18;0.8046;0.8048;0.8047
