CNI0309;FLOT;OI;PH;PL;PO;PS;VM
2007-12-21;100;;;;;;
2007-12-24;100;;2246.5;2246.5;2246.5;2246.5;
2007-12-25;100;;;;;2246.5;
2007-12-26;100;;2258.0;2258.0;2258.0;2258.0;
2007-12-27;100;;2230.0;2230.0;2230.0;2230.0;
2007-12-28;100;;2223.5;2223.5;2223.5;2223.5;
2007-12-31;100;;2203.25;2203.25;2203.25;2203.25;
2008-01-01;100;;;;;2203.25;
2008-01-02;100;;2167.25;2167.25;2167.25;2167.25;
2008-01-03;100;;2173.5;2173.5;2173.5;2173.5;
2008-01-04;100;;2080.25;2080.25;2080.25;2080.25;
2008-01-07;100;;2070.75;2070.75;2070.75;2070.75;
2008-01-08;100;;2024.0;2024.0;2024.0;2024.0;
2008-01-09;100;;2051.5;2051.5;2051.5;2051.5;
2008-01-10;100;;2055.25;2055.25;2055.25;2055.25;
2008-01-11;100;;2019.75;2019.75;2019.75;2019.75;
2008-01-14;100;;2049.25;2049.25;2049.25;2049.25;
2008-01-15;100;;2005.5;2005.5;2005.5;2005.5;
2008-01-16;100;;1955.5;1955.5;1955.5;1955.5;
2008-01-17;100;;1930.5;1930.5;1930.5;1930.5;
2008-01-18;100;;1923.75;1923.75;1923.75;1923.75;
2008-01-21;100;;;;;1923.75;
2008-01-22;100;;1872.75;1872.75;1872.75;1872.75;
2008-01-23;100;;1879.25;1879.25;1879.25;1879.25;
2008-01-24;100;;1909.0;1909.0;1909.0;1909.0;
2008-01-25;100;;1859.5;1859.5;1859.5;1859.5;
2008-01-28;100;;1876.25;1876.25;1876.25;1876.25;
2008-01-29;100;;1878.0;1878.0;1878.0;1878.0;
2008-01-30;100;;1877.0;1877.0;1877.0;1877.0;
2008-01-31;100;;1913.25;1913.25;1913.25;1913.25;
2008-02-01;100;;1929.0;1929.0;1929.0;1929.0;
2008-02-04;100;;1892.25;1892.25;1892.25;1892.25;
2008-02-05;100;;1849.75;1849.75;1849.75;1849.75;
2008-02-06;100;;1812.0;1812.0;1812.0;1812.0;
2008-02-07;100;;1830.75;1830.75;1830.75;1830.75;
2008-02-08;100;;1840.25;1840.25;1840.25;1840.25;
2008-02-11;100;;1861.0;1861.0;1861.0;1861.0;
2008-02-12;100;;1853.75;1853.75;1853.75;1853.75;
2008-02-13;100;;1884.5;1884.5;1884.5;1884.5;
2008-02-14;100;;1858.25;1858.25;1858.25;1858.25;
2008-02-15;100;;1850.5;1850.5;1850.5;1850.5;
