NASA100;IDV;MV;NR;PH;PI;PL;PO;RI
2004-06-14;190357.0;2221287.0;;1471.19;1458.64;1451.78;1470.62;1461.39
2004-06-15;190357.0;2252598.0;;1487.83;1479.2;1470.37;1470.37;1481.99
2004-06-16;190357.0;2253811.0;;1483.6;1479.99;1474.17;1478.72;1482.79
2004-06-17;190357.0;2229503.0;;1473.95;1464.03;1458.68;1473.94;1466.8
2004-06-18;190394.0;2230883.0;;1481.36;1464.65;1455.67;1457.88;1467.42
2004-06-21;190394.0;2213496.0;;1472.65;1453.23;1450.79;1467.98;1455.98
2004-06-22;190394.0;2246460.0;;1475.12;1474.87;1448.82;1455.92;1477.66
2004-06-23;190394.0;2274870.0;;1495.05;1493.52;1468.74;1471.54;1496.35
2004-06-24;190394.0;2266922.0;;1502.14;1488.31;1485.88;1490.58;1491.12
2004-06-25;190394.0;2282263.0;;1503.91;1498.38;1488.2;1488.82;1501.22
2004-06-28;190394.0;2274172.0;;1508.52;1493.07;1485.25;1507.32;1495.9
2004-06-29;190394.0;2293346.0;;1507.05;1505.65;1490.65;1490.65;1508.51
2004-06-30;190394.0;2310078.0;;1523.48;1516.64;1502.61;1507.6;1519.52
2004-07-01;190394.0;2268840.0;;1514.82;1489.57;1477.62;1514.82;1492.39
2004-07-02;190394.0;2256088.0;;1489.6;1481.19;1473.73;1488.34;1484.01
2004-07-05;190394.0;2256088.0;;;1481.19;;;1484.01
2004-07-06;190394.0;2202045.0;;1471.21;1445.71;1441.78;1470.47;1448.47
2004-07-07;190394.0;2212365.0;;1459.07;1452.49;1445.02;1445.1;1455.27
2004-07-08;190394.0;2179829.0;;1452.7;1431.13;1430.81;1439.57;1433.87
2004-07-09;190394.0;2193343.0;;1451.39;1440.0;1434.0;1442.43;1442.76
2004-07-12;190394.0;2181324.0;;1435.3;1432.11;1418.1;1429.91;1434.85
2004-07-13;190394.0;2176097.0;;1439.78;1428.68;1426.11;1436.08;1431.42
2004-07-14;190394.0;2156867.0;;1433.61;1416.05;1411.52;1414.42;1418.85
2004-07-15;190394.0;2156668.0;;1427.72;1415.92;1412.59;1422.26;1418.72
2004-07-16;190394.0;2120492.0;;1426.49;1392.17;1392.17;1426.49;1394.92
2004-07-19;190394.0;2127494.0;;1406.15;1396.77;1386.78;1398.92;1399.53
2004-07-20;190394.0;2164503.0;;1421.07;1421.07;1396.85;1398.64;1423.87
2004-07-21;190394.0;2111965.0;;1433.27;1386.57;1386.57;1433.27;1389.34
2004-07-22;190394.0;2145384.0;;1411.43;1408.51;1377.7;1385.89;1411.33
2004-07-23;190394.0;2095065.0;;1394.56;1375.48;1370.7;1394.56;1378.23
2004-07-26;190394.0;2084288.0;;1383.67;1368.4;1359.2;1376.8;1371.14
2004-07-27;190394.0;2119475.0;;1395.95;1391.5;1371.26;1374.69;1394.28
2004-07-28;190394.0;2107667.0;;1392.48;1383.75;1360.27;1384.51;1386.56
2004-07-29;190394.0;2130202.0;;1403.8;1398.55;1388.06;1395.34;1401.44
2004-07-30;190394.0;2133014.0;;1412.0;1400.39;1394.85;1397.05;1403.29
2004-08-02;190394.0;2142061.0;;1408.31;1406.33;1387.04;1390.21;1409.24
2004-08-03;190394.0;2100643.0;;1404.9;1379.14;1379.02;1402.34;1381.99
2004-08-04;190394.0;2100746.0;;1386.28;1379.21;1368.44;1372.46;1382.17
2004-08-05;190394.0;2061499.0;;1383.38;1353.44;1352.27;1380.93;1356.35
2004-08-06;190394.0;2003410.0;;1342.87;1315.3;1314.97;1341.08;1318.14
2004-08-09;190394.0;2008783.0;;1325.45;1318.83;1314.57;1320.83;1321.7
2004-08-10;190394.0;2051245.0;;1346.71;1346.71;1324.38;1325.96;1349.64
2004-08-11;190394.0;2017642.0;;1328.83;1324.65;1309.5;1319.7;1327.53
2004-08-12;190394.0;1986848.0;;1320.94;1304.43;1302.74;1313.81;1307.32
2004-08-13;190394.0;1992007.0;;1316.3;1307.82;1301.93;1311.84;1310.72
2004-08-16;190394.0;2020989.0;;1334.78;1326.84;1309.5;1309.5;1329.86
2004-08-17;190367.0;2034223.0;;1344.54;1335.72;1331.85;1332.94;1338.76
2004-08-18;190821.0;2081827.0;;1363.74;1363.73;1327.85;1328.99;1366.83
2004-08-19;190821.0;2065811.0;;1361.23;1353.24;1344.98;1356.89;1356.34
2004-08-20;190821.0;2086408.0;;1373.01;1366.73;1348.27;1352.28;1369.86
2004-08-23;190821.0;2092778.0;;1377.67;1370.9;1364.46;1370.51;1374.41
2004-08-24;190821.0;2091060.0;;1379.05;1369.78;1360.82;1376.99;1373.31
2004-08-25;190821.0;2120661.0;;1391.22;1389.17;1363.56;1369.2;1392.92
2004-08-26;190821.0;2112743.0;;1388.84;1383.98;1379.69;1383.8;1387.72
