NASCOMP;DSRI;IDV;MV;PH;PI;PL;PO;RI
1973-01-02;100.0;;;;134.63;;;
1973-01-03;101.43;;;;135.38;;;
1973-01-04;102.1;;;;135.44;;;
1973-01-05;102.24;;;;135.91;;;
1973-01-08;102.52;;;;136.02;;;
1973-01-09;101.91;;;;135.99;;;
1973-01-10;100.98;;;;136.06;;;
1973-01-11;101.43;;;;136.84;;;
1973-01-12;100.37;;;;136.01;;;
1973-01-15;99.5;;;;134.6;;;
1973-01-16;99.29;;;;134.03;;;
1973-01-17;99.72;;;;134.07;;;
1973-01-18;100.0;;;;134.34;;;
1973-01-19;99.49;;;;133.87;;;
1973-01-22;99.4;;;;133.15;;;
1973-01-23;99.0;;;;132.44;;;
1973-01-24;99.21;;;;130.49;;;
1973-01-25;99.22;;;;130.49;;;
1973-01-26;98.55;;;;129.76;;;
1973-01-29;99.43;;;;128.46;;;
1973-01-30;98.72;;;;128.22;;;
1973-01-31;98.45;;;;128.4;;;
1973-02-01;98.04;;;;126.94;;;
1973-02-02;96.53;;;;126.48;;;
1973-02-05;96.53;;;;126.0;;;
1973-02-06;96.04;;;;126.27;;;
1973-02-07;95.06;;;;124.99;;;
1973-02-08;94.66;;;;123.97;;;
1973-02-09;95.05;;;;125.86;;;
1973-02-12;97.01;;;;126.88;;;
1973-02-13;98.16;;;;127.19;;;
1973-02-14;97.76;;;;125.42;;;
1973-02-15;98.39;;;;124.43;;;
1973-02-16;99.01;;;;124.55;;;
1973-02-19;99.02;;;;124.55;;;
1973-02-20;100.35;;;;125.01;;;
1973-02-21;100.3;;;;123.95;;;
1973-02-22;100.66;;;;123.68;;;
1973-02-23;100.31;;;;122.34;;;
1973-02-26;99.89;;;;121.27;;;
1973-02-27;100.31;;;;119.8;;;
1973-02-28;100.4;;;;120.41;;;
1973-03-01;101.13;;;;119.53;;;
1973-03-02;101.12;;;;120.11;;;
1973-03-05;99.02;;;;120.55;;;
1973-03-06;99.85;;;;121.91;;;
1973-03-07;99.98;;;;122.28;;;
1973-03-08;100.17;;;;122.11;;;
1973-03-09;100.55;;;;121.99;;;
1973-03-12;100.2;;;;121.86;;;
1973-03-13;100.45;;;;122.09;;;
1973-03-14;100.7;;;;122.1;;;
1973-03-15;101.03;;;;121.6;;;
1973-03-16;99.67;;;;121.22;;;
1973-03-19;98.74;;;;119.94;;;
1973-03-20;98.56;;;;119.26;;;
1973-03-21;98.34;;;;117.89;;;
1973-03-22;98.1;;;;115.69;;;
1973-03-23;97.98;;;;115.47;;;
1973-03-26;97.7;;;;115.54;;;
1973-03-27;98.23;;;;116.89;;;
1973-03-28;98.48;;;;117.14;;;
1973-03-29;99.24;;;;118.19;;;
1973-03-30;99.25;;;;117.46;;;
1973-04-02;98.08;;;;115.79;;;
1973-04-03;97.38;;;;114.47;;;
1973-04-04;97.04;;;;112.89;;;
1973-04-05;96.92;;;;112.02;;;
1973-04-06;96.99;;;;113.27;;;
1973-04-09;96.86;;;;114.01;;;
1973-04-10;96.58;;;;114.81;;;
1973-04-11;96.62;;;;115.29;;;
1973-04-12;95.85;;;;115.59;;;
1973-04-13;95.43;;;;115.22;;;
1973-04-16;94.74;;;;114.55;;;
