S&PCOMP;DSRI;DY;IDV;MV;NE;NR;PE;PH;PI;PL;PO;RI;VO
1979-01-01;100.0;5.44;;623564.0;;;8.3;;96.11;;;;
1979-01-02;100.666;5.44;;623564.0;;;8.3;;96.73;;;;
1979-01-03;101.801;5.38;;623564.0;;;8.39;;97.8;;;;
1979-01-04;102.634;5.38;;623564.0;;;8.39;;98.58;;;;
1979-01-05;103.228;5.38;;623564.0;;;8.39;;99.13;;;;
1979-01-08;102.905;5.38;;623564.0;;;8.39;;98.8;;;;
1979-01-09;103.479;5.38;;623564.0;;;8.39;;99.33;;;;
1979-01-10;102.917;5.33;;623564.0;;;8.51;;98.77;;;;
1979-01-11;103.282;5.33;;623564.0;;;8.51;;99.1;;;;
1979-01-12;104.168;5.33;;623564.0;;;8.51;;99.93;;;;
1979-01-15;104.982;5.33;;623564.0;;;8.51;;100.69;;;;
1979-01-16;103.721;5.33;;623564.0;;;8.51;;99.46;;;;
1979-01-17;103.763;5.3;;623564.0;;;8.57;;99.48;;;;
1979-01-18;104.034;5.3;;623564.0;;;8.57;;99.72;;;;
1979-01-19;104.087;5.3;;623564.0;;;8.57;;99.75;;;;
1979-01-22;104.264;5.3;;623564.0;;;8.57;;99.9;;;;
1979-01-23;105.486;5.3;;623564.0;;;8.57;;100.6;;;;
1979-01-24;104.578;5.29;;623564.0;;;8.63;;100.16;;;;
1979-01-25;105.675;5.29;;623564.0;;;8.63;;101.19;;;;
1979-01-26;106.397;5.29;;623564.0;;;8.63;;101.86;;;;
1979-01-29;106.094;5.29;;623564.0;;;8.63;;101.55;;;;
1979-01-30;105.593;5.29;;623564.0;;;8.63;;101.05;;;;
1979-01-31;104.444;5.33;;648431.0;;;8.61;;99.93;;;;
1979-02-01;104.497;5.33;;648431.0;;;8.61;;99.96;;;;
1979-02-02;104.038;5.33;;648431.0;;;8.61;;99.5;;;;
1979-02-05;102.584;5.33;;648431.0;;;8.61;;98.09;;;;
1979-02-06;102.564;5.33;;648431.0;;;8.61;;98.05;;;;
1979-02-07;101.654;5.5;;648431.0;;;8.37;;97.16;;;;
1979-02-08;102.188;5.5;;648431.0;;;8.37;;97.65;;;;
1979-02-09;102.44;5.5;;648431.0;;;8.37;;97.87;;;;
1979-02-12;102.807;5.5;;648431.0;;;8.37;;98.2;;;;
1979-02-13;103.593;5.5;;648431.0;;;8.37;;98.93;;;;
1979-02-14;103.552;5.41;;648431.0;;;8.53;;98.87;;;;
1979-02-15;103.427;5.41;;648431.0;;;8.53;;98.73;;;;
1979-02-16;103.386;5.41;;648431.0;;;8.53;;98.67;;;;
1979-02-19;103.407;5.41;;648431.0;;;8.53;;98.67;;;;
1979-02-20;104.215;5.41;;648431.0;;;8.53;;99.42;;;;
1979-02-21;103.87;5.4;;648431.0;;;8.55;;99.07;;;;
1979-02-22;103.115;5.4;;648431.0;;;8.55;;98.33;;;;
1979-02-23;102.56;5.4;;648431.0;;;8.55;;97.78;;;;
1979-02-26;102.466;5.4;;648431.0;;;8.55;;97.67;;;;
1979-02-27;100.871;5.4;;648431.0;;;8.55;;96.13;;;;
1979-02-28;101.05;5.61;;627750.0;;;8.31;;96.28;;;;
1979-03-01;101.723;5.61;;627750.0;;;8.31;;96.9;;;;
1979-03-02;101.818;5.61;;627750.0;;;8.31;;96.97;;;;
1979-03-05;102.985;5.61;;627750.0;;;8.31;;98.06;;;;
1979-03-06;102.808;5.61;;627750.0;;;8.31;;97.87;;;;
1979-03-07;103.428;5.49;;627750.0;;;8.49;;98.44;;;;
1979-03-08;104.648;5.49;;627750.0;;;8.49;;99.58;;;;
1979-03-09;104.628;5.49;;627750.0;;;8.49;;99.54;;;;
1979-03-12;104.787;5.49;;627750.0;;;8.49;;99.67;;;;
1979-03-13;104.988;5.49;;627750.0;;;8.49;;99.84;;;;
1979-03-14;104.873;5.43;;627750.0;;;8.07;;99.71;;;;
1979-03-15;105.053;5.43;;627750.0;;;8.07;;99.86;;;;
1979-03-16;105.948;5.43;;627750.0;;;8.07;;100.69;;;;
1979-03-19;106.359;5.43;;627750.0;;;8.07;;101.06;;;;
1979-03-20;105.792;5.43;;627750.0;;;8.07;;100.5;;;;
1979-03-21;106.604;5.38;;627750.0;;;8.2;;101.25;;;;
1979-03-22;107.068;5.38;;627750.0;;;8.2;;101.67;;;;
1979-03-23;107.016;5.38;;627750.0;;;8.2;;101.6;;;;
1979-03-26;106.449;5.38;;627750.0;;;8.2;;101.04;;;;
1979-03-27;107.988;5.38;;627750.0;;;8.2;;102.48;;;;
1979-03-28;107.631;5.33;;627750.0;;;8.27;;102.12;;;;
1979-03-29;107.558;5.33;;627750.0;;;8.27;;102.03;;;;
1979-03-30;107.116;5.33;;664912.0;;;8.27;;101.59;;;;
1979-04-02;106.41;5.33;;664912.0;;;8.27;;100.9;;;;
