ECSWF1Y;IB;IO;IR
1975-01-02;8.75;9.0;8.875
1975-01-03;8.875;9.125;9.0
1975-01-06;8.75;9.0;8.875
1975-01-07;8.25;8.5;8.375
1975-01-08;7.75;8.0;7.875
1975-01-09;7.5;7.75;7.625
1975-01-10;7.375;7.625;7.5
1975-01-13;7.25;7.5;7.375
1975-01-14;7.25;7.5;7.375
1975-01-15;7.125;7.375;7.25
1975-01-16;7.125;7.375;7.25
1975-01-17;7.125;7.375;7.25
1975-01-20;7.125;7.375;7.25
1975-01-21;7.125;7.375;7.25
1975-01-22;7.125;7.375;7.25
1975-01-23;7.0;7.25;7.125
1975-01-24;7.0;7.25;7.125
1975-01-27;6.875;7.125;7.0
1975-01-28;6.875;7.125;7.0
1975-01-29;6.875;7.125;7.0
1975-01-30;6.75;7.0;6.875
1975-01-31;6.5;6.75;6.625
1975-02-03;6.375;6.625;6.5
1975-02-04;6.25;6.5;6.375
1975-02-05;6.125;6.375;6.25
1975-02-06;6.125;6.375;6.25
1975-02-07;6.25;6.5;6.375
1975-02-10;6.25;6.5;6.375
1975-02-11;6.375;6.625;6.5
1975-02-12;6.375;6.625;6.5
1975-02-13;6.375;6.625;6.5
1975-02-14;6.375;6.625;6.5
1975-02-17;6.25;6.5;6.375
1975-02-18;6.125;6.375;6.25
1975-02-19;6.0;6.25;6.125
1975-02-20;5.875;6.125;6.0
1975-02-21;5.875;6.125;6.0
1975-02-24;5.875;6.125;6.0
1975-02-25;5.875;6.125;6.0
1975-02-26;6.0;6.25;6.125
1975-02-27;6.0;6.25;6.125
1975-02-28;6.0625;6.3125;6.1875
1975-03-03;6.0;6.25;6.125
1975-03-04;6.125;6.375;6.25
1975-03-05;6.125;6.375;6.25
1975-03-06;6.125;6.375;6.25
1975-03-07;5.9375;6.1875;6.0625
1975-03-10;5.75;6.0;5.875
1975-03-11;5.9375;6.0625;6.0
1975-03-12;5.875;6.125;6.0
1975-03-13;5.875;6.125;6.0
1975-03-14;6.0;6.25;6.125
1975-03-17;6.0;6.1875;6.0938
1975-03-18;6.0;6.25;6.125
1975-03-19;6.0;6.25;6.125
1975-03-20;6.0;6.25;6.125
1975-03-21;6.25;6.4375;6.3438
1975-03-24;6.125;6.375;6.25
1975-03-25;6.1875;6.4375;6.3125
1975-03-26;6.375;6.625;6.5
1975-03-27;6.0;6.25;6.125
1975-03-28;6.0;6.25;6.125
1975-03-31;6.0;6.25;6.125
1975-04-01;6.25;6.5;6.375
1975-04-02;6.375;6.625;6.5
1975-04-03;6.25;6.5;6.375
1975-04-04;6.25;6.5;6.375
1975-04-07;6.5;6.75;6.625
1975-04-08;6.5;6.75;6.625
1975-04-09;6.625;6.75;6.6875
1975-04-10;6.5625;6.8125;6.6875
1975-04-11;6.375;6.625;6.5
1975-04-14;6.375;6.625;6.5
1975-04-15;6.375;6.625;6.5
1975-04-16;6.5;6.625;6.5625
1975-04-17;6.375;6.625;6.5
1975-04-18;6.3125;6.5625;6.4375
1975-04-21;6.3125;6.5625;6.4375
1975-04-22;6.3125;6.5625;6.4375
1975-04-23;6.4375;6.6875;6.5625
1975-04-24;6.625;6.875;6.75
1975-04-25;8.4375;8.6875;8.5625
1975-04-28;6.625;6.75;6.6875
1975-04-29;6.375;6.625;6.5
1975-04-30;6.5;6.625;6.5625
1975-05-01;6.375;6.625;6.5
1975-05-02;6.25;6.5;6.375
1975-05-05;6.25;6.5;6.375
1975-05-06;6.25;6.5;6.375
1975-05-07;6.25;6.5;6.375
1975-05-08;6.3125;6.5625;6.4375
1975-05-09;6.25;6.5;6.375
1975-05-12;6.25;6.5;6.375
1975-05-13;6.25;6.5;6.375
1975-05-14;6.1875;6.4375;6.3125
1975-05-15;6.25;6.5;6.375
1975-05-16;6.0;6.25;6.125
1975-05-19;6.0;6.25;6.125
1975-05-20;6.0;6.25;6.125
1975-05-21;6.0;6.25;6.125
1975-05-22;5.875;6.125;6.0
1975-05-23;5.875;6.125;6.0
1975-05-26;5.875;6.125;6.0
1975-05-27;6.0;6.125;6.0625
1975-05-28;5.875;6.125;6.0
1975-05-29;5.75;6.0;5.875
1975-05-30;5.8125;6.0625;5.9375
1975-06-02;5.75;6.0;5.875
1975-06-03;5.8125;6.0;5.9063
1975-06-04;5.8125;6.0625;5.9375
1975-06-05;5.6875;5.9375;5.8125
1975-06-06;5.75;6.0;5.875
1975-06-09;5.75;6.0;5.875
1975-06-10;5.5625;5.8125;5.6875
1975-06-11;5.5;5.75;5.625
1975-06-12;5.5;5.75;5.625
1975-06-13;5.625;5.875;5.75
1975-06-16;5.375;5.625;5.5
1975-06-17;5.375;5.625;5.5
1975-06-18;5.375;5.625;5.5
1975-06-19;5.375;5.625;5.5
1975-06-20;5.4375;5.6875;5.5625
1975-06-23;5.625;5.875;5.75
1975-06-24;5.625;5.875;5.75
1975-06-25;5.625;5.875;5.75
1975-06-26;5.75;6.0;5.875
1975-06-27;5.625;5.875;5.75
1975-06-30;5.75;6.0;5.875
1975-07-01;5.5;5.75;5.625
1975-07-02;5.625;5.875;5.75
1975-07-03;5.6875;5.9375;5.8125
1975-07-04;5.75;6.0;5.875
1975-07-07;5.75;6.0;5.875
1975-07-08;5.75;6.0;5.875
1975-07-09;5.75;6.0;5.875
1975-07-10;5.75;6.0;5.875
1975-07-11;5.75;6.0;5.875
1975-07-14;5.75;6.0;5.875
1975-07-15;5.75;6.0;5.875
1975-07-16;5.75;6.0;5.875
1975-07-17;5.875;6.125;6.0
1975-07-18;5.75;6.0;5.875
1975-07-21;5.875;6.125;6.0
1975-07-22;6.0;6.25;6.125
1975-07-23;6.0;6.0625;6.0313
