SPXC.SERIESC;I2;I3;O1;O2;O3;O6;OI;OM;ON;OS;OU;OV;OY;VI;VM;VX
2008-06-18;0.2295;0.238;0.2134;0.2229;0.2157;0.2177;4948198.0;30.8;0.2197;1340;1337.81;0.2108;0.2196;0.21301;359821.0;0.1972
2008-06-19;0.2246;0.2378;0.2048;0.1958;0.2058;0.2091;3060315.0;30.0;0.2162;1345;1342.832;0.2084;0.2146;0.20559;396296.0;0.20204
2008-06-20;0.2301;0.2418;0.22;0.22;0.215;0.2187;3182287.0;30.0;0.2182;1320;1317.93;0.2158;0.2187;0.21879;256337.0;0.18737
2008-06-23;0.2317;0.2421;0.217;0.2162;0.2163;0.2184;3222473.0;27.8;0.2186;1320;1318.002;0.2123;0.2204;0.21153;187398.0;0.18383
2008-06-24;0.2278;0.2316;0.2169;0.2209;0.2199;0.2174;3391221.0;28.2;0.2246;1315;1314.29;0.216;0.1531;0.2163;248667.0;0.22422
2008-06-25;0.2223;0.2319;0.2154;0.2156;0.2111;0.2149;3476352.0;34.2;0.2137;1320;1321.97;0.2558;0.2184;0.2352;186341.0;0.18109
2008-06-26;0.2343;0.2439;0.2382;0.2421;0.2293;0.2274;3726979.0;28.0;0.2254;1285;1283.15;0.2345;0.2268;0.23308;266978.0;0.2057
2008-06-27;0.2343;0.2459;0.2346;0.2315;0.2302;0.2275;3867237.0;27.5;0.2262;1280;1278.38;0.2363;0.2329;0.23584;295761.0;0.22048
2008-06-30;0.2327;0.2374;0.2448;0.2442;0.2283;0.2298;3946762.0;26.0;0.2238;1280;1280.0;0.2354;0.2247;0.23538;224454.0;0.20957
2008-07-01;0.2308;0.2364;0.2019;0.1998;0.2173;0.2051;4095648.0;32.14;0.2049;1285;1284.914;0.1796;0.2158;0.18031;276237.0;0.19356
2008-07-02;0.2349;0.2413;0.2512;0.2454;0.2495;0.2489;4181595.0;43.8;0.2299;1260;1261.52;0.2484;0.2287;0.251;208457.0;0.20405
2008-07-03;0.2355;0.2455;0.2404;0.2383;0.2364;0.2359;4253048.0;40.5;0.2315;1265;1262.9;0.2424;0.2314;0.24085;174209.0;0.20015
2008-07-04;0.2355;0.2455;0.2404;0.2383;0.2364;0.2359;4253048.0;40.5;0.2315;1265;1262.9;0.2424;0.2314;0.24085;;0.20015
2008-07-07;0.2335;0.2457;0.2469;0.2397;0.2326;0.2348;4355109.0;40.0;0.2494;1250;1252.31;0.2407;0.2223;0.24504;270306.0;0.21102
2008-07-08;0.2283;0.236;0.2174;0.2187;0.2006;0.2108;4484596.0;35.0;0.1995;1275;1273.7;0.2198;0.2137;0.2174;315378.0;0.19873
2008-07-09;0.2595;0.2637;0.3747;0.3176;0.2985;0.2748;4586959.0;53.1;0.2647;1245;1244.69;0.2414;0.2596;0.22185;271059.0;0.22054
2008-07-10;0.2366;0.2357;0.2392;0.2331;0.2347;0.2295;4704992.0;36.9;0.2208;1250;1253.39;0.2272;0.2218;0.23358;276086.0;0.22841
2008-07-11;0.2397;0.2365;0.2701;0.2607;0.2504;0.2402;4916822.0;39.63;0.2384;1240;1239.49;0.2641;0.2411;0.26455;415254.0;0.23423
2008-07-14;0.2422;0.2573;0.273;0.258;0.2556;0.2495;5019851.0;37.9;0.2456;1230;1228.297;0.271;0.2489;0.27057;321739.0;0.23999
2008-07-15;0.2406;0.2706;0.3242;0.264;0.2606;0.2512;5242856.0;45.0;0.2348;1215;1214.908;0.3242;0.2327;0.32425;498220.0;0.24074
2008-07-16;0.2296;0.2366;0.227;0.228;0.2158;0.2209;5467169.0;32.0;0.2172;1245;1245.36;0.2272;0.2104;0.22698;510654.0;0.21204
2008-07-17;0.2264;0.2348;0.2054;0.2129;0.2136;0.2141;4163649.0;28.7;0.2145;1260;1260.32;0.2049;0.2161;0.20514;679166.0;0.21649
2008-07-18;0.234;0.2343;0.2186;0.2229;0.2248;0.2201;4300968.0;30.5;0.2232;1260;1260.68;0.2205;0.224;0.21828;292926.0;0.20805
2008-07-21;0.2295;0.2336;0.2172;0.2171;0.2185;0.2193;4345921.0;28.0;0.2213;1260;1260.0;0.2172;0.2214;0.21723;159868.0;0.19769
2008-07-22;0.2218;0.2343;0.1943;0.1979;0.1985;0.2062;4409704.0;26.0;0.2046;1275;1277.0;0.1956;0.2004;0.19348;173489.0;0.16933
2008-07-23;0.2236;0.2347;0.2017;0.2053;0.2092;0.217;4531798.0;27.0;0.2139;1280;1282.19;0.2063;0.215;0.20082;235221.0;0.17053
2008-07-24;0.2262;0.2343;0.2199;0.225;0.2327;0.2333;4573579.0;25.0;0.2317;1255;1252.54;0.2182;0.2289;0.21878;219042.0;0.21821
2008-07-25;0.2252;0.2423;0.2106;0.216;0.2126;0.2192;4616891.0;24.0;0.218;1260;1257.764;0.2132;0.2194;0.20839;160269.0;0.19069
2008-07-28;0.2315;0.2425;0.2364;0.2324;0.2333;0.2306;4679627.0;27.8;0.2266;1230;1234.37;0.2405;0.2262;0.23871;203747.0;0.21626
2008-07-29;0.2237;0.2362;0.205;0.2071;0.2106;0.2132;4710262.0;20.85;0.2139;1265;1263.2;0.2054;0.2153;0.20458;158377.0;0.19446
2008-07-30;0.2191;0.2167;0.1999;0.1979;0.1999;0.1929;4778967.0;21.0;0.1968;1285;1284.26;0.2052;0.2042;0.20301;239700.0;0.19014
