SPXC.SERIESP;I2;I3;O1;O2;O3;O6;OI;OM;ON;OS;OU;OV;OY;VI;VM;VX
2008-06-18;0.234;0.2385;0.2139;0.2148;0.2221;0.226;8148280.0;32.64;0.2229;1340;1337.81;0.2113;0.2318;0.21389;646693.0;0.3233
2008-06-19;0.233;0.237;0.2041;0.2099;0.2162;0.2244;5210826.0;30.0;0.2226;1345;1342.832;0.1963;0.2324;0.20374;469204.0;0.27142
2008-06-20;0.2348;0.2372;0.2191;0.2184;0.2299;0.226;5452954.0;31.9;0.2291;1320;1317.93;0.2175;0.2294;0.21932;546659.0;0.26691
2008-06-23;0.2299;0.2347;0.2182;0.218;0.218;0.2243;5486719.0;30.4;0.2257;1320;1318.002;0.2196;0.2296;0.21823;271491.0;0.28722
2008-06-24;0.2292;0.2369;0.2194;0.2206;0.2203;0.235;5707283.0;29.0;0.2252;1315;1314.29;0.2192;0.2292;0.21898;410056.0;0.24958
2008-06-25;0.228;0.2319;0.203;0.2091;0.2137;0.2172;5861699.0;25.2;0.2216;1320;1321.97;0.2038;0.2237;0.20148;307299.0;0.24711
2008-06-26;0.2329;0.2298;0.2292;0.2266;0.2218;0.2231;6591016.0;29.0;0.2271;1285;1283.15;0.23;0.2342;0.23006;576731.0;0.25698
2008-06-27;0.231;0.2336;0.2219;0.228;0.2242;0.2301;6793441.0;26.2;0.2323;1280;1278.38;0.2137;0.2321;0.21733;559455.0;0.26276
2008-06-30;0.2303;0.232;0.2225;0.2266;0.2229;0.2224;6862065.0;24.0;0.2297;1280;1280.0;0.2188;0.2302;0.21885;356037.0;0.26104
2008-07-01;0.2296;0.2376;0.2315;0.2333;0.2351;0.236;7003473.0;42.0;0.2495;1285;1284.914;0.2383;0.2332;0.23836;462847.0;0.28248
2008-07-02;0.2356;0.2245;0.2463;0.2438;0.2407;0.2379;7187280.0;41.8;0.2284;1260;1261.52;0.2489;0.2278;0.24384;471956.0;0.27464
2008-07-03;0.231;0.2352;0.2375;0.24;0.235;0.2267;7280960.0;42.0;0.2313;1265;1262.9;0.2413;0.2326;0.24273;369259.0;0.2876
2008-07-04;0.231;0.2352;0.2375;0.24;0.235;0.2267;7280960.0;42.0;0.2313;1265;1262.9;0.2413;0.2326;0.24273;;0.2876
2008-07-07;0.2355;0.2388;0.2495;0.2421;0.2338;0.246;7405579.0;38.0;0.2463;1250;1252.31;0.2448;0.244;0.24462;440216.0;0.29298
2008-07-08;0.2272;0.2289;0.2249;0.2295;0.2301;0.2331;7558996.0;36.4;0.2488;1275;1273.7;0.2225;0.2298;0.22675;467110.0;0.26136
2008-07-09;0.2144;0.2209;0.1489;0.1724;0.1833;0.1977;7638752.0;24.9;0.2042;1245;1244.69;0.1601;0.2094;0.23045;366803.0;0.23035
2008-07-10;0.2326;0.2342;0.2483;0.2403;0.238;0.2432;7757989.0;36.0;0.2348;1250;1253.39;0.245;0.2477;0.2464;479822.0;0.31141
2008-07-11;0.237;0.2365;0.2614;0.2583;0.253;0.2566;7978084.0;40.4;0.2472;1240;1239.49;0.2674;0.2458;0.26745;686128.0;0.29526
