VIXC.SERIESC;O1;O2;O3;O6;OI;OM;ON;OS;OU;OV;OY;VI;VM;VX
2008-05-20;0.738;;0.4554;0.3811;1091173.0;3.4;;18.0;17.58;0.7034;;0.7404;134605.0;0.891
2008-05-21;0.6896;;0.4697;0.4178;669504.0;3.8;;19.0;18.59;0.7615;;0.7001;81498.0;0.874
2008-05-22;0.6671;;0.3725;0.4225;693060.0;4.1;;18.0;18.05;0.678;;0.6806;66219.0;0.922
2008-05-23;0.7215;;0.4858;0.4527;696352.0;3.1;;20.0;19.55;0.7566;;0.7383;73803.0;0.998
2008-05-26;0.7215;;0.4858;0.4527;696352.0;3.1;;20.0;19.55;0.7566;;0.7383;;0.998
2008-05-27;0.7487;;0.5325;0.4527;703232.0;2.55;;20.0;19.64;0.8112;;0.8095;58763.0;1.016
2008-05-28;0.7053;;0.4769;0.4527;724231.0;3.0;;19.0;19.07;0.7707;;0.7692;36532.0;0.966
2008-05-29;0.6514;;0.5625;0.4527;802124.0;2.47;;18.0;18.14;0.6781;;0.6892;135929.0;1.012
2008-05-30;0.6231;;0.4701;0.4527;807598.0;2.0;;18.0;17.83;0.6579;;0.6523;51184.0;1.037
2008-06-02;0.7534;;0.5369;0.4527;832385.0;3.9;;20.0;19.83;0.7474;;0.733;57202.0;0.808
2008-06-03;0.7652;;0.5197;0.4527;839800.0;4.0;;20.0;20.24;0.68;;0.6817;45747.0;0.771
2008-06-04;0.8281;;0.5498;0.4527;845531.0;4.05;;20.0;20.8;0.7401;;0.7406;59622.0;0.852
2008-06-05;0.761;;0.5245;0.4527;851619.0;3.9;;19.0;18.63;0.6965;;0.7081;59093.0;0.837
2008-06-06;0.9515;;0.5644;0.4527;889844.0;3.1;;22.5;23.56;0.7563;;0.7909;121498.0;0.897
2008-06-09;1.0038;;0.5736;0.4527;930347.0;3.1;;22.5;23.12;0.8975;;0.8986;167214.0;0.933
2008-06-10;0.962;;0.5877;0.4527;955571.0;3.02;;22.5;23.18;0.8753;;0.8844;149250.0;0.974
2008-06-11;0.9449;;0.5797;0.4527;971450.0;2.25;;25.0;24.12;0.8951;;0.8815;80656.0;0.936
2008-06-12;0.9087;;0.5886;0.4527;954277.0;3.2;;22.5;23.33;0.8704;;0.8749;62874.0;0.94
2008-06-13;0.7739;;0.5965;0.4527;972060.0;3.8;;20.0;21.22;0.7485;;0.7736;101858.0;0.904
2008-06-16;0.7831;;0.9104;0.4527;1009852.0;3.65;;20.0;20.95;0.746;;0.7831;136246.0;0.725
2008-06-17;0.7901;;0.8643;0.4527;1016862.0;3.5;;20.0;21.13;0.7521;;0.7979;47487.0;0.701
2008-06-18;0.7952;;0.5779;0.4527;633300.0;2.5;;22.5;22.24;0.8061;;0.803;78025.0;0.904
2008-06-19;0.7797;;0.8306;0.4527;624501.0;2.1;;22.5;21.58;0.7563;;0.7961;34689.0;0.729
2008-06-20;0.7771;;0.5616;0.4527;660327.0;2.47;;22.5;22.87;0.785;;0.7899;76079.0;0.901
2008-06-23;0.7619;;0.5876;0.4527;696267.0;2.35;;22.5;22.64;0.7778;;0.7816;65245.0;0.998
2008-06-24;0.7628;;0.5637;0.4527;719591.0;2.36;;22.5;22.42;0.7899;;0.7887;68429.0;1.015
2008-06-25;0.7736;;0.5387;0.4527;740389.0;3.2;;20.0;21.14;0.7889;;0.808;68916.0;1.035
2008-06-26;0.819;;0.5616;0.4527;756101.0;1.9;;25.0;23.93;0.9029;;0.8714;109319.0;0.947
2008-06-27;0.8578;;0.6718;0.4527;795192.0;2.95;;22.5;23.44;0.9013;;0.876;72957.0;1.568
2008-06-30;0.8531;;0.5993;0.4527;819043.0;1.55;;25.0;23.95;0.9717;;0.9487;61172.0;1.156
2008-07-01;0.8554;;0.5929;0.4527;855534.0;3.08;;22.5;23.65;0.7069;;0.7132;83041.0;0.785
2008-07-02;0.8555;;0.6063;0.4527;867563.0;2.55;;25.0;25.92;0.7171;;0.7203;103974.0;0.735
2008-07-03;0.904;;0.5418;0.4527;862560.0;2.37;;25.0;24.78;0.6854;;0.6799;48062.0;0.71
2008-07-04;0.904;;0.5418;0.4527;862560.0;2.37;;25.0;24.78;0.6854;;0.6799;;0.71
2008-07-07;0.8376;;0.6112;0.4527;903602.0;2.25;;25.0;25.78;0.6956;;0.71;112248.0;0.764
2008-07-08;0.9911;;0.6245;0.4527;947968.0;2.75;;22.5;23.15;0.7721;;0.7751;133019.0;0.925
2008-07-09;0.9911;;0.6245;0.4527;968348.0;2.35;;25.0;25.23;0.7572;;0.7599;75346.0;0.773
2008-07-10;0.7957;;0.5141;0.4527;997676.0;2.4;;25.0;25.59;0.7166;;0.7301;157776.0;0.758
2008-07-11;0.8888;;0.6441;0.4527;1003804.0;1.6;;27.5;27.49;0.7508;;0.7507;189632.0;0.737
2008-07-14;0.9305;;0.6357;0.4527;1018847.0;1.85;;27.5;28.48;0.7736;;0.784;177618.0;0.829
2008-07-15;0.9305;;0.6154;0.4527;654119.0;1.75;;27.5;28.54;0.7205;;0.7333;267138.0;0.79
2008-07-16;0.9305;;0.5766;0.4527;676933.0;2.0;;25.0;25.1;0.7089;;0.71;69573.0;0.779
2008-07-17;0.9305;;0.5513;0.4527;673704.0;1.75;;25.0;25.01;0.715;;0.7151;54804.0;0.768
