VIXC.SERIESP;O1;O2;O3;O6;OI;OM;ON;OS;OU;OV;OY;VI;VM;VX
2008-05-20;0.7203;;0.4736;0.4209;348015.0;0.55;;18.0;17.58;0.7353;;0.727;53648.0;0.778
2008-05-21;0.7597;;0.4832;0.4127;204587.0;0.6;;19.0;18.59;0.779;;0.7723;26644.0;1.037
2008-05-22;0.7236;;0.4841;0.4325;206285.0;0.35;;18.0;18.05;0.7342;;0.7375;13919.0;1.048
2008-05-23;0.7415;;0.4925;0.4356;215239.0;0.8;;20.0;19.55;0.7644;;0.7609;26171.0;1.01
2008-05-26;0.7415;;0.4925;0.4356;215239.0;0.8;;20.0;19.55;0.7644;;0.7609;;1.01
2008-05-27;0.7707;;0.4949;0.4356;216810.0;1.0;;20.0;19.64;0.8231;;0.8106;7429.0;1.072
2008-05-28;0.7432;;0.4922;0.4356;220966.0;0.6;;19.0;19.07;0.7852;;0.7855;9899.0;1.13
2008-05-29;0.699;;0.4821;0.4356;223781.0;0.55;;18.0;18.14;0.748;;0.7515;10804.0;1.187
2008-05-30;0.6736;;0.4769;0.4356;234452.0;0.6;;18.0;17.83;0.7009;;0.6979;39077.0;1.135
2008-06-02;0.7649;;0.505;0.4356;259854.0;0.95;;20.0;19.83;0.7005;;0.6964;37099.0;0.837
2008-06-03;0.8125;;0.5106;0.4356;269031.0;0.9;;20.0;20.24;0.7257;;0.7267;21599.0;0.856
2008-06-04;0.8418;;0.54;0.4356;265857.0;0.95;;20.0;20.8;0.7453;;0.741;16174.0;0.854
2008-06-05;0.7759;;0.5018;0.4356;266751.0;0.77;;19.0;18.63;0.7204;;0.718;9310.0;0.904
2008-06-06;0.9585;;0.5716;0.4356;283623.0;1.8;;22.5;23.56;0.8052;;0.8126;42975.0;0.879
2008-06-09;0.9837;;0.5888;0.4356;310993.0;2.1;;22.5;23.12;0.8766;;0.8826;51841.0;0.945
2008-06-10;0.9469;;0.5886;0.4356;319516.0;2.0;;22.5;23.18;0.8581;;0.8721;21785.0;0.93
2008-06-11;0.9344;;0.6112;0.4356;325705.0;3.2;;25.0;24.12;0.8966;;0.8822;17862.0;0.958
2008-06-12;0.8847;;0.6123;0.4356;331716.0;1.75;;22.5;23.33;0.847;;0.8584;19839.0;0.943
2008-06-13;0.8012;;0.5692;0.4356;340146.0;0.8;;20.0;21.22;0.7605;;0.7854;27333.0;0.931
2008-06-16;0.5079;;0.3543;0.4356;348206.0;0.85;;20.0;20.95;0.7503;;0.7079;17435.0;0.733
2008-06-17;0.5015;;0.368;0.4356;348934.0;0.75;;20.0;21.13;0.7413;;0.7025;26603.0;0.754
2008-06-18;0.786;;0.5699;0.4356;216734.0;1.6;;22.5;22.24;0.7947;;0.7937;15178.0;0.983
2008-06-19;0.7293;;0.4009;0.4356;229213.0;1.7;;22.5;21.58;0.7071;;0.7334;25315.0;0.795
2008-06-20;0.7434;;0.5736;0.4356;245873.0;1.35;;22.5;22.87;0.7436;;0.7547;57195.0;0.917
2008-06-23;0.7666;;0.5634;0.4356;246352.0;1.35;;22.5;22.64;0.7922;;0.7949;15693.0;0.976
2008-06-24;0.7498;;0.567;0.4356;252522.0;1.2;;22.5;22.42;0.775;;0.7748;29994.0;0.877
