SPX04101270P;DZ;FV;GM;MP;OI;OUP;PH;PL;PO;TA;VG;VL;VM
2010-01-14;-0.91779;128.6;0.00176;128.6;;1148.46;128.6;128.6;128.6;0.155488;0.835501;0.1429;
2010-01-15;-0.91323;141.4;0.00165;141.4;;1136.03;141.4;141.4;141.4;0.171911;0.854351;0.1624;
2010-01-18;-0.91323;141.4;0.00165;141.4;;1136.03;;;;0.171911;0.854351;0.1624;
2010-01-19;-0.90408;127.802;0.00189;127.8;;1150.232;127.8;127.8;127.8;0.187643;0.916635;0.1552;
2010-01-20;-0.9249;138.703;0.00158;138.7;;1138.04;138.7;138.7;138.7;0.163834;0.742317;0.1561;
2010-01-21;-0.91712;161.05;0.00144;161.05;;1116.479;161.05;161.05;161.05;0.192132;0.784039;0.1895;
2010-01-22;-0.98611;181.899;0.00036;181.6;;1091.755;181.6;181.6;181.6;0.07495;0.133317;0.1365;
2010-01-25;-0.94473;178.95;0.00107;178.95;;1096.784;178.95;178.95;178.95;0.156409;0.538319;0.1912;
2010-01-26;-0.92299;185.0;0.00123;185.0;;1092.17;185.0;185.0;185.0;0.204166;0.703018;0.2206;
2010-01-27;-0.94753;178.0;0.00104;178.0;;1097.504;178.0;178.0;178.0;0.15358;0.509433;0.1898;
2010-01-28;-0.9351;191.95;0.0011;191.95;;1084.526;191.95;191.95;191.95;0.189057;0.598497;0.22;
2010-01-29;-0.96338;200.95;0.00075;200.95;;1073.869;200.95;200.95;200.95;0.133865;0.356043;0.1987;
2010-02-01;-0.95753;185.804;0.00088;185.8;;1089.189;185.8;185.8;185.8;0.146211;0.406786;0.194;
2010-02-02;-0.91792;174.05;0.00134;174.05;;1103.323;174.05;174.05;174.05;0.227382;0.715242;0.2216;
2010-02-03;-0.99351;176.541;0.00014;175.8;;1097.281;175.8;175.8;175.8;0.081537;0.03951;0.1206;
2010-02-04;-0.9948;210.364;7e-05;209.75;;1063.11;209.75;209.75;209.75;0.074119;0.021248;0.137;
2010-02-05;-0.9223;210.901;0.00111;210.9;;1066.187;210.9;210.9;210.9;0.245175;0.648561;0.2721;
2010-02-08;-0.9907;216.354;0.00021;216.35;;1056.74;216.35;216.35;216.35;0.078075;0.073124;0.1713;
2010-02-09;-0.94785;204.75;0.00092;204.75;;1070.52;204.75;204.75;204.75;0.188792;0.455255;0.2413;
2010-02-10;-0.93844;207.6;0.001;207.6;;1068.13;207.6;207.6;207.6;0.214853;0.518979;0.2589;
2010-02-11;-0.98325;195.104;0.00043;195.1;;1078.47;195.1;195.1;195.1;0.103814;0.152097;0.1777;
2010-02-12;-0.99642;197.63;1e-05;192.7;;1075.51;192.7;192.7;192.7;0.073408;0.001808;0.11;
2010-02-15;-0.99642;197.63;1e-05;192.7;;1075.51;;;;0.073408;0.001808;0.11;
2010-02-16;-0.9836;178.5;0.00046;178.5;;1094.87;178.5;178.5;178.5;0.105737;0.147512;0.1683;
2010-02-17;-0.99675;173.518;1e-05;171.95;;1099.51;171.95;171.95;171.95;0.076895;0.000911;0.0953;
2010-02-18;-0.98829;166.301;0.00037;166.3;;1106.75;166.3;166.3;166.3;0.093019;0.102206;0.1488;
2010-02-19;-0.95146;165.2;0.00108;165.2;;1109.17;165.2;165.2;165.2;0.180606;0.412037;0.2057;
2010-02-22;-0.99713;164.696;1e-05;163.6;;1108.01;163.6;163.6;163.6;0.075391;0.001176;0.0962;
2010-02-23;-0.99714;178.019;1e-05;174.1;;1094.6;174.1;174.1;174.1;0.074489;0.001775;0.1088;
2010-02-24;-0.96263;168.3;0.00091;168.3;;1105.24;168.3;168.3;168.3;0.160852;0.313491;0.2059;
2010-02-25;-0.99691;169.604;3e-05;168.75;;1102.94;168.75;168.75;168.75;0.076031;0.006539;0.1172;
2010-02-26;-0.99627;168.018;7e-05;167.9;;1104.49;167.9;167.9;167.9;0.077914;0.015188;0.1273;
2010-03-01;-0.99702;156.663;4e-05;156.55;;1115.71;156.55;156.55;156.55;0.077423;0.00771;0.1144;
2010-03-02;-0.9963;154.003;9e-05;153.85;;1118.31;153.85;153.85;153.85;0.078789;0.01695;0.1231;
2010-03-03;-0.9972;153.421;4e-05;152.7;;1118.79;152.7;152.7;152.7;0.075412;0.006651;0.1131;
2010-03-04;-0.99747;149.147;3e-05;148.85;;1122.97;148.85;148.85;148.85;0.073534;0.004115;0.1066;
2010-03-05;-0.94886;135.001;0.00135;135.0;;1138.69;135.0;135.0;135.0;0.207957;0.38683;0.1965;
2010-03-08;-0.97046;134.15;0.00097;134.15;;1138.5;134.15;134.15;134.15;0.151602;0.232523;0.1769;
2010-03-09;-0.99745;131.45;5e-05;130.95;;1140.45;130.95;130.95;130.95;0.075526;0.007401;0.1051;
2010-03-10;-0.99799;126.286;1e-05;125.8;;1145.61;125.8;125.8;125.8;0.076404;0.001264;0.0886;
2010-03-11;-0.99786;121.571;3e-05;120.8;;1150.24;120.8;120.8;120.8;0.075531;0.00405;0.0945;
2010-03-12;-0.99778;121.771;5e-05;119.95;;1149.99;119.95;119.95;119.95;0.075915;0.005542;0.0989;
2010-03-15;-0.99837;121.097;;120.8;;1150.51;120.8;120.8;120.8;0.075001;9e-05;0.0783;
2010-03-16;-0.99803;112.106;5e-05;111.8;;1159.46;111.8;111.8;111.8;0.076479;0.004807;0.0958;
2010-03-17;-0.97296;105.8;0.00116;105.8;;1166.21;105.8;105.8;105.8;0.149998;0.19545;0.1557;
2010-03-18;-0.99783;105.624;8e-05;105.0;;1165.83;105.0;105.0;105.0;0.076858;0.008234;0.0982;
2010-03-19;-0.99862;111.481;;110.4;;1159.9;110.4;110.4;110.4;0.073488;2e-06;0.0655;
2010-03-22;-0.99852;105.415;3e-05;104.7;;1165.81;104.7;104.7;104.7;0.07458;0.002853;0.0969;
2010-03-23;-0.99373;97.071;0.00041;97.0;;1174.17;97.0;97.0;97.0;0.090789;0.043317;0.1225;
2010-03-24;-0.99858;103.331;4e-05;102.2;;1167.72;102.2;102.2;102.2;0.070048;0.003141;0.1003;
2010-03-25;-0.99889;105.293;1e-05;103.95;1.0;1165.73;94.9;94.9;94.9;0.070596;0.000395;0.0903;1.0
2010-03-26;-0.99897;104.399;;103.15;1.0;1166.58;103.15;103.15;103.15;0.070894;7.6e-05;0.0836;
2010-03-29;-0.98182;97.9;0.00097;97.9;1.0;1173.22;97.9;97.9;97.9;0.151302;0.108402;0.1739;
2010-03-30;-0.99918;97.546;;97.35;1.0;1173.27;97.35;97.35;97.35;0.073785;8e-06;0.0786;
2010-03-31;-0.99921;101.343;;101.25;1.0;1169.43;101.25;101.25;101.25;0.074668;0.000175;0.0987;
2010-04-01;-0.9976;92.64;0.00018;92.55;1.0;1178.1;92.55;92.55;92.55;0.083309;0.01245;0.1313;
2010-04-02;-0.9976;92.64;0.00018;92.55;1.0;1178.1;;;;0.083309;0.01245;0.1313;
2010-04-05;-0.99856;83.083;0.00012;83.05;1.0;1187.44;83.05;83.05;83.05;0.080532;0.00619;0.1309;
2010-04-06;-0.99954;81.026;;80.35;1.0;1189.44;80.35;80.35;80.35;0.074962;1.2e-05;0.0894;
2010-04-07;-0.99958;87.96;;87.8;1.0;1182.45;83.6;83.6;83.6;0.074287;2.7e-05;0.1074;1.0
2010-04-08;-0.99964;83.916;;82.8;1.0;1186.44;82.8;82.8;82.8;0.073681;;0.0696;
2010-04-09;-0.99969;75.938;;73.6;1.0;1194.37;73.6;73.6;73.6;0.074271;;0.06;
2010-04-12;-0.98463;73.85;0.00117;73.85;1.0;1196.48;73.85;73.85;73.85;0.377054;0.041578;0.3026;
2010-04-13;-0.94527;73.8;0.00254;73.8;1.0;1197.3;73.8;73.8;73.8;1.818875;0.098067;0.4924;
2010-04-14;-0.97023;59.75;0.00221;59.75;1.0;1210.65;59.75;59.75;59.75;1.567563;0.042782;0.4823;
2010-04-15;;;;83.6;;1211.67;83.6;83.6;83.6;;;;
2008-04-15;;;;;;1334.43;;;;;;;
2008-04-16;;;;;;1364.71;;;;;;;
2008-04-17;;;;;;1365.56;;;;;;;
2008-04-18;;;;;;1390.332;;;;;;;
2008-04-21;;;;;;1388.17;;;;;;;
2008-04-22;;;;;;1375.94;;;;;;;
2008-04-23;;;;;;1379.93;;;;;;;
2008-04-24;;;;;;1388.82;;;;;;;
2008-04-25;;;;;;1397.84;;;;;;;
2008-04-28;;;;;;1396.37;;;;;;;
2008-04-29;;;;;;1390.94;;;;;;;
2008-04-30;;;;;;1385.59;;;;;;;
2008-05-01;;;;;;1409.34;;;;;;;
2008-05-02;;;;;;1413.897;;;;;;;
2008-05-05;;;;;;1407.49;;;;;;;
2008-05-06;;;;;;1418.26;;;;;;;
2008-05-07;;;;;;1392.57;;;;;;;
2008-05-08;;;;;;1397.68;;;;;;;
2008-05-09;;;;;;1388.281;;;;;;;
2008-05-12;;;;;;1403.58;;;;;;;
2008-05-13;;;;;;1403.04;;;;;;;
2008-05-14;;;;;;1408.66;;;;;;;
2008-05-15;;;;;;1423.57;;;;;;;
2008-05-16;;;;;;1425.346;;;;;;;
2008-05-19;;;;;;1426.63;;;;;;;
2008-05-20;;;;;;1413.398;;;;;;;
2008-05-21;;;;;;1390.71;;;;;;;
2008-05-22;;;;;;1394.35;;;;;;;
2008-05-23;;;;;;1375.932;;;;;;;
2008-05-26;;;;;;1375.932;;;;;;;
2008-05-27;;;;;;1385.35;;;;;;;
2008-05-28;;;;;;1390.84;;;;;;;
2008-05-29;;;;;;1398.263;;;;;;;
2008-05-30;;;;;;1400.376;;;;;;;
2008-06-02;;;;;;1385.67;;;;;;;
2008-06-03;;;;;;1377.653;;;;;;;
2008-06-04;;;;;;1377.2;;;;;;;
2008-06-05;;;;;;1404.05;;;;;;;
2008-06-06;;;;;;1360.68;;;;;;;
2008-06-09;;;;;;1361.76;;;;;;;
2008-06-10;;;;;;1358.443;;;;;;;
2008-06-11;;;;;;1335.487;;;;;;;
2008-06-12;;;;;;1339.87;;;;;;;
2008-06-13;;;;;;1360.03;;;;;;;
2008-06-16;;;;;;1360.14;;;;;;;
2008-06-17;;;;;;1350.93;;;;;;;
2008-06-18;;;;;;1337.81;;;;;;;
2008-06-19;;;;;;1342.832;;;;;;;
2008-06-20;;;;;;1317.93;;;;;;;
2008-06-23;;;;;;1318.002;;;;;;;
2008-06-24;;;;;;1314.29;;;;;;;
2008-06-25;;;;;;1321.97;;;;;;;
2008-06-26;;;;;;1283.15;;;;;;;
2008-06-27;;;;;;1278.38;;;;;;;
2008-06-30;;;;;;1280.0;;;;;;;
2008-07-01;;;;;;1284.914;;;;;;;
2008-07-02;;;;;;1261.52;;;;;;;
2008-07-03;;;;;;1262.9;;;;;;;
2008-07-04;;;;;;1262.9;;;;;;;
2008-07-07;;;;;;1252.31;;;;;;;
2008-07-08;;;;;;1273.7;;;;;;;
2008-07-09;;;;;;1244.69;;;;;;;
2008-07-10;;;;;;1253.39;;;;;;;
2008-07-11;;;;;;1239.49;;;;;;;
2008-07-14;;;;;;1228.297;;;;;;;
2008-07-15;;;;;;1214.908;;;;;;;
2008-07-16;;;;;;1245.36;;;;;;;
2008-07-17;;;;;;1260.32;;;;;;;
2008-07-18;;;;;;1260.68;;;;;;;
2008-07-21;;;;;;1260.0;;;;;;;
2008-07-22;;;;;;1277.0;;;;;;;
2008-07-23;;;;;;1282.19;;;;;;;
2008-07-24;;;;;;1252.54;;;;;;;
2008-07-25;;;;;;1257.764;;;;;;;
2008-07-28;;;;;;1234.37;;;;;;;
2008-07-29;;;;;;1263.2;;;;;;;
2008-07-30;;;;;;1284.26;;;;;;;
2008-07-31;;;;;;1267.38;;;;;;;
2008-08-01;;;;;;1260.314;;;;;;;
2008-08-04;;;;;;1249.01;;;;;;;
2008-08-05;;;;;;1284.88;;;;;;;
2008-08-06;;;;;;1289.188;;;;;;;
2008-08-07;;;;;;1266.07;;;;;;;
2008-08-08;;;;;;1296.32;;;;;;;
2008-08-11;;;;;;1305.32;;;;;;;
2008-08-12;;;;;;1289.59;;;;;;;
2008-08-13;;;;;;1285.83;;;;;;;
2008-08-14;;;;;;1292.93;;;;;;;
2008-08-15;;;;;;1298.2;;;;;;;
2008-08-18;;;;;;1278.6;;;;;;;
2008-08-19;;;;;;1266.69;;;;;;;
2008-08-20;;;;;;1274.54;;;;;;;
2008-08-21;;;;;;1277.72;;;;;;;
2008-08-22;;;;;;1292.196;;;;;;;
2008-08-25;;;;;;1266.84;;;;;;;
2008-08-26;;;;;;1271.51;;;;;;;
2008-08-27;;;;;;1281.664;;;;;;;
2008-08-28;;;;;;1300.68;;;;;;;
2008-08-29;;;;;;1282.83;;;;;;;
2008-09-01;;;;;;1282.83;;;;;;;
2008-09-02;;;;;;1277.577;;;;;;;
2008-09-03;;;;;;1274.98;;;;;;;
2008-09-04;;;;;;1236.83;;;;;;;
