SPX04101275P;DZ;FV;GM;MP;OUP;PH;PL;PO;TA;VG;VL
2009-12-21;-0.89614;171.352;0.00148;171.35;1114.05;171.35;171.35;171.35;0.183539;1.081146;0.1847
2009-12-22;-0.92882;164.9;0.00129;164.9;1118.02;164.9;164.9;164.9;0.140467;0.791607;0.1569
2009-12-23;-0.91148;163.5;0.00145;163.5;1120.59;163.5;163.5;163.5;0.163704;0.946793;0.1681
2009-12-24;-0.91349;157.2;0.00149;157.2;1126.48;157.2;157.2;157.2;0.157424;0.931588;0.1609
2009-12-25;-0.91349;157.2;0.00149;157.2;1126.48;;;;0.157424;0.931588;0.1609
2009-12-28;-0.90442;156.1;0.00156;156.1;1127.777;156.1;156.1;156.1;0.169456;0.993788;0.1688
2009-12-29;-0.91112;157.2;0.00151;157.2;1126.199;157.2;157.2;157.2;0.162399;0.932688;0.1664
2009-12-30;-0.90535;156.9;0.00155;156.9;1126.42;156.9;156.9;156.9;0.165592;0.976707;0.1708
2009-12-31;-0.92254;167.85;0.00133;167.85;1115.1;167.85;167.85;167.85;0.157657;0.818908;0.1716
2010-01-01;-0.92254;167.85;0.00133;167.85;1115.1;;;;0.157657;0.818908;0.1716
2010-01-04;-0.91278;150.4;0.00156;150.4;1132.99;150.4;150.4;150.4;0.169014;0.900633;0.1626
2010-01-05;-0.91176;146.8;0.0016;146.8;1136.52;146.8;146.8;146.8;0.168943;0.907851;0.1601
2010-01-06;-0.91356;145.8;0.0016;145.8;1137.14;145.8;145.8;145.8;0.164321;0.889436;0.1587
2010-01-07;-0.91025;141.503;0.00167;141.5;1141.69;141.5;141.5;141.5;0.16942;0.916448;0.1567
2010-01-08;-0.91916;137.7;0.00163;137.7;1144.98;137.7;137.7;137.7;0.158604;0.841081;0.1477
2010-01-11;-0.90259;136.6;0.00179;136.6;1146.98;136.6;136.6;136.6;0.183551;0.963392;0.159
2010-01-12;-0.95351;144.4;0.00116;144.4;1136.22;144.4;144.4;144.4;0.117831;0.510061;0.1339
2010-01-13;-0.90591;137.3;0.00176;137.3;1145.68;137.3;137.3;137.3;0.177786;0.92737;0.1597
2010-01-14;-0.92436;133.3;0.00164;133.3;1148.46;133.3;133.3;133.3;0.151394;0.777007;0.1444
2010-01-15;-0.91966;146.1;0.00155;146.1;1136.03;146.1;146.1;146.1;0.165946;0.80323;0.1629
2010-01-18;-0.91966;146.1;0.00155;146.1;1136.03;;;;0.165946;0.80323;0.1629
2010-01-19;-0.91093;132.503;0.00178;132.5;1150.232;132.5;132.5;132.5;0.182088;0.864962;0.1562
2010-01-20;-0.93001;143.5;0.00148;143.5;1138.04;143.5;143.5;143.5;0.159389;0.700647;0.1574
2010-01-21;-0.92143;165.85;0.00137;165.85;1116.479;165.85;165.85;165.85;0.188061;0.751111;0.1911
2010-01-22;-0.98755;186.857;0.00031;186.5;1091.755;186.5;186.5;186.5;0.072835;0.115534;0.1365
2010-01-25;-0.94727;183.851;0.00101;183.85;1096.784;183.85;183.85;183.85;0.153798;0.516895;0.1933
2010-01-26;-0.92545;189.9;0.00119;189.9;1092.17;189.9;189.9;189.9;0.202369;0.684757;0.2234
2010-01-27;-0.95009;182.901;0.00099;182.9;1097.504;182.9;182.9;182.9;0.15077;0.487683;0.1918
2010-01-28;-0.93598;196.95;0.00106;196.95;1084.526;196.95;196.95;196.95;0.189989;0.591719;0.2242
2010-01-29;-0.96382;205.95;0.00072;205.95;1073.869;205.95;205.95;205.95;0.134362;0.352063;0.2025
2010-02-01;-0.95819;190.8;0.00085;190.8;1089.189;190.8;190.8;190.8;0.146649;0.40107;0.1978
2010-02-02;-0.92055;178.95;0.00129;178.95;1103.323;178.95;178.95;178.95;0.225642;0.696895;0.2247
2010-02-03;-0.99406;181.529;0.00011;180.8;1097.281;180.8;180.8;180.8;0.080629;0.03207;0.1206
2010-02-04;-0.99507;215.357;6e-05;214.75;1063.11;214.75;214.75;214.75;0.07355;0.017434;0.137
2010-02-05;-0.92325;215.901;0.00108;215.9;1066.187;215.9;215.9;215.9;0.246427;0.64219;0.2767
2010-02-08;-0.99079;221.35;0.0002;221.35;1056.74;221.35;221.35;221.35;0.078059;0.07206;0.1744
2010-02-09;-0.94852;209.75;0.0009;209.75;1070.52;209.75;209.75;209.75;0.189617;0.450222;0.2457
2010-02-10;-0.93921;212.6;0.00097;212.6;1068.13;212.6;212.6;212.6;0.21588;0.513533;0.2634
2010-02-11;-0.9864;200.002;0.00034;200.0;1078.47;200.0;200.0;200.0;0.096941;0.120096;0.174
2010-02-12;-0.99645;202.628;1e-05;197.6;1075.51;197.6;197.6;197.6;0.073291;0.001306;0.11
2010-02-15;-0.99645;202.628;1e-05;197.6;1075.51;;;;0.073291;0.001306;0.11
2010-02-16;-0.98377;183.501;0.00044;183.5;1094.87;183.5;183.5;183.5;0.106053;0.145804;0.1722
2010-02-17;-0.99677;178.516;;177.0;1099.51;177.0;177.0;177.0;0.07681;0.000604;0.0953
2010-02-18;-0.98831;171.303;0.00036;171.3;1106.75;171.3;171.3;171.3;0.093465;0.101983;0.1528
2010-02-19;-0.95227;170.2;0.00104;170.2;1109.17;170.2;170.2;170.2;0.181534;0.406144;0.2104
2010-02-22;-0.99715;169.695;;168.6;1108.01;168.6;168.6;168.6;0.075295;0.000774;0.0962
2010-02-23;-0.99718;183.017;1e-05;179.05;1094.6;179.05;179.05;179.05;0.074365;0.001237;0.1088
2010-02-24;-0.96322;173.301;0.00088;173.3;1105.24;173.3;173.3;173.3;0.16167;0.309159;0.2106
2010-02-25;-0.99703;174.601;3e-05;173.75;1102.94;173.75;173.75;173.75;0.075697;0.004807;0.1172
2010-02-26;-0.99656;173.012;6e-05;172.9;1104.49;172.9;172.9;172.9;0.077217;0.011673;0.1273
2010-03-01;-0.99718;161.659;3e-05;161.55;1115.71;161.55;161.55;161.55;0.077001;0.005579;0.1144
2010-03-02;-0.99665;158.997;7e-05;158.85;1118.31;158.85;158.85;158.85;0.07793;0.012805;0.1231
2010-03-03;-0.99734;158.418;3e-05;157.55;1118.79;157.55;157.55;157.55;0.075008;0.00474;0.1131
2010-03-04;-0.99756;154.144;2e-05;153.85;1122.97;153.85;153.85;153.85;0.073248;0.002815;0.1066
2010-03-05;-0.95697;139.702;0.00119;139.7;1138.69;139.7;139.7;139.7;0.188662;0.334364;0.1936
2010-03-08;-0.97259;139.1;0.0009;139.1;1138.5;139.1;139.1;139.1;0.147856;0.217386;0.1799
2010-03-09;-0.99764;136.446;4e-05;135.9;1140.45;135.9;135.9;135.9;0.074996;0.00502;0.1051
2010-03-10;-0.99803;131.285;1e-05;130.65;1145.61;130.65;130.65;130.65;0.076265;0.000737;0.0886
2010-03-11;-0.99798;126.569;2e-05;125.7;1150.24;125.7;125.7;125.7;0.075196;0.002535;0.0945
2010-03-12;-0.99795;126.768;3e-05;125.05;1149.99;125.05;125.05;125.05;0.075463;0.003564;0.0989
2010-03-15;-0.99838;126.096;;125.75;1150.51;125.75;125.75;125.75;0.074945;4.2e-05;0.0783
2010-03-16;-0.99819;117.104;3e-05;117.0;1159.46;117.0;117.0;117.0;0.076013;0.002945;0.0958
2010-03-17;-0.97565;110.75;0.00104;110.75;1166.21;110.75;110.75;110.75;0.144791;0.177983;0.1589
2010-03-18;-0.99812;110.621;5e-05;109.95;1165.83;109.95;109.95;109.95;0.076051;0.005149;0.0982
2010-03-19;-0.99862;116.48;;115.4;1159.9;115.4;115.4;115.4;0.073439;1e-06;0.0655
2010-03-22;-0.99863;110.413;2e-05;109.7;1165.81;109.7;109.7;109.7;0.07418;0.001627;0.0969
2010-03-23;-0.99533;102.051;0.00029;102.0;1174.17;102.0;102.0;102.0;0.086087;0.030942;0.1225
2010-03-24;-0.99871;108.329;2e-05;107.2;1167.72;107.2;107.2;107.2;0.069543;0.001793;0.1003
