AN8068571086;AF;DPS;DT;DWNM;DY;EPS;MTBV;MV;MVC;MVFF;NOSH;NOSHFF;P;PC;PE;PH;PL;PO;PTBV;PYD;RI;UDD;VO;VWAP;WC01001;WC01051;WC01100;WC01101;WC01149;WC01150;WC01151;WC01201;WC01250;WC01251;WC01253;WC01254;WC01255;WC01266;WC01401;WC01451;WC01501;WC01551;WC01601;WC01705;WC01706;WC01751;WC02001;WC02003;WC02051;WC02101;WC02201;WC02501;WC02649;WC02999;WC03040;WC03051;WC03101;WC03151;WC03251;WC03255;WC03263;WC03426;WC03480;WC03501;WC03998;WC04050;WC04201;WC04251;WC04551;WC04601;WC04851;WC04860;WC04870;WC04890;WC05350;WC05376;WC07011;WC08101;WC08106;WC08126;WC08131;WC08221;WC08231;WC08301;WC08311;WC08316;WC08321;WC08366;WC08376;WC18191;WC18192;WC18198;XDD
1976-02-20;0.044;0.04;;;1.01;0.16;;4521.56;;;57235;;3.4766;;21.5;3.4876;3.4326;;;;129.81;;2547.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-23;0.044;0.04;;;1.04;0.16;;4392.79;;;57235;;3.3775;;20.9;3.4601;3.3665;;;;126.12;;954.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-24;0.044;0.04;;;1.06;0.16;;4299.78;;;57235;;3.306;;20.5;3.383;3.2565;;;;123.45;;1522.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-25;0.044;0.04;;;1.1;0.16;;4171.0;;;57235;;3.207;;19.9;3.2895;3.141;;;;119.75;;2308.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-26;0.044;0.04;;;1.12;0.16;;4085.15;;;57235;;3.141;;19.5;3.2235;3.1245;;;;117.28;;2115.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-27;0.044;0.04;;;1.09;0.16;;4185.3;;;57235;;3.218;;19.9;3.2235;3.1245;;;;120.16;;1856.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-01;0.044;0.04;;;1.08;0.16;;4221.08;;;57235;;3.2455;;20.1;3.2565;3.1905;;;;121.19;;1111.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-02;0.044;0.04;;;1.09;0.16;;4199.61;;;57235;;3.229;;20.0;3.2785;3.2125;;;;120.57;;1654.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-03;0.044;0.04;;;1.11;0.16;;4106.61;;;57235;;3.1575;;19.6;3.1905;3.1245;;;;117.9;;1040.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-04;0.044;0.04;;;1.13;0.16;;4042.22;;;57235;;3.108;;19.3;3.2125;3.0915;;;;116.05;;1188.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-05;0.044;0.04;;;1.13;0.16;;4063.68;;;57235;;3.1245;;19.4;3.1575;3.0805;;;;116.67;;1161.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-08;0.044;0.04;;;1.12;0.16;;4099.45;;;57235;;3.152;;19.5;3.1575;3.1245;;;;117.69;;1140.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-09;0.044;0.04;;;1.13;0.16;;4049.37;;;57235;;3.1135;;19.3;3.1795;3.086;;;;116.26;;1667.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-10;0.044;0.04;;;1.11;0.16;;4120.92;;;57235;;3.1685;;19.6;3.1795;3.1025;;;;118.31;;1604.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-11;0.044;0.04;;;1.11;0.16;;4142.38;;;57235;;3.185;;19.7;3.1905;3.152;;;;118.93;;1393.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-12;0.044;0.04;;;1.11;0.16;;4106.61;;;57235;;3.1575;;19.6;3.2125;3.1575;;;;117.9;;615.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-15;0.044;0.04;;;1.13;0.16;;4063.68;;;57235;;3.1245;;19.4;3.1685;3.1135;;;;116.67;;706.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-16;0.044;0.04;;;1.1;0.16;;4149.54;;;57235;;3.1905;;19.8;3.1905;3.108;;;;119.46;;915.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-17;0.044;0.04;;;1.11;0.16;;4128.07;;;57235;;3.174;;19.7;3.2015;3.1355;;;;118.84;;1542.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-18;0.044;0.04;;;1.12;0.16;;4092.3;;;57235;;3.1465;;19.5;3.2015;3.141;;;;117.81;;1156.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
