PA1436583006;AF;DPS;DT;DWNM;DY;EPS;MTBV;MV;MVC;MVFF;NOSH;NOSHFF;P;PC;PE;PH;PL;PO;PTBV;PYD;RI;UDD;VO;VWAP;WC01001;WC01051;WC01084;WC01100;WC01101;WC01149;WC01151;WC01250;WC01251;WC01253;WC01254;WC01255;WC01266;WC01401;WC01451;WC01501;WC01551;WC01601;WC01705;WC01706;WC01751;WC02001;WC02003;WC02051;WC02101;WC02201;WC02501;WC02649;WC02999;WC03040;WC03051;WC03101;WC03151;WC03251;WC03255;WC03426;WC03480;WC03501;WC03998;WC04050;WC04201;WC04251;WC04551;WC04601;WC04851;WC04860;WC04870;WC04890;WC05350;WC05376;WC07011;WC08101;WC08106;WC08126;WC08131;WC08221;WC08231;WC08301;WC08311;WC08316;WC08321;WC08366;WC08376;WC18191;WC18192;WC18198;XDD
1987-07-24;0.25;;;;;;2.67;1698.57;;;107846.0;;3.9375;10.36;13.9;3.9375;3.875;;3.34;;100.0;;15566.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-07-27;0.25;;;;;;2.65;1685.09;;;107846.0;;3.9063;10.27;13.8;3.9375;3.875;;3.31;;99.21;;1931.2;;564916.0;305072.0;;235338.0;82355.0;;24506.0;152147.0;15778.0;;;2400.0;;152806.0;;;152806.0;;;152806.0;152806.0;349200.0;7235.0;8269.0;10611.0;375356.0;474188.0;;941030.0;;13775.0;215321.0;160035.0;90177.0;103952.0;;;635532.0;725709.0;;179222.0;404636.0;96240.0;58208.0;;;;;32111.0;96240.0;5815.0;1.66;1.74;;;14.06;16.36;;31.73;26.93;27.05;27.05;;166184.0;;190690.0;
1987-07-28;0.25;;;;;;2.63;1671.61;;;107846.0;;3.875;10.19;13.7;3.9063;3.875;;3.29;;98.41;;2074.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-07-29;0.25;;;;;;2.63;1671.61;;;107846.0;;3.875;10.19;13.7;3.9063;3.875;;3.29;;98.41;;4930.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-07-30;0.25;;;;;;2.59;1644.65;;;107846.0;;3.8125;10.03;13.5;3.9063;3.8125;;3.23;;96.83;;4654.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-07-31;0.25;;;;;;2.46;1563.77;;;107846.0;;3.625;9.53;12.8;3.7813;3.5625;;3.07;2016-12-03;92.06;;3006.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1987-08-03;0.25;;;;;;2.61;1658.13;;;107846.0;;3.8438;10.11;13.6;3.8438;3.5;;3.26;2016-12-03;97.62;;1277.6;;564916.0;305072.0;;235338.0;82355.0;;24506.0;152147.0;15778.0;;;2400.0;;152806.0;;;152806.0;;;152806.0;152806.0;349200.0;7235.0;8269.0;10611.0;375356.0;474188.0;;941030.0;;13775.0;215321.0;160035.0;90177.0;103952.0;;;635532.0;725709.0;;179222.0;404636.0;96240.0;58208.0;;;;;32111.0;96240.0;5815.0;1.66;1.74;;;14.06;16.36;;31.73;26.93;27.05;27.05;;166184.0;;190690.0;2016-12-03
1987-08-04;0.25;;;;;;2.57;1631.17;;;107846.0;;3.7813;9.94;13.4;3.9063;3.75;;3.21;2016-12-03;96.03;;698.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1987-08-05;0.25;;;;;;2.57;1631.17;;;107846.0;;3.7813;9.94;13.4;3.8125;3.75;;3.21;;96.03;;262.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-08-06;0.25;;;;;;2.55;1617.69;;;107846.0;;3.75;9.86;13.3;3.7813;3.7188;;3.18;;95.24;;480.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-08-07;0.25;;;;;;2.61;1658.13;;;107846.0;;3.8438;10.11;13.6;3.8438;3.75;;3.26;;97.62;;582.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1987-08-10;0.25;;;;;;2.65;1685.09;;;107846.0;;3.9063;10.27;13.8;3.9688;3.8125;;3.31;2016-12-03;99.21;;1524.8;;564916.0;305072.0;;235338.0;82355.0;;24506.0;152147.0;15778.0;;;2400.0;;152806.0;;;152806.0;;;152806.0;152806.0;349200.0;7235.0;8269.0;10611.0;375356.0;474188.0;;941030.0;;13775.0;215321.0;160035.0;90177.0;103952.0;;;635532.0;725709.0;;179222.0;404636.0;96240.0;58208.0;;;;;32111.0;96240.0;5815.0;1.66;1.74;;;14.06;16.36;;31.73;26.93;27.05;27.05;;166184.0;;190690.0;2016-12-03
1987-08-11;0.25;;;;;;2.67;1698.57;;;107846.0;;3.9375;10.36;13.9;3.9375;3.875;;3.34;;100.0;;2395.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
