US22160K1051;AF;DPS;DT;DWNM;DY;EPS;MTBV;MV;MVC;MVFF;NOSH;NOSHFF;P;PC;PE;PH;PL;PO;PTBV;PYD;RI;UDD;VO;VWAP;WC01001;WC01051;WC01100;WC01101;WC01151;WC01250;WC01251;WC01253;WC01254;WC01255;WC01266;WC01401;WC01451;WC01501;WC01551;WC01601;WC01705;WC01706;WC01751;WC02001;WC02003;WC02051;WC02101;WC02201;WC02501;WC02649;WC02999;WC03040;WC03051;WC03101;WC03151;WC03251;WC03255;WC03263;WC03426;WC03480;WC03501;WC03998;WC04201;WC04251;WC04551;WC04601;WC04851;WC04860;WC04870;WC04890;WC05350;WC05376;WC07011;WC08101;WC08106;WC08126;WC08131;WC08221;WC08231;WC08301;WC08311;WC08316;WC08321;WC08366;WC08376;WC18191;WC18192;WC18198;XDD
1993-10-22;0.5;;;1.44;;;2.45;4121.78;;;216936.0;;9.5;16.02;;9.9375;9.5;;2.46;;100.0;;3009.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-10-25;0.5;;;1.44;;;2.51;4230.25;;;216936.0;;9.75;16.44;;9.75;9.4375;9.5;2.52;;102.63;;2359.2;;16480643.0;14519228.0;1817752.0;1425549.0;143663.0;360139.0;50472.0;;;;13888.0;203555.0;92657.0;;70132.0;-182500.0;;70132.0;70132.0;62906.0;53638.0;130278.0;1260476.0;1534298.0;2146396.0;;4235659.0;1073326.0;156144.0;1647307.0;-113009.0;795492.0;951636.0;65679.0;34779.0;2178.0;1684960.0;2515231.0;260180.0;11383.0;;474553.0;-66589.0;247805.0;459677.0;146179.0;34574.0;;47000.0;0.12;0.93;28.0;3.0;35.62;56.48;-6.45;1.58;2.19;1.24;-0.68;-2.97;254027.0;;397690.0;
1993-10-26;0.5;;;1.44;;;2.43;4094.67;;;216936.0;;9.4375;15.91;;9.75;9.4375;9.75;2.44;;99.34;;3016.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-10-27;0.5;;;1.44;;;2.35;3959.08;;;216936.0;;9.125;15.38;;9.375;9.0625;9.375;2.36;;96.05;;2498.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-10-28;0.5;;;1.44;;;2.38;4013.31;;;216936.0;;9.25;15.6;;9.25;9.0625;9.125;2.39;;97.37;;2174.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-10-29;0.5;;;1.44;;;2.29;3850.61;;;216936.0;;8.875;14.96;;9.1875;8.75;9.1875;2.29;2016-12-03;93.42;;2361.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00:00:00
1993-11-01;0.5;;;1.44;;;2.33;3931.96;;;216936.0;;9.0625;15.28;;9.0625;8.875;8.9375;2.34;2016-12-03;95.39;;2385.4;;16480643.0;14519228.0;1817752.0;1425549.0;143663.0;360139.0;50472.0;;;;13888.0;203555.0;92657.0;;70132.0;-182500.0;;70132.0;70132.0;62906.0;53638.0;130278.0;1260476.0;1534298.0;2146396.0;;4235659.0;1073326.0;156144.0;1647307.0;-113009.0;795492.0;951636.0;65679.0;34779.0;2178.0;1684960.0;2515231.0;260180.0;11383.0;;474553.0;-66589.0;247805.0;459677.0;146179.0;34574.0;;47000.0;0.12;0.93;28.0;3.0;35.62;56.48;-6.45;1.58;2.19;1.24;-0.68;-2.97;254027.0;;397690.0;00:00:00
1993-11-02;0.5;;;1.44;;;2.3;3877.73;;;216936.0;;8.9375;15.07;;9.125;8.875;9.0625;2.31;;94.08;;1336.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-11-03;0.5;;;1.44;;;2.3;3877.73;;;216936.0;;8.9375;15.07;;9.1875;8.875;9.0625;2.31;;94.08;;2133.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1993-11-04;0.5;;;1.44;;;2.24;3769.26;;;216936.0;;8.6875;14.65;;9.0625;8.625;8.9375;2.25;;91.45;;2186.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
