US4581401001;AF;DPS;DT;DWNM;DY;EPS;MTBV;MV;MVC;MVFF;NOSH;NOSHFF;P;PC;PE;PH;PL;PO;PTBV;PYD;RI;UDD;VO;VWAP;WC01001;WC01051;WC01100;WC01101;WC01149;WC01151;WC01201;WC01250;WC01251;WC01253;WC01254;WC01255;WC01266;WC01401;WC01451;WC01551;WC01601;WC01705;WC01706;WC01751;WC02001;WC02003;WC02051;WC02101;WC02201;WC02501;WC02649;WC02999;WC03040;WC03051;WC03101;WC03151;WC03251;WC03255;WC03263;WC03480;WC03501;WC03998;WC04050;WC04201;WC04251;WC04551;WC04601;WC04851;WC04860;WC04870;WC04890;WC05350;WC05376;WC07011;WC08101;WC08106;WC08126;WC08131;WC08221;WC08231;WC08301;WC08311;WC08316;WC08321;WC08366;WC08376;WC18191;WC18192;WC18198;XDD
1976-02-20;0.0019;;;;;;;639.6;;;6560;;0.1806;;41.5;;;;;2016-12-03;434.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-02-23;0.0019;;;;;;;646.16;;;6560;;0.1824;;41.9;;;;;;438.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-24;0.0019;;;;;;;646.16;;;6560;;0.1824;;41.9;;;;;;438.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-25;0.0019;;;;;;;636.32;;;6560;;0.1796;;41.3;;;;;2016-12-03;432.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-02-26;0.0019;;;;;;;616.64;;;6560;;0.1741;;40.0;;;;;;418.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-27;0.0019;;;;;;;610.08;;;6560;;0.1722;;39.6;;;;;;414.36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-01;0.0019;;;;;;;613.36;;;6560;;0.1731;;39.8;;;;;2016-12-03;416.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-02;0.0019;;;;;;;629.76;;;6560;;0.1778;;40.9;;;;;;427.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-03;0.0019;;;;;;;633.04;;;6560;;0.1787;;41.1;;;;;;429.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-04;0.0019;;;;;;;623.2;;;6560;;0.1759;;40.4;;;;;;423.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-05;0.0019;;;;;;;652.72;;;6560;;0.1843;;42.3;;;;;2016-12-03;443.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-08;0.0019;;;;;;;665.84;;;6560;;0.188;;43.2;;;;;2016-12-03;452.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-09;0.0019;;;;;;;646.16;;;6560;;0.1824;;41.9;;;;;;438.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-10;0.0019;;;;;;;656.0;;;6560;;0.1852;;42.6;;;;;2016-12-03;445.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-11;0.0019;;;;;;;656.0;;;6560;;0.1852;;42.6;;;;;;445.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-12;0.0019;;;;;;;656.0;;;6560;;0.1852;;42.6;;;;;2016-12-03;445.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-15;0.0019;;;;;;;629.76;;;6560;;0.1778;;40.9;;;;;2016-12-03;427.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-16;0.0019;;;;;;;642.88;;;6560;;0.1815;;41.7;;;;;;436.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-17;0.0019;;;;;;;636.32;;;6560;;0.1796;;41.3;;;;;2016-12-03;432.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-18;0.0019;;;;;;;613.36;;;6560;;0.1731;;39.8;;;;;;416.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-19;0.0019;;;;;;;613.36;;;6560;;0.1731;;39.8;;;;;2016-12-03;416.58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-22;0.0019;;;;;;;629.76;;;6560;;0.1778;;40.9;;;;;2016-12-03;427.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-23;0.0019;;;;;;;652.72;;;6560;;0.1843;;42.3;;;;;2016-12-03;443.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-24;0.0019;;;;;;;652.72;;;6560;;0.1843;;42.3;;;;;;443.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-25;0.0019;;;;;;;652.72;;;6560;;0.1843;;42.3;;;;;;443.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-26;0.0019;;;;;;;675.68;;;6560;;0.1907;;43.8;;;;;2016-12-03;458.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-29;0.0019;;;;;;;665.84;;;6560;;0.188;;43.2;;;;;;452.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-30;0.0019;;;;;;;675.68;;;6560;;0.1907;;43.8;;;;;2016-12-03;458.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-03-31;0.0019;;;;;;;715.04;;;6560;;0.2019;;43.3;;;;;2016-12-03;485.64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-04-01;0.0019;;;;;;;701.92;;;6560;;0.1981;;42.5;;;;;2016-12-03;476.73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
1976-04-02;0.0019;;;;;;;692.08;;;6560;;0.1954;;41.9;;;;;;470.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-04-05;0.0019;;;;;;;692.08;;;6560;;0.1954;;41.9;;;;;;470.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-04-06;0.0019;;;;;;;669.12;;;6560;;0.1889;;40.5;;;;;;454.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-04-07;0.0019;;;;;;;659.28;;;6560;;0.1861;;39.9;;;;;;447.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-04-08;0.0019;;;;;;;665.84;;;6560;;0.188;;40.3;;;;;2016-12-03;452.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-03
