US9497461015;AF;DPS;DT;DWNM;DY;EPS;MTBV;MV;MVC;MVFF;NOSH;NOSHFF;P;PC;PE;PH;PL;PO;PTBV;PYD;RI;UDD;VO;VWAP;WC01001;WC01016;WC01075;WC01076;WC01084;WC01149;WC01151;WC01250;WC01251;WC01254;WC01271;WC01401;WC01451;WC01501;WC01551;WC01601;WC01701;WC01705;WC01706;WC01751;WC02004;WC02255;WC02276;WC02501;WC02649;WC02999;WC03019;WC03051;WC03251;WC03255;WC03263;WC03426;WC03451;WC03480;WC03501;WC03998;WC04201;WC04251;WC04551;WC04601;WC04851;WC04860;WC04870;WC04890;WC05350;WC05376;WC07011;WC08221;WC08231;WC08301;WC08311;WC08316;WC08321;WC08366;WC08376;WC18191;WC18192;WC18198;XDD
1976-02-20;0.0208;0.04;;;3.76;0.1;;571.28;;;12625;;0.9427;;9.2;0.9427;0.9323;;;2016-12-04;80.67;;153.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-04
1976-02-23;0.0208;0.04;;;3.84;0.1;;558.66;;;12625;;0.9219;;9.0;0.9375;0.9219;;;;78.89;;86.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-24;0.0208;0.04;;;3.89;0.1;;552.34;;;12625;;0.9115;;8.9;0.9115;0.901;;;;77.99;;288.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-25;0.0208;0.04;;;3.78;0.1;;568.12;;;12625;;0.9375;;9.1;0.9375;0.9167;;;2016-12-04;80.22;;350.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-04
1976-02-26;0.0208;0.04;;;3.77;0.1;;569.7;;;12625;;0.9401;;9.2;0.9401;0.9375;;;;80.45;;844.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-02-27;0.0208;0.04;;;3.76;0.1;;571.28;;;12625;;0.9427;;9.2;0.9479;0.9401;;;2016-12-04;80.67;;1094.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016-12-04
1976-03-01;0.0208;0.04; QTR;;3.76;0.1;;571.28;;;12625;;0.9427;;9.2;0.9479;0.9323;;;1976-03-01;80.67;0.425;758.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1976-02-02
1976-03-02;0.0208;0.04;;;3.77;0.1;;569.7;;;12625;;0.9401;;9.2;0.9453;0.9401;;;;80.45;;115.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-03;0.0208;0.04;;;3.82;0.1;;561.81;;;12625;;0.9271;;9.0;0.9401;0.9271;;;;79.33;;321.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1976-03-04;0.0208;0.04;;;3.8;0.1;;564.97;;;12625;;0.9323;;9.1;0.9401;0.9271;;;;79.78;;1368.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
